# OQ-190 promoted_audit_edges.tsv — forward-citations from the ACTIVE surface into
# audits/. Standing artifact: names the historical records promoted to live, so a
# future shift in OQ-118's finding does not have to re-derive the edge list.
file	line	target	text
AGENTS.md	984	audits/2026-06-30_oq38_orphan_xref	— value-adjudicate each (CLAUDE.md *Unwired ≠ worthless*). Provenance: `audits/2026-06-30_oq38_orphan_xref/`.
AGENTS.md	1001	audits/2026-06-29_oq23_coexists_fpn_canary	`corpus_path` overlay (per-leg census logs in `audits/2026-06-29_oq23_coexists_fpn_canary/`). Do NOT
AGENTS.md	1016	audits/2026-07-02_oq193_giant_comp_ruling	`audits/2026-07-02_oq193_giant_comp_ruling/`; KNOWN_STATE 2026-07-04.
CLAUDE.md	227	audits/2026-06-10_oq77_serial_kill_condition	not coherent snapshots (OQ-77, resolved 2026-06-10; `audits/2026-06-10_oq77_serial_kill_condition/`).
CLAUDE.md	301	audits/2026-07-25_oq66_nlwb_filter_cutover	`audits/2026-07-25_oq66_nlwb_filter_cutover/nlwb_diff_harness.pl`.
CLAUDE.md	405	audits/2026-06-11_oq98_verdict_join	`audits/2026-06-11_oq98_verdict_join/histogram_gate.pl` and surface the transition to the
CLAUDE.md	897	audits/2026-06-20_oq58_cross_corpus_incompleteness	`audits/2026-06-20_oq58_cross_corpus_incompleteness/`; the kimi/sonnet legs were added afterward.)
CLAUDE.md	947	audits/2026-06-11_oq109_phase_b	signatures per `audits/2026-06-11_oq109_phase_b/EXAMPLE_INHERITED_SIGNATURES.md`).
CLAUDE.md	1023	audits/2026-08-06_oq264_kredraw_variance	`audits/2026-08-06_oq264_kredraw_variance/WRITEUP.md`.**
CLAUDE.md	1035	audits/2026-06-12_signature_identity_witness	directions: `audits/2026-06-12_signature_identity_witness/`) — never key an exclusion list or any
ISSUES.md	24	audits/2026-06-18_oq01_rope_bypass_twins	added; boundary note added to `logic.md`. Witness: `audits/2026-06-18_oq01_rope_bypass_twins/`
ISSUES.md	74	audits/2026-07-03_oq03_self_application	authored draws). Evidence + full ruling text: `audits/2026-07-03_oq03_self_application/` (ledger +
ISSUES.md	140	audits/2026-06-23_oq06_offcase_fixtures	(drift 46, axiom 12/182). Evidence: `audits/2026-06-23_oq06_offcase_fixtures/` (search.pl,
ISSUES.md	162	audits/2026-06-09_oq07_mismatch_runtime_probe	Evidence: `audits/2026-06-09_oq07_mismatch_runtime_probe/` (probe.pl, raw output, writeup).
ISSUES.md	225	audits/2026-02-28_codebase_audit_data	`audits/2026-02-28_codebase_audit_data/config_params_unused.txt`.
ISSUES.md	280	audits/2026-06-23_oq15_crossaxis_witnesses	**Resolution note.** Phase 0a census (`audits/2026-06-23_oq15_crossaxis_witnesses/`): call-site
ISSUES.md	348	audits/2026-06-25_oq18_temporal_reduction	**Settled empirical finding (re-witnessed 2026-06-25, all three live legs; probes in `audits/2026-06-25_oq18_temporal_reduction/` — `oq18_flipped_probe.pl` + `o
ISSUES.md	350	audits/2026-06-25_oq18_temporal_reduction	**Resolution (behavior-preserving):** (1) `metric_delta/5`, `metric_trend/3`, `drift_velocity/3` annotated at their definitions with reduction-kind + faithful-s
ISSUES.md	380	audits/2026-06-22_oq20_dr_baseline_diff	top-type moved. Audit `audits/2026-06-22_oq20_dr_baseline_diff/` (2026-06-22).
ISSUES.md	396	audits/2026-06-22_oq20_dr_baseline_diff	`audits/2026-06-22_oq20_dr_baseline_diff/{WRITEUP.md,analysis.json,corpus_hashes.json}`; raw
ISSUES.md	532	audits/2026-06-28_oq22_hub_starvation	**Resolution note (audit `audits/2026-06-28_oq22_hub_starvation/`, FINDINGS.md; read-only).**
ISSUES.md	555	audits/2026-06-29_oq23_coexists_fpn_canary	`audits/2026-06-29_oq23_coexists_fpn_canary/` (WRITEUP + HOLD_FINDINGS); KNOWN_STATE 2026-06-29.
ISSUES.md	588	audits/2026-07-02_oq193_giant_comp_ruling	`audits/2026-07-02_oq193_giant_comp_ruling/RULING_EVIDENCE.md`.
ISSUES.md	593	audits/2026-06-29_oq23_coexists_fpn_canary	`audits/2026-06-29_oq23_coexists_fpn_canary/giant_ripple_*.log`;
ISSUES.md	594	audits/2026-07-02_oq193_giant_comp_ruling	`audits/2026-07-02_oq193_giant_comp_ruling/` (incl. `probe_giant_ripple.pl`, a declared frozen
ISSUES.md	653	audits/2026-06-29_oq23_coexists_fpn_canary	`audits/2026-06-29_oq23_coexists_fpn_canary/`.
ISSUES.md	1059	audits/2026-06-11_oq33_close	authors suppression at source. Re-witnessed 2026-06-11 (`audits/2026-06-11_oq33_close/`):
ISSUES.md	1082	audits/2026-06-05_generation_pipeline_deleak	confirmed and fixed at scale in the de-leak (`audits/2026-06-05_generation_pipeline_deleak/` —
ISSUES.md	1091	audits/2026-05-31_wiring_gap_census	Source: `audits/2026-05-31_wiring_gap_census/wiring_gap_census.md` (read-only census; git HEAD `220739b8`, live corpus
ISSUES.md	1097	audits/2026-06-05_generation_pipeline_deleak	**Resolution (2026-06-05):** the question's premise was confirmed and fixed at scale: the prompt (and, binding, the SCHEMA shipped inside the prompt) exposed MI
ISSUES.md	1101	audits/2026-06-21_oq35_field_counterfactual	**Status:** resolved — adjudicated 2026-06-21 (`audits/2026-06-21_oq35_field_counterfactual/`).
ISSUES.md	1142	audits/2026-06-30_oq37_census_redispose	**Status:** resolved — Census re-disposition 2026-06-30 (`audits/2026-06-30_oq37_census_redispose/`); every read-but-unauthored name dispositioned, no OQ-37-loc
ISSUES.md	1170	audits/2026-06-30_oq38_orphan_xref	stripped (2026-06-30; `audits/2026-06-30_oq38_orphan_xref/`). The discredited ad-hoc grep is
ISSUES.md	1226	audits/2026-07-01_oq41_row26_expansion	coverage witness (`audits/2026-07-01_oq41_row26_expansion/probe_row22_coverage.pl`), per operator
ISSUES.md	1234	audits/2026-06-11_oq46_close	positive control, `audits/2026-06-11_oq46_close/`). Rows 19–20 `base_extractiveness` — RULED
ISSUES.md	1235	audits/2026-06-24_oq41_basex_t0	INTENDED (the v7 two-axis design), but `audits/2026-06-24_oq41_basex_t0/` showed the edge has
ISSUES.md	1245	audits/2026-07-01_oq41_row26_expansion	**Status:** resolved — (2026-07-01, row-26 expansion, `audits/2026-07-01_oq41_row26_expansion/`) row 23 FIXED (Commit A); rows 24–25 SUPERSEDED (commit `5b069ae
ISSUES.md	1251	audits/2026-06-24_oq41_basex_t0	(`BaseX=0.5`): the "dormant" read was FALSIFIED (`audits/2026-06-24_oq41_basex_t0/` — live at t=0
ISSUES.md	1284	audits/2026-06-11_oq44_policy_close	`audits/2026-06-11_oq44_policy_close/`.
ISSUES.md	1311	audits/2026-08-17_oq251_natural_law_reachability	Witness: `audits/2026-08-17_oq251_natural_law_reachability/`; see also OQ-113 (range) and OQ-296
ISSUES.md	1327	audits/2026-06-11_oq46_backed_reconciliation	(compress-on-close exception). Audit evidence: `audits/2026-06-11_oq46_backed_reconciliation/`
ISSUES.md	1328	audits/2026-06-11_oq44_policy_close	(probe1 gate census, live corpus); dispositions witnessed: `audits/2026-06-11_oq44_policy_close/`.
ISSUES.md	1351	audits/2026-06-11_oq44_policy_close	**Dispositions (2026-06-11, witnessed in `audits/2026-06-11_oq44_policy_close/`):** (1)
ISSUES.md	1364	audits/2026-06-11_oq93_grid_migration	`audits/2026-06-11_oq93_grid_migration/`). Wider Pattern-5/6 census remains OQ-97's scope.
ISSUES.md	1389	audits/2026-07-01_oq45_oq52_hidden_winners	Full evidence: `audits/2026-07-01_oq45_oq52_hidden_winners/` (WRITEUP.md).
ISSUES.md	1399	audits/2026-06-11_oq46_close	**Status:** resolved — operator ruling 2026-06-11: **the scalar fallback is SANCTIONED, not a stopgap; the premise was wrong.** Full evidence + ruling: `audits/
ISSUES.md	1415	audits/2026-06-11_oq46_backed_reconciliation	`audits/2026-06-11_oq46_backed_reconciliation/`)** — keyed on an EXPLICIT sanction, never
ISSUES.md	1479	audits/2026-06-18_oq48_recalibration	### MEASUREMENT (2026-06-18, twins + confounded kernel_v1 arm — `audits/2026-06-18_oq48_recalibration/`)
ISSUES.md	1532	audits/2026-06-14_oq49_remeasure	**Status:** resolved — SPLIT-CLOSE on the live corpora (2026-06-14, `audits/2026-06-14_oq49_remeasure/`).
ISSUES.md	1629	audits/2026-07-01_oq45_oq52_hidden_winners	`audits/2026-07-01_oq45_oq52_hidden_winners/a3_false_mountain_w1_ranking.{md,json}`. Control outcome (the recover-the-16 control was RETIRED AS IMPOSSIBLE — lis
ISSUES.md	1661	audits/2026-06-20_kernel_reading_orbits	**Resolution note.** Recon (`audits/2026-06-20_kernel_reading_orbits/RECON.md`) found a SPLIT, not
ISSUES.md	1789	audits/2026-06-18_oq56_twin_within_kernel_perturbation	**Evidence pointers:** `audits/2026-06-18_oq56_twin_within_kernel_perturbation/` (OQ-150
ISSUES.md	1790	audits/2026-06-20_kernel_reading_orbits	measurement) + `audits/2026-06-20_kernel_reading_orbits/`; KNOWN_STATE 2026-06-20.
ISSUES.md	1812	audits/2026-06-10_oq57_live_rewitness	**Re-witnessed 2026-06-10** (post-reset; `audits/2026-06-10_oq57_live_rewitness/`): fix durable
ISSUES.md	1857	audits/2026-08-14_cheap_confession_codraw_replication	`audits/2026-08-14_cheap_confession_codraw_replication/` (codraw_03 reproduced the same
ISSUES.md	2016	audits/2026-06-20_oq58_cross_corpus_incompleteness	`audits/2026-06-20_oq58_cross_corpus_incompleteness/` (read-only `census_driver.py` + saved output;
ISSUES.md	2089	audits/2026-06-03_reading_diff_census	(`audits/2026-06-03_reading_diff_census/`); #4 `prolog/axiom_diff.pl` — 0/935 pairs share an axiom
ISSUES.md	2109	audits/2026-07-17_oq60_purity_absence	`audits/2026-07-17_oq60_purity_absence/` (PREFLIGHT/ORDERING_AUDIT/WITNESS_CLATENT/
ISSUES.md	2113	audits/2026-06-03_purity	**Origin:** Purity audit 2026-06-03 (`audits/2026-06-03_purity/purity_audit_20260603.md` §3, K5).
ISSUES.md	2136	audits/2026-06-03_purity	**Origin:** Purity audit 2026-06-03 (`audits/2026-06-03_purity/purity_audit_20260603.md` §6, K1/K2/K7).
ISSUES.md	2137	audits/2026-07-24_oq61_header_purity_cascade	**Build audit:** `audits/2026-07-24_oq61_header_purity_cascade/`.
ISSUES.md	2165	audits/2026-06-03_purity	**Origin:** Purity audit 2026-06-03 (`audits/2026-06-03_purity/purity_audit_20260603.md` §4, K4/K6).
ISSUES.md	2181	audits/2026-07-25_oq62_band_vocabulary_fork	`13877a0c` (purity_fail). Witnesses: `audits/2026-07-25_oq62_band_vocabulary_fork/` —
ISSUES.md	2187	audits/2025-05-15_recon_2	`audits/2025-05-15_recon_2/` (which had already recorded three implementations) — its sibling
ISSUES.md	2224	audits/2026-06-04_oq65_bait_census	(`audits/2026-06-04_oq65_bait_census/oq65_bait_census.json`). Ruling rationale recorded in the
ISSUES.md	2273	audits/2026-06-04_oq65_bait_census	classifying model over 26 chunks; verdicts `audits/2026-06-04_oq65_bait_census/oq65_census_verdicts.jsonl`; final
ISSUES.md	2274	audits/2026-06-04_oq65_bait_census	artifact `audits/2026-06-04_oq65_bait_census/oq65_bait_census.json` (per-file category/flags/evidence/verdict_source;
ISSUES.md	2276	audits/2026-06-04_oq65_bait_census	`audits/2026-06-04_oq65_bait_census/`. Blind decoys: no-marker-bait and false-positive controls PASS; the
ISSUES.md	2278	audits/2026-06-04_oq65_bait_census	(documented in `audits/2026-06-04_oq65_bait_census/decoy_key.json`). Classification rule: `omega_routed` requires
ISSUES.md	2343	audits/2026-06-04_oq65_bait_census	quotes in `audits/2026-06-04_oq65_bait_census/oq65_bait_census.json`; any future FSM/shadow disagreement census must
ISSUES.md	2366	audits/2026-07-25_oq66_nlwb_filter_cutover	`audits/2026-07-25_oq66_nlwb_filter_cutover/RELEASE_NOTE.md`.** (2) Both gate-two items
ISSUES.md	2373	audits/2026-07-25_oq66_nlwb_filter_cutover	(ε, theater) × type census → OQ-249. Evidence: `audits/2026-07-25_oq66_nlwb_filter_cutover/`
ISSUES.md	2406	audits/2026-08-17_oq251_natural_law_reachability	`audits/2026-08-17_oq251_natural_law_reachability/`.
ISSUES.md	2424	audits/2026-07-25_oq66_nlwb_filter_cutover	made.** Full evidence: `audits/2026-07-25_oq66_nlwb_filter_cutover/GATE2_REWITNESS.md`.
ISSUES.md	2460	audits/2026-07-25_oq66_nlwb_filter_cutover	**Evidence:** `audits/2026-07-25_oq66_nlwb_filter_cutover/GATE2_REWITNESS.md`, `FINDINGS.md` §5,
ISSUES.md	2533	audits/2026-07-25_oq66_nlwb_filter_cutover	**Evidence:** `audits/2026-07-25_oq66_nlwb_filter_cutover/FINDINGS.md` §8.
ISSUES.md	2545	audits/2026-08-17_oq251_natural_law_reachability	Witness: `audits/2026-08-17_oq251_natural_law_reachability/` (WRITEUP.md + audit_log.md);
ISSUES.md	2678	audits/2026-07-25_oq66_nlwb_filter_cutover	**Evidence:** `audits/2026-07-25_oq66_nlwb_filter_cutover/GATE2_REWITNESS.md`.
ISSUES.md	2746	audits/2026-08-17_oq251_natural_law_reachability	`audits/2026-08-17_oq251_natural_law_reachability/`.
ISSUES.md	2796	audits/2026-07-25_oq255_seat_cost_measure	`2fa3eca2`, `1ade944d`); measure + run witnesses: `audits/2026-07-25_oq255_seat_cost_measure/`
ISSUES.md	2811	audits/2026-07-25_oq254_q_provenance	`audits/2026-07-25_oq254_q_provenance/` (STEP0–STEP4 witnesses); commits `01d503aa` (census),
ISSUES.md	2843	audits/2026-07-25_oq255_seat_cost_measure	kill condition answered; full audit `audits/2026-07-25_oq255_seat_cost_measure/WRITEUP.md`
ISSUES.md	2849	audits/2026-07-25_oq255_seat_cost_measure	`prolog/drl_core.pl:364-459`, `audits/2026-07-25_oq255_seat_cost_measure/`.
ISSUES.md	2911	audits/2026-07-25_oq67_legacy_chi_retire	`audits/2026-07-25_oq67_legacy_chi_retire/`, KNOWN_STATE 2026-07-25.
ISSUES.md	3004	audits/2026-06-20_oq69_ledger_drain	`audits/2026-06-20_oq69_ledger_drain/`. Priorities on all 17 provisional — operator's seat.
ISSUES.md	3017	audits/2026-06-11_oq109_phase_b	`audits/2026-06-11_oq109_phase_b/EXAMPLE_INHERITED_SIGNATURES.md`.
ISSUES.md	3019	audits/2026-06-04_fnl_bait_confound	`audits/2026-06-04_fnl_bait_confound/` (fnl_probe0–3 files).
ISSUES.md	3048	audits/2026-06-04_oq71_depth_lineage	- Original v5 fingerprint dump salvaged from volatile `/tmp`: `audits/2026-06-04_oq71_depth_lineage/v5_sixdim.txt` (3,380 lines, md5 `0493c253…` matches `/tmp` 
ISSUES.md	3049	audits/2026-06-04_oq71_depth_lineage	- Control arm = the 300 stories of commit `64cc249a` (2026-06-03 never-generated batch): `audits/2026-06-04_oq71_depth_lineage/control_membership.json` (n=300, 
ISSUES.md	3053	audits/2026-06-04_oq71_depth_lineage	(2) **Novelty-classifier discrimination: PASS both directions** (known-in-corpus → not-novel; synthetic → novel). Live corpus: 1,106 constraints, 157 distinct 5
ISSUES.md	3055	audits/2026-06-04_oq71_depth_lineage	- Exemplar authored and validated: `audits/2026-06-04_oq71_depth_lineage/tree_spec/{upward,spine,us}.json` → 35 kernels / 112 seeds, fans ∈[2,5], levels 0–8 (`p
ISSUES.md	3055	audits/2026-06-04_oq71_depth_lineage	- Exemplar authored and validated: `audits/2026-06-04_oq71_depth_lineage/tree_spec/{upward,spine,us}.json` → 35 kernels / 112 seeds, fans ∈[2,5], levels 0–8 (`p
ISSUES.md	3057	audits/2026-06-04_oq71_depth_lineage	- Step 2 `--run-tag` routing in `run_no_scope` (`agent/generate_kernel_corpus.py:1087`), dual-gated: flag-off batch payload byte-identical to pre-change baselin
ISSUES.md	3059	audits/2026-06-04_oq71_depth_lineage	- Step 4 OQ-58 integrity sweep run manually: 12 edges quarantined — 9 point at the 3 failed stories, 3 are model naming-drift (`double_jeoparty_bar` typo, bare 
ISSUES.md	3060	audits/2026-06-04_oq71_depth_lineage	- Steps 5–6 probe + analysis: 109/109 fingerprinted, 0 errors; `python/lineage_excess_analysis.py` (re-runnable; results `audits/2026-06-04_oq71_depth_lineage/p
ISSUES.md	3067	audits/2026-06-04_oq71_depth_lineage	**Scale-run results (2026-06-04; witnesses: `audits/2026-06-04_oq71_depth_lineage/powered_readout_results.json`, `depth_sixdim_tagged.tsv`; scripts `python/line
ISSUES.md	3076	audits/2026-06-04_oq71_depth_lineage	**Phase A resolution (2026-06-20; zero-spend, read-only — closes the design question, defers the spend). Witnesses: `audits/2026-06-04_oq71_depth_lineage/a2_ric
ISSUES.md	3096	audits/2026-07-03_oq72_concept_key_pilot	**Resolution note (audit `audits/2026-07-03_oq72_concept_key_pilot/`; commits `5494cbee` →
ISSUES.md	3153	audits/2026-06-14_oq49_remeasure	**OQ-49 hand-up (2026-06-14, `audits/2026-06-14_oq49_remeasure/`):** the FNL override-effective
ISSUES.md	3160	audits/2026-06-14_oq49_remeasure	`audits/2026-06-14_oq49_remeasure/coord0_conjunction_positive_control.txt`.
ISSUES.md	3173	audits/2026-07-02_oq75_stage2_preflight	`code_dirty:true`). Preflight witness: `audits/2026-07-02_oq75_stage2_preflight/PREFLIGHT.md`. Stage-1
ISSUES.md	3183	audits/2026-07-03_oq87_twins_ca3	banked audit scripts and `audits/2026-07-03_oq87_twins_ca3/`. A rebuild generated with a
ISSUES.md	3222	audits/2026-07-04_oq75b_grain_probe	**Pilot-scale grain precursor RUN (2026-07-04; `audits/2026-07-04_oq75b_grain_probe/`):**
ISSUES.md	3248	audits/2026-06-05_scope_count_distribution	(`audits/2026-06-05_scope_count_distribution/`): an 8-topic richness-spanning battery × 2 arms
ISSUES.md	3378	audits/2026-06-05_kernel_gate_replication	**Evidence (`audits/2026-06-05_kernel_gate_replication/`, 40/40 calls, pre-registered invalidation
ISSUES.md	3396	audits/2026-06-05_flat_control_generate_both	**Resolution (2026-06-05, operator-ruled then built — `audits/2026-06-05_flat_control_generate_both/`):**
ISSUES.md	3419	audits/2026-07-02_oq75_stage2_preflight	(`audits/2026-07-02_oq75_stage2_preflight/PREFLIGHT.md`). So this stratum cannot be reported for
ISSUES.md	3432	audits/2026-06-10_oq77_serial_kill_condition	**Resolution evidence** (`audits/2026-06-10_oq77_serial_kill_condition/`): serial 10/10 rc=0 at n=39 — the exact crash size — with byte-identical outputs; 12 si
ISSUES.md	3445	audits/2026-08-10_oq78_idiom_close	OQ-117 at filing. Evidence: `audits/2026-08-10_oq78_idiom_close/` (prereg md5
ISSUES.md	3510	audits/2026-06-12_oq78_dead_bin_channel	self-labeling. Witnesses W1–W3: `audits/2026-06-12_oq78_dead_bin_channel/README.md`. The
ISSUES.md	3562	audits/2026-06-10_oq81_reading_upstream_recon	**Resolution (evidence: `audits/2026-06-10_oq81_reading_upstream_recon/` — RECON, AB_PLAN, AB_RESULTS, WIREUP, raw runs):** Recon first established zero exposur
ISSUES.md	3596	audits/2026-06-07_stakeholder_layer_migration	`audits/2026-06-07_stakeholder_layer_migration/` (Phase A steps 1–4, AUDIT.md, MIGRATION_PLAN.md,
ISSUES.md	3597	audits/2026-06-11_oq83_close	STEP4C_PARTITION.md, TWO_AXIS_NOTE.md) + `audits/2026-06-11_oq83_close/`. Full narrative: git
ISSUES.md	3609	audits/2026-06-11_oq83_close	(`audits/2026-06-11_oq83_close/STEP1_REPORT.md`; nb_setval hypothesis confirmed; milblogger
ISSUES.md	3642	audits/2026-06-16_q6_crosscheck_completion	`audits/2026-06-16_q6_crosscheck_completion/`. Deferred diachronic tier → **OQ-133**.
ISSUES.md	3655	audits/2026-06-07_stakeholder_layer_migration	**Origin:** 2026-06-07, `audits/2026-06-07_stakeholder_layer_migration/AUDIT.md` §A6.
ISSUES.md	3676	audits/2026-06-07_stakeholder_layer_migration	`OQ85_DECOMPOSITION_AUDIT.md` in `audits/2026-06-07_stakeholder_layer_migration/`.
ISSUES.md	3723	audits/2026-07-03_oq87_twins_ca3	`audits/2026-07-03_oq87_twins_ca3/`); existence proof RE-SCOPED (operator ruling 2026-07-03): the
ISSUES.md	3731	audits/2026-06-07_stakeholder_layer_migration	`audits/2026-06-07_stakeholder_layer_migration/COMMITTER_THREAD_HANDOFF.md`. Sub-questions answered;
ISSUES.md	3837	audits/2026-07-03_oq87_twins_ca3	**Twins characterization DONE (2026-07-03, zero-spend read-only) — `audits/2026-07-03_oq87_twins_ca3/`
ISSUES.md	3933	audits/2026-07-04_oq88_false_mountain_detector	`audits/2026-07-04_oq88_false_mountain_detector/{PROPOSAL,FINDINGS}.md`).** Verdict cells:
ISSUES.md	3958	audits/2026-07-04_oq88_false_mountain_detector	`audits/2026-07-04_oq88_false_mountain_detector/TWINS_ADDENDUM.md`).** Fresh `classify_corpus`
ISSUES.md	4011	audits/2026-06-08_coordination_washing_clean_pass	**Origin.** Audit `audits/2026-06-08_coordination_washing_clean_pass/` found `get_metric_average/3`
ISSUES.md	4045	audits/2026-06-08_coordination_washing_clean_pass	other default/threshold pairs. Provenance: `audits/2026-06-08_coordination_washing_clean_pass/`,
ISSUES.md	4058	audits/2026-06-10_signature_liveness_crosscorpus	`audits/2026-06-10_signature_liveness_crosscorpus/MATRIX.md`; KNOWN_STATE 2026-06-10.
ISSUES.md	4066	audits/2026-06-11_oq90_piton_refinement	**Status:** resolved — capture-keyed piton refinement built, wired, and witnessed end-to-end (2026-06-11). Audit: `audits/2026-06-11_oq90_piton_refinement/`. Co
ISSUES.md	4105	audits/2026-06-26_oq91_repair	**Witnesses (`audits/2026-06-26_oq91_repair/`):** B2 standalone (lycurgan/shinbutsu→replace;
ISSUES.md	4123	audits/2026-06-10_gain_flow_prototype	`audits/2026-06-10_gain_flow_prototype/` + `audits/2026-06-10_oq92_step3_preregistration/`
ISSUES.md	4123	audits/2026-06-10_oq92_step3_preregistration	`audits/2026-06-10_gain_flow_prototype/` + `audits/2026-06-10_oq92_step3_preregistration/`
ISSUES.md	4124	audits/2026-06-10_oq94_row2_cirope_reachability	(+ `audits/2026-06-10_oq94_row2_cirope_reachability/`). OQ-90 Steps 2–4 UNBLOCKED; GAP-10
ISSUES.md	4127	audits/2026-06-09_capture_axis_cut_control	`audits/2026-06-09_capture_axis_cut_control/`), forcing the authored surface. **The Rulings
ISSUES.md	4181	audits/2026-06-11_oq93_grid_migration	`audits/2026-06-11_oq93_grid_migration/` (PREREGISTRATION.md incl. the operator-ruled split κ
ISSUES.md	4212	audits/2026-06-10_oq92_step3_preregistration	`audits/2026-06-10_oq92_step3_preregistration/` (Q2 ruling `PREREGISTRATION.md:152-180`;
ISSUES.md	4213	audits/2026-06-10_oq94_readsite_pass	`stage_d_controls.out`), `audits/2026-06-10_oq94_readsite_pass/` (12-file/33-site census),
ISSUES.md	4214	audits/2026-06-10_oq94_row2_cirope_reachability	`audits/2026-06-10_oq94_row2_cirope_reachability/` (7/7 — interception affirmatively killed).
ISSUES.md	4241	audits/2026-06-10_external_review_xprize	`audits/2026-06-10_external_review_xprize/`.
ISSUES.md	4247	audits/2026-06-10_oq95_phantom_node_fix	**Status:** resolved — 2026-06-10, option (a) at the shared source; evidence in `audits/2026-06-10_oq95_phantom_node_fix/`.
ISSUES.md	4248	audits/2026-06-10_oq77_serial_kill_condition	**Origin:** witnessed 2026-06-10 during the OQ-77 kill-condition audit (`audits/2026-06-10_oq77_serial_kill_condition/`, probe in `evidence/phantom_node_probe.t
ISSUES.md	4268	audits/2026-06-11_oq93_grid_migration	`audits/2026-06-11_oq93_grid_migration/` (phase6_*).
ISSUES.md	4275	audits/2026-06-11_oq97_pattern6_census	**Status:** resolved — 2026-06-11; census executed (`audits/2026-06-11_oq97_pattern6_census/`),
ISSUES.md	4292	audits/2026-06-11_oq98_verdict_join	**Status:** resolved — 2026-06-11; commits `e8ab707b` (plumbing) / `170db693` (histogram gate) / `ce9a26ec` (output-changing, schema_version 1→2); evidence `aud
ISSUES.md	4295	audits/2026-06-10_external_review_vote_market	(`audits/2026-06-10_external_review_vote_market/`): GREEN banner over a 0%-authored grid beside a
ISSUES.md	4365	audits/2026-06-10_external_review_xprize	(`audits/2026-06-10_external_review_xprize/README.md`). KNOWN_STATE 2026-06-11;
ISSUES.md	4366	audits/2026-06-11_oq93_grid_migration	`audits/2026-06-11_oq93_grid_migration/phase7_*`. Cross-refs: OQ-102 (closed), OQ-103 (resolved
ISSUES.md	4389	audits/2026-06-11_oq93_grid_migration	(before/after diff in `audits/2026-06-11_oq93_grid_migration/rider_b_drift_join_witness.txt`).
ISSUES.md	4402	audits/2026-06-10_external_review_xprize	**Resolution note.** Filed 2026-06-10 (`audits/2026-06-10_external_review_xprize/`): corpus-derived
ISSUES.md	4426	audits/2026-02-25_spectral_laplacian	at the OQ-33 close; `audits/2026-02-25_spectral_laplacian/outputs/` — 25 evidence files swallowed
ISSUES.md	4432	audits/2026-06-18_oq104_citation_checker	(`audits/2026-06-18_oq104_citation_checker/`): 1224 citations over 85 audit dirs;
ISSUES.md	4456	audits/2026-06-12_oq105_alignment_gate	(`audits/2026-06-12_oq105_alignment_gate/`). Filed 2026-06-11.
ISSUES.md	4459	audits/2026-06-11_oq46_backed_reconciliation	(`audits/2026-06-11_oq46_backed_reconciliation/`); per-row interpolation counterfactual
ISSUES.md	4460	audits/2026-06-11_oq105_row_sweep	(`audits/2026-06-11_oq105_row_sweep/`) — 4/23 rows type-diverge, every divergent cell the one
ISSUES.md	4485	audits/2026-06-12_oq106_retire	fail-closed NL gate) preserved as GAP-08 substrate. Witness: `audits/2026-06-12_oq106_retire/`
