
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	2037
GROUND	article_9_war_renunciation__inherent_right_reading	[deontological,deontological]
GROUND	article_9_war_renunciation__strict_pacifist_reading	[conventional,deontological]
GROUND	balfour_mandate_instruments__dual_obligation_indigenous_rights	[deontological,deontological]
GROUND	balfour_mandate_instruments__jewish_national_home_primacy	[conventional,deontological]
GROUND	balfour_mandate_instruments__mandatory_interpretive_discretion	[conventional,empirically_contingent]
GROUND	basic_law_interpretive_authority__judicial_supremacy_reading	[deontological,instrumental]
GROUND	basic_law_interpretive_authority__popular_constitutionalism_reading	[conventional,deontological]
GROUND	basic_law_interpretive_boundary__balanced_contestation_reading	[conventional,empirically_contingent,instrumental]
GROUND	basic_law_interpretive_boundary__judicial_supremacy_reading	[deontological,instrumental]
GROUND	beta_designation_doctrine__expansive_shield_reading	[conventional,instrumental]
GROUND	beta_designation_doctrine__narrow_warning_reading	[conventional,deontological,empirically_contingent]
GROUND	beta_designation_doctrine__severity_carve_out_reading	[conventional,deontological]
GROUND	biblical_authority__conciliar_reading	[conventional,deontological]
GROUND	biblical_authority__sola_scriptura_reading	[deontological,deontological]
GROUND	biblical_authority__tradition_scripture_reading	[deontological,deontological]
GROUND	biblical_divine_nature__modalist_reading	[deontological,empirically_contingent]
GROUND	biblical_divine_nature__trinitarian_reading	[deontological,deontological]
GROUND	biblical_divine_nature__unitarian_reading	[empirically_contingent,empirically_contingent]
GROUND	biblical_source_text__critical_reconstructive_reading	[deontological,empirically_contingent]
GROUND	biblical_source_text__dynamic_equivalence_reading	[instrumental,instrumental]
GROUND	biblical_source_text__formal_equivalence_reading	[deontological,empirically_contingent]
GROUND	bitcoin_consensus_kernel__maximalist_reading	[deontological,deontological]
GROUND	bitcoin_consensus_kernel__utility_reading	[conventional,instrumental]
GROUND	bitcoin_whitepaper__digital_gold_reading	[deontological,empirically_contingent,instrumental]
GROUND	bitcoin_whitepaper__p2p_cash_reading	[conventional,instrumental]
GROUND	bitcoin_whitepaper__protocol_ossification_reading	[conventional,deontological]
GROUND	bitcoin_whitepaper_purpose__electronic_cash_reading	[empirically_contingent,instrumental]
GROUND	bitcoin_whitepaper_purpose__store_of_value_reading	[deontological,instrumental]
GROUND	border_control_legitimacy__jurisdictional_sovereignty	[deontological,deontological]
GROUND	border_control_legitimacy__sovereignty_primary	[conventional,deontological]
GROUND	border_legitimacy__freedom_of_movement_reading	[deontological,deontological]
GROUND	border_legitimacy__humanitarian_obligation_reading	[deontological,deontological]
GROUND	border_legitimacy__sovereignty_reading	[conventional,deontological]
GROUND	border_normative_status__freedom_primary	[deontological,deontological]
GROUND	border_normative_status__qualified_sovereignty	[conventional,deontological]
GROUND	border_normative_status__sovereignty_primary	[deontological,instrumental]
GROUND	bretton_woods_treaty_substrate__keynesian_embedded_liberalism	[conventional,instrumental]
GROUND	bretton_woods_treaty_substrate__neoliberal_convertibility	[deontological,empirically_contingent]
GROUND	bretton_woods_treaty_substrate__sovereignty_defense	[deontological,empirically_contingent]
GROUND	caa_section_111d_delegation__facility_constraint_reading	[conventional,deontological]
GROUND	caa_section_111d_delegation__systemic_transformation_reading	[deontological,instrumental]
GROUND	catastrophe_avoidance_retention__catastrophe_as_necessary_selector	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_avoidance_retention__hybrid_near_miss_learning	[empirically_contingent,empirically_contingent,instrumental]
GROUND	catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	[deontological,empirically_contingent]
GROUND	catastrophe_memory_function__hybrid_transformation_reading	[conventional,instrumental]
GROUND	catastrophe_memory_function__mourning_practice_reading	[conventional,deontological]
GROUND	catastrophe_memory_function__survival_competence_reading	[empirically_contingent,instrumental]
GROUND	catastrophe_memory_kernel__survival_competence_reading	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_memory_kernel__symbol_continuity_reading	[deontological,deontological]
GROUND	catastrophe_memory_kernel__trauma_encoding_reading	[deontological,empirically_contingent]
GROUND	catastrophe_memory_preservation__hybrid_atrophy_reading	[deontological,empirically_contingent]
GROUND	catastrophe_memory_preservation__mourning_practice_reading	[conventional,deontological]
GROUND	catastrophe_memory_preservation__survival_competence_reading	[empirically_contingent,instrumental]
GROUND	catastrophe_memory_survival__competence_transmission_reading	[deontological,empirically_contingent]
GROUND	catastrophe_memory_survival__hybrid_encoding_reading	[empirically_contingent,instrumental]
GROUND	catastrophe_memory_survival__symbol_survival_reading	[conventional,deontological]
GROUND	catastrophe_memory_transmission__hybrid_embedded_reading	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_memory_transmission__operational_competence_reading	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_memory_transmission__symbol_continuity_reading	[deontological,deontological]
GROUND	catastrophe_proxy_sufficiency__catastrophe_necessity_reading	[deontological,empirically_contingent]
GROUND	catastrophe_proxy_sufficiency__hybrid_degradation_reading	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_proxy_sufficiency__simulation_as_proxy_catastrophe_reading	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_proxy_sufficiency__simulation_fidelity_threshold	[empirically_contingent,instrumental]
GROUND	cbdr_principle__historical_responsibility_reading	[conventional,deontological]
GROUND	cbdr_principle__voluntary_commitment_reading	[deontological,empirically_contingent]
GROUND	church_turing_thesis__epistemological_boundary_reading	[deontological,empirically_contingent]
GROUND	church_turing_thesis__mathematical_definition_reading	[conventional,empirically_contingent]
GROUND	church_turing_thesis__physical_claim_reading	[empirically_contingent,empirically_contingent]
GROUND	classical_latin_standard__continuity_reading	[conventional,deontological]
GROUND	classical_latin_standard__hybrid_reading	[deontological,instrumental]
GROUND	classical_latin_standard__reconstruction_reading	[conventional,empirically_contingent]
GROUND	climate_harm_prevention__adaptation_priority	[empirically_contingent,instrumental]
GROUND	climate_harm_prevention__degrowth_reading	[deontological,empirically_contingent]
GROUND	climate_harm_prevention__mitigation_priority	[empirically_contingent,instrumental]
GROUND	climate_mitigation_imperative__opportunity_cost_reading	[deontological,empirically_contingent]
GROUND	climate_mitigation_imperative__portfolio_optimization_reading	[empirically_contingent,empirically_contingent,instrumental]
GROUND	climate_mitigation_imperative__systems_transition_reading	[deontological,deontological]
GROUND	climate_mitigation_legitimacy__baseload_necessity_reading	[empirically_contingent,empirically_contingent]
GROUND	climate_mitigation_legitimacy__degrowth_sufficiency_reading	[deontological,empirically_contingent]
GROUND	climate_mitigation_legitimacy__portfolio_pragmatism_reading	[empirically_contingent,instrumental]
GROUND	climate_mitigation_legitimacy__renewable_primacy_reading	[empirically_contingent,empirically_contingent,instrumental]
GROUND	climate_response_action__adaptation_priority	[deontological,empirically_contingent]
GROUND	climate_response_action__degrowth_transformation	[deontological,empirically_contingent,empirically_contingent]
GROUND	climate_response_action__mitigation_priority	[empirically_contingent,empirically_contingent,instrumental]
GROUND	climate_response_imperative__adaptation_priority_reading	[conventional,empirically_contingent,instrumental]
GROUND	climate_response_imperative__degrowth_reading	[deontological,empirically_contingent]
GROUND	climate_response_imperative__mitigation_priority_reading	[empirically_contingent,empirically_contingent,instrumental]
GROUND	climate_response_legitimacy__adaptation_priority	[conventional,empirically_contingent]
GROUND	climate_response_legitimacy__degrowth_transformation	[deontological,deontological,empirically_contingent]
GROUND	climate_response_legitimacy__mitigation_priority	[empirically_contingent,instrumental,instrumental]
GROUND	climate_response_obligation__adaptation_priority	[deontological,empirically_contingent,empirically_contingent]
GROUND	climate_response_obligation__degrowth_reading	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	climate_response_obligation__mitigation_priority	[deontological,empirically_contingent]
GROUND	coercion_legitimacy_boundary__bodily_autonomy_primary	[deontological,deontological]
GROUND	coercion_legitimacy_boundary__proportionality_reading	[deontological,empirically_contingent]
GROUND	coercion_legitimacy_boundary__public_health_primary	[empirically_contingent,empirically_contingent]
GROUND	combatant_status_definition__functional_protection_reading	[deontological,deontological]
GROUND	combatant_status_definition__national_liberation_reading	[deontological,deontological]
GROUND	combatant_status_definition__state_centric_reading	[conventional,empirically_contingent]
GROUND	commerce_clause_scope__broad_effects_test	[deontological,deontological]
GROUND	commerce_clause_scope__intermediate_channels	[conventional,deontological]
GROUND	commerce_clause_scope__narrow_originalist	[deontological,deontological,empirically_contingent]
GROUND	commerce_clause_text__expansive_federal_reading	[conventional,empirically_contingent]
GROUND	commerce_clause_text__originalist_narrow_reading	[empirically_contingent,empirically_contingent]
GROUND	commerce_clause_text__substantial_effects_limited_reading	[deontological,empirically_contingent]
GROUND	common_article_3_scope__expansive_human_rights_reading	[deontological,instrumental]
GROUND	common_article_3_scope__icrc_customary_reading	[conventional,conventional]
GROUND	common_article_3_scope__state_centric_reading	[deontological,empirically_contingent]
GROUND	common_law_precedent_corpus__evolutionary_framework	[deontological,instrumental]
GROUND	common_law_precedent_corpus__pluralist_balancing	[conventional,deontological]
GROUND	common_law_precedent_corpus__strict_stare_decisis	[conventional,deontological]
GROUND	competence_exercise_requirement__catastrophe_as_necessary_anchor	[empirically_contingent,empirically_contingent]
GROUND	competence_exercise_requirement__hybrid_dependency	[deontological,empirically_contingent,empirically_contingent]
GROUND	competence_exercise_requirement__simulation_as_adequate_exercise	[deontological,empirically_contingent]
GROUND	competence_exercise_validity__continuous_refresh_hybrid	[deontological,empirically_contingent]
GROUND	competence_exercise_validity__real_catastrophe_only	[empirically_contingent,empirically_contingent]
GROUND	competence_exercise_validity__simulation_as_proxy	[empirically_contingent,instrumental]
GROUND	competence_occupation__hybrid_occupation	[conventional,empirically_contingent]
GROUND	competence_occupation__real_incident_necessity	[deontological,empirically_contingent]
GROUND	competence_occupation__simulation_sufficiency	[empirically_contingent,instrumental]
GROUND	competence_retention_exercise__catastrophe_as_necessary	[empirically_contingent,empirically_contingent]
GROUND	competence_retention_exercise__near_miss_as_bridge	[empirically_contingent,empirically_contingent]
GROUND	competence_retention_exercise__simulation_as_sufficient	[empirically_contingent,instrumental]
GROUND	constitutional_authority_boundary__coordinate_construction_reading	[conventional,deontological]
GROUND	constitutional_authority_boundary__judicial_supremacy_reading	[deontological,empirically_contingent]
GROUND	constitutional_authority_boundary__parliamentary_primacy_reading	[conventional,deontological]
GROUND	constitutional_interpretive_authority__coordinate_construction_reading	[conventional,deontological]
GROUND	constitutional_interpretive_authority__judicial_supremacy_reading	[deontological,deontological]
GROUND	constitutional_interpretive_authority__parliamentary_supremacy_reading	[deontological,deontological]
GROUND	constitutional_secularism__principled_intervention_reading	[deontological,deontological]
GROUND	constitutional_secularism__reformist_reading	[deontological,deontological]
GROUND	constitutional_secularism__strict_neutrality_reading	[conventional,deontological]
GROUND	constitutional_text__judicial_supremacy_reading	[conventional,deontological]
GROUND	constitutional_text__legislative_sovereignty_reading	[conventional,deontological]
GROUND	constitutional_text__popular_sovereignty_reading	[deontological,instrumental]
GROUND	constitutional_text_authority__living_constitutionalist_reading	[deontological,empirically_contingent]
GROUND	constitutional_text_authority__originalist_reading	[conventional,empirically_contingent]
GROUND	constitutional_text_authority__positivist_reading	[conventional,deontological]
GROUND	copyright_constitutional_mandate__corporate_enclosure_reading	[conventional,deontological]
GROUND	copyright_constitutional_mandate__judicial_ambiguity_reading	[conventional,deontological]
GROUND	copyright_constitutional_mandate__public_scaffold_reading	[deontological,deontological,empirically_contingent]
GROUND	correct_latin__continuity_reading	[conventional,empirically_contingent]
GROUND	correct_latin__discontinuity_reading	[deontological,empirically_contingent]
GROUND	correct_latin__hybrid_reading	[deontological,empirically_contingent]
GROUND	correct_latin_kernel__continuity_reading	[deontological,empirically_contingent]
GROUND	correct_latin_kernel__discontinuity_reading	[conventional,empirically_contingent]
GROUND	correct_latin_kernel__hybrid_reading	[deontological,empirically_contingent]
GROUND	creed_381_pneumatology__ecumenical_reunion_reading	[conventional,deontological]
GROUND	creed_381_pneumatology__filioque_reading	[deontological,empirically_contingent]
GROUND	creed_381_pneumatology__monoprocession_reading	[conventional,deontological,empirically_contingent]
GROUND	cultural_property_legal_corpus__indigenous_stewardship_reading	[deontological,deontological]
GROUND	cultural_property_legal_corpus__sovereign_repatriation_reading	[deontological,deontological]
GROUND	cultural_property_legal_corpus__universal_heritage_reading	[empirically_contingent,instrumental]
GROUND	decalogue_image_prohibition__iconoclast_reading	[deontological,theological]
GROUND	decalogue_image_prohibition__iconodule_reading	[deontological,deontological]
GROUND	decalogue_image_prohibition__moderate_iconoclast_reading	[empirically_contingent,instrumental]
GROUND	deferential_realism_ontology__hybrid_pragmatic_reading	[conventional,instrumental]
GROUND	deferential_realism_ontology__immutable_diagnostic_reading	[deontological,empirically_contingent]
GROUND	deferential_realism_ontology__rhetorical_scaffold_reading	[conventional,deontological]
GROUND	derivative_work_statutory_boundary__coordination_reading	[deontological,instrumental]
GROUND	derivative_work_statutory_boundary__enclosure_reading	[conventional,instrumental]
GROUND	derivative_work_statutory_boundary__hybrid_carveout_reading	[conventional,deontological]
GROUND	dharmasastra_corpus__abolitionist_rejection	[empirically_contingent,empirically_contingent]
GROUND	dharmasastra_corpus__orthodox_literalist	[conventional,deontological]
GROUND	dharmasastra_corpus__reformist_contextual	[deontological,empirically_contingent]
GROUND	digital_money_emergence_boundary__conceptualization_reading	[empirically_contingent,empirically_contingent]
GROUND	digital_money_emergence_boundary__consumer_holdings_reading	[conventional,instrumental]
GROUND	digital_money_emergence_boundary__infrastructure_reading	[deontological,instrumental]
GROUND	digital_money_origin__became_thinkable_reading	[conventional,deontological]
GROUND	digital_money_origin__first_held_reading	[empirically_contingent,empirically_contingent]
GROUND	digital_money_origin__regulatory_recognition_reading	[conventional,conventional]
GROUND	dignified_death__autonomy_primary	[deontological,deontological]
GROUND	dignified_death__relational_autonomy	[deontological,deontological]
GROUND	dignified_death__sanctity_primary	[deontological,theological]
GROUND	dignity_kernel__autonomy_rights_reading	[deontological,empirically_contingent]
GROUND	dignity_kernel__imago_dei_reading	[theological,theological]
GROUND	dignity_kernel__posthumanist_reading	[empirically_contingent,instrumental]
GROUND	divine_legitimacy_substrate__amun_polytheistic_reading	[conventional,deontological]
GROUND	divine_legitimacy_substrate__atenist_monotheistic_reading	[deontological,theological]
GROUND	divine_marriage_command__coercion_visibility_reading	[conventional,instrumental]
GROUND	divine_marriage_command__continuationist_reading	[deontological,deontological]
GROUND	divine_marriage_command__substitutionist_reading	[deontological,empirically_contingent]
GROUND	dollar_gold_convertibility__policy_flexible_reading	[deontological,instrumental]
GROUND	dollar_gold_convertibility__strict_convertibility_reading	[conventional,deontological]
GROUND	dollar_gold_convertibility__triffin_structural_reading	[deontological,empirically_contingent]
GROUND	doomsday_clock_metric__objective_index_reading	[deontological,empirically_contingent]
GROUND	doomsday_clock_metric__performative_tool_reading	[deontological,instrumental]
GROUND	dsm_taxonomy_kernel__biomedical_reading	[conventional,empirically_contingent,empirically_contingent]
GROUND	dsm_taxonomy_kernel__critical_psychiatry_reading	[empirically_contingent,empirically_contingent]
GROUND	dsm_taxonomy_kernel__neurodiversity_reading	[deontological,deontological,empirically_contingent]
GROUND	dual_class_legitimacy__disclosure_consent	[conventional,deontological]
GROUND	dual_class_legitimacy__founder_stewardship	[deontological,instrumental]
GROUND	dual_class_legitimacy__minority_extraction	[deontological,instrumental]
GROUND	dueling_disappearance_mechanism__contraction_reading	[deontological,instrumental]
GROUND	dueling_disappearance_mechanism__institutional_displacement_reading	[empirically_contingent,empirically_contingent]
GROUND	ecb_mandate_article_127__climate_incorporation	[conventional,empirically_contingent]
GROUND	ecb_mandate_article_127__expansive_secondary_objectives	[conventional,deontological]
GROUND	ecb_mandate_article_127__orthodox_price_stability	[conventional,instrumental]
GROUND	electronic_money_emergence__became_thinkable_reading	[deontological,empirically_contingent]
GROUND	electronic_money_emergence__first_held_reading	[conventional,deontological]
GROUND	electronic_money_emergence__m4_m5_collapse_reading	[conventional,deontological]
GROUND	employment_boundary__formalist_employment_reading	[conventional,deontological]
GROUND	employment_boundary__hybrid_security_reading	[empirically_contingent,instrumental]
GROUND	employment_boundary__substantive_employment_reading	[deontological,deontological]
GROUND	end_of_life_authority__autonomy_reading	[deontological,instrumental]
GROUND	end_of_life_authority__sanctity_reading	[conventional,deontological,empirically_contingent]
GROUND	end_of_life_authority__slippery_slope_mechanism	[empirically_contingent,empirically_contingent]
GROUND	end_of_life_decision_authority__autonomy_reading	[deontological,deontological]
GROUND	end_of_life_decision_authority__sanctity_reading	[conventional,deontological,deontological]
GROUND	end_of_life_decision_authority__vulnerability_protection_reading	[empirically_contingent,instrumental]
GROUND	equal_protection_clause__colorblind_reading	[deontological,deontological]
GROUND	equal_protection_clause__diversity_reading	[conventional,empirically_contingent]
GROUND	equal_protection_clause__remedial_reading	[deontological,empirically_contingent]
GROUND	equal_protection_commitment__colorblind_reading	[deontological,deontological]
GROUND	equal_protection_commitment__diversity_reading	[deontological,empirically_contingent]
GROUND	equal_protection_commitment__remedial_reading	[deontological,deontological]
GROUND	equal_protection_kernel__antisubordination_reading	[deontological,instrumental]
GROUND	equal_protection_kernel__remedial_reading	[deontological,instrumental]
GROUND	equality_clause_scope__expansive_universalist	[deontological,deontological]
GROUND	equality_clause_scope__progressive_textualist	[conventional,conventional]
GROUND	equality_clause_scope__restrictive_originalist	[conventional,empirically_contingent]
GROUND	eternal_marriage_covenant__immutable_commandment_reading	[deontological,theological]
GROUND	eternal_marriage_covenant__prophetic_override_reading	[deontological,instrumental]
GROUND	eternal_marriage_covenant__temporal_accommodation_reading	[conventional,deontological]
GROUND	eu_council_unanimity__diplomatic_capital_reading	[empirically_contingent,instrumental]
GROUND	eu_council_unanimity__sovereignty_guarantor_reading	[deontological,deontological]
GROUND	eu_council_unanimity__veto_trap_reading	[empirically_contingent,empirically_contingent]
GROUND	exercise_as_competence_maintenance__hybrid_decay_reading	[deontological,empirically_contingent,empirically_contingent]
GROUND	exercise_as_competence_maintenance__lived_catastrophe_necessity_reading	[empirically_contingent,empirically_contingent]
GROUND	exercise_as_competence_maintenance__simulation_sufficiency_reading	[empirically_contingent,instrumental]
GROUND	fair_use_four_factor_test__creator_centric_reading	[deontological,instrumental]
GROUND	fair_use_four_factor_test__transformative_use_reading	[empirically_contingent,instrumental]
GROUND	fair_use_four_factor_test__user_centric_reading	[deontological,deontological]
GROUND	fair_use_statutory_exception__market_licensing_reading	[empirically_contingent,instrumental]
GROUND	fair_use_statutory_exception__narrow_defense_reading	[conventional,deontological]
GROUND	fair_use_statutory_exception__transformative_right_reading	[deontological,instrumental]
GROUND	family_law_authority__christian_canonical_reading	[conventional,deontological]
GROUND	family_law_authority__hindu_dharmashastra_reading	[deontological,empirically_contingent,theological]
GROUND	family_law_authority__muslim_shariat_reading	[deontological,deontological,empirically_contingent]
GROUND	family_law_authority__parsi_zoroastrian_reading	[deontological,deontological]
GROUND	family_law_authority__secular_contractual_reading	[conventional,deontological,deontological]
GROUND	federation_membership__integration_reading	[conventional,deontological]
GROUND	federation_membership__sovereignty_reading	[deontological,deontological]
GROUND	federation_membership_kernel__integration_reading	[deontological,instrumental]
GROUND	federation_membership_kernel__member_sovereignty_reading	[conventional,empirically_contingent]
GROUND	federation_membership_kernel__welfare_coordination_reading	[empirically_contingent,instrumental]
GROUND	federation_membership_obligations__integration_primary	[deontological,deontological]
GROUND	federation_membership_obligations__member_sovereignty_primary	[deontological,empirically_contingent]
GROUND	federation_membership_obligations__selective_solidarity	[empirically_contingent,instrumental]
GROUND	federation_membership_treaty__integration_primary	[deontological,deontological]
GROUND	federation_membership_treaty__sovereignty_primary	[conventional,instrumental]
GROUND	federation_membership_treaty__subsidiarity_balance	[conventional,deontological]
GROUND	feud_obligation_kernel__christianized_pacification_reading	[conventional,deontological]
GROUND	feud_obligation_kernel__extraction_cycle_reading	[empirically_contingent,empirically_contingent]
GROUND	feud_obligation_kernel__stateless_coordination_reading	[conventional,instrumental]
GROUND	feudal_oath_reciprocity__ecclesiastical_mediation_reading	[deontological,theological]
GROUND	feudal_oath_reciprocity__lord_extraction_reading	[empirically_contingent,instrumental]
GROUND	feudal_oath_reciprocity__vassal_coordination_reading	[conventional,conventional]
GROUND	fifth_republic_constitution__cohabitation_equilibrium_reading	[conventional,conventional,deontological]
GROUND	fifth_republic_constitution__hyper_presidential_reading	[deontological,empirically_contingent,empirically_contingent]
GROUND	fifth_republic_constitution__parliamentary_constraint_reading	[conventional,deontological]
GROUND	first_amendment_speech_protection__absolutist_reading	[deontological,instrumental]
GROUND	first_amendment_speech_protection__categorical_balancing_reading	[deontological,empirically_contingent]
GROUND	first_amendment_speech_protection__harm_limited_reading	[deontological,empirically_contingent]
GROUND	fisa_702_statutory_text__constitutional_floor_reading	[deontological,deontological]
GROUND	fisa_702_statutory_text__foreign_target_strict_reading	[deontological,deontological]
GROUND	fisa_702_statutory_text__incidental_collection_reading	[deontological,empirically_contingent]
GROUND	flexible_employment_legitimacy__developmental_state_reading	[deontological,empirically_contingent]
GROUND	flexible_employment_legitimacy__market_efficiency_reading	[empirically_contingent,instrumental]
GROUND	flexible_employment_legitimacy__precarity_extraction_reading	[deontological,empirically_contingent]
GROUND	fourteenth_amendment_equal_protection__anti_caste_reading	[deontological,deontological]
GROUND	gdpr_article_3_scope__effects_jurisdiction_reading	[deontological,instrumental]
GROUND	gdpr_article_3_scope__market_access_reading	[conventional,conventional]
GROUND	gdpr_article_3_scope__territorial_sovereignty_reading	[conventional,deontological]
GROUND	gelassenheit_separation__artifact_reading	[conventional,deontological]
GROUND	gelassenheit_separation__consequence_reading	[deontological,instrumental]
GROUND	gelassenheit_separation__principle_reading	[deontological,deontological]
GROUND	gendered_category_membership__biological_sex_reading	[empirically_contingent,empirically_contingent]
GROUND	gendered_category_membership__gender_identity_reading	[deontological,deontological]
GROUND	gendered_category_membership__social_role_reading	[conventional,empirically_contingent]
GROUND	genesis_creation_cosmology__literary_framework	[conventional,deontological]
GROUND	genesis_creation_cosmology__theistic_evolution	[deontological,empirically_contingent]
GROUND	genesis_creation_cosmology__young_earth_literal	[deontological,empirically_contingent]
GROUND	genesis_creation_narrative__allegorical_ancient_near_east	[deontological,empirically_contingent]
GROUND	genesis_creation_narrative__literal_young_earth	[deontological,empirically_contingent,empirically_contingent]
GROUND	genesis_creation_narrative__theistic_evolutionary	[conventional,deontological,deontological]
GROUND	geneva_conventions_1949__conditional_reciprocity_reading	[conventional,deontological]
