id	baseeps	supp
border_legitimacy__sovereignty_primary_reading	0.58	0.72
border_legitimacy__sovereignty_reading	0.68	0.72
border_normative_status__freedom_primary	0.58	0.72
border_normative_status__qualified_sovereignty	0.58	0.65
border_normative_status__sovereignty_primary	0.58	0.72
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	0.35	0.42
bretton_woods_treaty_substrate__neoliberal_convertibility	0.58	0.72
bretton_woods_treaty_substrate__sovereignty_defense	0.58	0.68
burali_forte_paradox	0.12	0.03
bureaucratic_discretion_capture	0.58	0.62
bureaucratic_legibility_collapse	0.58	0.62
bureaucratic_rent_seeking	0.52	0.65
busy_beaver_noncomputability	0.12	0.03
caa_section_111d_delegation__facility_constraint_reading	0.58	0.62
caa_section_111d_delegation__state_compliance_pathway_constraint	0.52	0.48
caa_section_111d_delegation__systemic_transformation_reading	0.58	0.68
canadian_equalization_regime	0.52	0.48
capability_acceleration_outpacing_safety	0.68	0.72
capability_velocity_mismatch	0.58	0.65
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	0.58	0.72
catastrophe_avoidance_retention__hybrid_near_miss_learning	0.52	0.48
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	0.38	0.52
catastrophe_memory_function__hybrid_transformation_reading	0.38	0.52
catastrophe_memory_function__mourning_practice_reading	0.38	0.62
catastrophe_memory_function__survival_competence_reading	0.32	0.48
catastrophe_memory_preservation__hybrid_atrophy_reading	0.28	0.62
catastrophe_memory_preservation__mourning_practice_reading	0.22	0.18
catastrophe_memory_preservation__survival_competence_reading	0.58	0.62
catastrophe_memory_survival__competence_transmission_reading	0.52	0.58
catastrophe_memory_survival__hybrid_encoding_reading	0.38	0.52
catastrophe_memory_survival__symbol_survival_reading	0.58	0.65
catastrophe_memory_transmission__hybrid_embedded_reading	0.28	0.42
catastrophe_memory_transmission__hybrid_pedagogical_reading	0.52	0.58
catastrophe_memory_transmission__mourning_practice_reading	0.58	0.65
catastrophe_memory_transmission__operational_competence_reading	0.22	0.18
catastrophe_memory_transmission__survival_competence_reading	0.38	0.48
catastrophe_memory_transmission__symbol_continuity_reading	0.52	0.68
causal_inference_gap	0.58	0.65
cbdr_principle__historical_responsibility_reading	0.58	0.62
cbdr_principle__voluntary_commitment_reading	0.58	0.62
chaos_trajectory_divergence	0.12	0.03
chemical_regulatory_capture	0.58	0.68
china_advanced_chip_design_constraint	0.58	0.72
chip_constraint_bottleneck	0.38	0.42
chip_control_efficacy	0.18	0.35
church_turing_thesis__epistemological_boundary_reading	0.38	0.52
church_turing_thesis__mathematical_definition_reading	0.05	0.02
church_turing_thesis__physical_claim_reading	0.48	0.62
class_field_theory_foundation	0.12	0.02
classical_latin_standard__continuity_reading	0.38	0.32
classical_latin_standard__hybrid_reading	0.38	0.48
classical_latin_standard__reconstruction_reading	0.62	0.68
clawderberg_recursive_slop	0.58	0.62
click_chemistry_paradigm_2026	0.58	0.48
climate_harm_prevention__adaptation_priority	0.58	0.72
climate_harm_prevention__degrowth_reading	0.68	0.72
climate_harm_prevention__mitigation_priority	0.58	0.62
climate_response_action__adaptation_priority	0.58	0.62
climate_response_action__degrowth_transformation	0.68	0.72
climate_response_action__mitigation_priority	0.54	0.62
climate_response_imperative__adaptation_priority_reading	0.58	0.62
climate_response_imperative__degrowth_reading	0.58	0.72
climate_response_imperative__mitigation_priority_reading	0.58	0.62
climate_response_legitimacy__adaptation_priority	0.58	0.62
climate_response_legitimacy__degrowth_transformation	0.58	0.72
climate_response_legitimacy__mitigation_priority	0.58	0.62
climate_response_obligation__adaptation_priority	0.58	0.52
climate_response_obligation__degrowth_reading	0.58	0.72
climate_response_obligation__mitigation_priority	0.58	0.68
climate_stabilization_timeline	0.58	0.68
coercion_legitimacy_boundary__bodily_autonomy_primary	0.68	0.72
coercion_legitimacy_boundary__proportionality_reading	0.52	0.58
coercion_legitimacy_boundary__public_health_primary	0.58	0.72
cold_war_geopolitical_constraint	0.58	0.72
collateral_sufficiency_floor	0.52	0.68
collective_stupidity_2026	0.68	0.72
combatant_status_definition__functional_protection_reading	0.15	0.35
combatant_status_definition__national_liberation_reading	0.58	0.68
combatant_status_definition__state_centric_reading	0.62	0.75
commerce_clause_scope__broad_effects_test	0.58	0.72
commerce_clause_scope__intermediate_channels	0.48	0.52
commerce_clause_scope__narrow_originalist	0.38	0.52
commerce_clause_text__expansive_federal_reading	0.58	0.62
commerce_clause_text__originalist_narrow_reading	0.38	0.52
commerce_clause_text__substantial_effects_limited_reading	0.42	0.48
commercial_fishery_quota_systems	0.52	0.58
commodified_permission_structure	0.52	0.48
common_article_3_scope__expansive_human_rights_reading	0.62	0.68
common_article_3_scope__icrc_customary_reading	0.38	0.42
common_article_3_scope__state_centric_reading	0.58	0.68
common_law_precedent_corpus__evolutionary_framework	0.38	0.48
common_law_precedent_corpus__pluralist_balancing	0.52	0.48
common_law_precedent_corpus__strict_stare_decisis	0.52	0.68
competence_exercise_requirement__catastrophe_as_necessary_anchor	0.68	0.72
competence_exercise_requirement__hybrid_dependency	0.52	0.58
competence_exercise_requirement__simulation_as_adequate_exercise	0.38	0.52
competence_exercise_validity__continuous_refresh_hybrid	0.52	0.48
competence_exercise_validity__real_catastrophe_only	0.58	0.68
competence_exercise_validity__simulation_as_proxy	0.58	0.65
competence_occupation__hybrid_occupation	0.48	0.62
competence_occupation__real_incident_necessity	0.68	0.72
competence_occupation__simulation_sufficiency	0.58	0.62
competence_retention_exercise__catastrophe_as_necessary	0.58	0.68
competence_retention_exercise__near_miss_as_bridge	0.38	0.48
competence_retention_exercise__simulation_as_sufficient	0.38	0.52
compliance_cost_asymmetry	0.54	0.62
complicity_equilibrium	0.58	0.68
consent_fatigue_externality	0.58	0.62
constitutional_authority_boundary__coordinate_construction_reading	0.42	0.48
constitutional_authority_boundary__judicial_supremacy_reading	0.62	0.58
constitutional_authority_boundary__parliamentary_primacy_reading	0.18	0.35
constitutional_interpretive_authority__coordinate_construction_reading	0.48	0.58
constitutional_interpretive_authority__judicial_supremacy_reading	0.58	0.62
constitutional_interpretive_authority__parliamentary_supremacy_reading	0.52	0.68
constitutional_secularism__principled_intervention_reading	0.58	0.68
constitutional_secularism__reformist_reading	0.58	0.72
constitutional_secularism__strict_neutrality_reading	0.38	0.45
constitutional_text__judicial_supremacy_reading	0.52	0.68
constitutional_text__legislative_sovereignty_reading	0.58	0.65
constitutional_text__popular_sovereignty_reading	0.38	0.48
constitutional_text_authority__living_constitutionalist_reading	0.38	0.42
constitutional_text_authority__originalist_reading	0.58	0.52
constitutional_text_authority__positivist_reading	0.38	0.52
cop_consensus_paralysis	0.58	0.72
copyright_constitutional_mandate__corporate_enclosure_reading	0.68	0.75
copyright_constitutional_mandate__judicial_ambiguity_reading	0.38	0.45
copyright_constitutional_mandate__public_scaffold_reading	0.22	0.35
correct_latin__living_drift_reading	0.12	0.08
correct_latin__prescriptive_ideal_reading	0.68	0.72
correct_latin__textual_recovery_reading	0.48	0.52
correct_latin_kernel__continuity_reading	0.22	0.35
correct_latin_kernel__reconstructionist_reading	0.58	0.62
correct_latin_kernel__reoccupation_reading	0.58	0.65
counterparty_risk_opacity	0.58	0.62
creed_381_pneumatology__ecumenical_reunion_reading	0.28	0.32
creed_381_pneumatology__filioque_reading	0.58	0.65
creed_381_pneumatology__monoprocession_reading	0.58	0.62
crustal_hydrogen_availability	0.18	0.03
cryptocurrency_settlement_competition	0.58	0.65
cryptographic_key_selection	0.08	0.02
cultural_homogenization_social_media	0.58	0.62
cultural_legitimacy_gatekeeping	0.52	0.58
cultural_property_legal_corpus__indigenous_stewardship_reading	0.68	0.75
cultural_property_legal_corpus__sovereign_repatriation_reading	0.48	0.62
cultural_property_legal_corpus__universal_heritage_reading	0.52	0.48
cuny_light_2026	0.08	0.12
currency_depreciation_spiral	0.58	0.65
dark_matter_structure_formation_timeline	0.12	0.03
decalogue_image_prohibition__iconoclast_reading	0.68	0.72
decalogue_image_prohibition__iconodule_reading	0.28	0.32
decalogue_image_prohibition__moderate_iconoclast_reading	0.52	0.58
decentralization_censorship_resistance	0.58	0.62
defense_contractor_vendor_capture	0.58	0.68
deferential_realism_ontology__hybrid_pragmatic_reading	0.48	0.52
deferential_realism_ontology__immutable_diagnostic_reading	0.68	0.72
deferential_realism_ontology__rhetorical_scaffold_reading	0.58	0.35
deforestation_commons	0.68	0.72
derivative_work_statutory_boundary__coordination_reading	0.18	0.12
derivative_work_statutory_boundary__enclosure_reading	0.68	0.72
derivative_work_statutory_boundary__hybrid_carveout_reading	0.48	0.52
developing_nation_debt_sustainability	0.58	0.72
dharmasastra_corpus__abolitionist_rejection	0.68	0.72
dharmasastra_corpus__orthodox_literalist	0.68	0.72
dharmasastra_corpus__reformist_contextual	0.52	0.48
digital_identity_standardization	0.58	0.62
digital_money_emergence_boundary__conceptualization_reading	0.38	0.48
digital_money_emergence_boundary__consumer_holdings_reading	0.42	0.48
digital_money_emergence_boundary__infrastructure_reading	0.52	0.45
digital_money_origin__consumer_access_reading	0.38	0.48
digital_money_origin__infrastructure_reading	0.38	0.52
digital_money_origin__peer_to_peer_reading	0.58	0.72
dignified_death__autonomy_primary	0.52	0.68
dignified_death__relational_autonomy	0.38	0.42
dignified_death__sanctity_primary	0.58	0.68
disability_identity_politics	0.52	0.68
disney_openai_ip_exclusivity	0.58	0.68
distributed_system_coherence	0.38	0.52
divine_legitimacy_substrate__amun_polytheistic_reading	0.48	0.52
divine_legitimacy_substrate__atenist_monotheistic_reading	0.68	0.75
divine_legitimacy_substrate__enforcement_collapse_mechanism	0.58	0.65
divine_legitimacy_substrate__folk_syncretistic_reading	0.35	0.32
divine_marriage_command__coercion_visibility_reading	0.58	0.68
divine_marriage_command__continuationist_reading	0.58	0.72
divine_marriage_command__substitutionist_reading	0.58	0.72
dldr_information_policy	0.58	0.48
dollar_gold_convertibility__policy_flexible_reading	0.52	0.48
dollar_gold_convertibility__strict_convertibility_reading	0.68	0.72
dollar_gold_convertibility__triffin_structural_reading	0.68	0.72
doomsday_clock_metric__hybrid_legitimacy_reading	0.52	0.48
doomsday_clock_metric__objective_index_reading	0.58	0.68
doomsday_clock_metric__performative_tool_reading	0.58	0.62
dsm_taxonomy_kernel__biomedical_reading	0.68	0.72
dsm_taxonomy_kernel__critical_psychiatry_reading	0.58	0.62
dsm_taxonomy_kernel__neurodiversity_reading	0.68	0.72
dueling_disappearance_mechanism__institutional_displacement_reading	0.12	0.08
dueling_disappearance_mechanism__overdetermined_composite_reading	0.52	0.68
ecb_mandate_article_127__climate_incorporation	0.52	0.58
ecb_mandate_article_127__expansive_secondary_objectives	0.52	0.48
ecb_mandate_article_127__orthodox_price_stability	0.58	0.68
ecclesiastical_extraction_collapse	0.58	0.72
ecumenical_boundary_shift	0.52	0.48
eidas_digital_identity	0.52	0.45
electronic_money_emergence__became_thinkable_reading	0.38	0.42
electronic_money_emergence__first_held_reading	0.38	0.42
electronic_money_emergence__m4_m5_collapse_reading	0.58	0.65
elite_identity_capture_2026	0.58	0.62
emergency_response_reach	0.58	0.65
emerging_market_debt_trap	0.58	0.72
emotional_labor_extraction	0.62	0.68
end_of_life_authority__autonomy_reading	0.58	0.62
end_of_life_authority__sanctity_reading	0.58	0.62
end_of_life_decision_authority__autonomy_reading	0.58	0.68
end_of_life_decision_authority__sanctity_reading	0.58	0.68
end_of_life_decision_authority__vulnerability_protection_reading	0.58	0.52
enforcement_asymmetry_axis	0.58	0.68
environmental_instability_as_constraint	0.18	0.03
equal_protection_clause__anti_subordination_reading	0.52	0.58
equal_protection_clause__colorblind_reading	0.38	0.62
equal_protection_clause__diversity_reading	0.22	0.38
equal_protection_clause__formal_equality_reading	0.38	0.45
equal_protection_clause__remedial_reading	0.58	0.65
equal_protection_clause__substantive_equality_reading	0.58	0.68
equal_protection_commitment__colorblind_reading	0.42	0.48
equal_protection_commitment__diversity_reading	0.28	0.42
equal_protection_commitment__remedial_reading	0.52	0.45
equality_clause_scope__expansive_universalist	0.38	0.42
equality_clause_scope__progressive_textualist	0.38	0.45
equality_clause_scope__restrictive_originalist	0.58	0.72
ergo_nipopows	0.52	0.48
ergo_utxo_state_bloat_accumulation	0.58	0.65
ergodic_decomposition	0.08	0.02
eternal_marriage_covenant__immutable_commandment_reading	0.68	0.78
eternal_marriage_covenant__prophetic_override_reading	0.58	0.72
eternal_marriage_covenant__temporal_accommodation_reading	0.38	0.52
eu_council_unanimity__diplomatic_capital_reading	0.28	0.32
eu_council_unanimity__sovereignty_guarantor_reading	0.32	0.28
eu_council_unanimity__veto_trap_reading	0.58	0.62
exclusion_as_preparation	0.52	0.48
expert_disempowerment	0.52	0.58
expertise_specialization_trap	0.54	0.62
export_proliferation_pathway	0.48	0.62
fair_use_four_factor_test__creator_centric_reading	0.58	0.62
fair_use_four_factor_test__transformative_use_reading	0.52	0.48
fair_use_four_factor_test__user_centric_reading	0.35	0.48
fair_use_statutory_exception__market_licensing_reading	0.78	0.72
fair_use_statutory_exception__narrow_defense_reading	0.58	0.65
fair_use_statutory_exception__transformative_right_reading	0.38	0.52
family_law_authority__communal_autonomy_reading	0.45	0.58
family_law_authority__constitutional_supremacy_reading	0.32	0.48
family_law_authority__hybrid_accommodation_reading	0.35	0.48
fb_creator_monetization_indonesia	0.58	0.62
federation_membership__integration_reading	0.52	0.58
federation_membership__sovereignty_reading	0.58	0.62
federation_membership_kernel__integration_reading	0.58	0.62
federation_membership_kernel__member_sovereignty_reading	0.58	0.62
federation_membership_kernel__welfare_coordination_reading	0.52	0.58
federation_membership_obligations__integration_primary	0.48	0.62
federation_membership_obligations__member_sovereignty_primary	0.52	0.58
federation_membership_obligations__selective_solidarity	0.58	0.68
federation_membership_treaty__integration_primary	0.52	0.68
federation_membership_treaty__sovereignty_primary	0.58	0.65
federation_membership_treaty__subsidiarity_balance	0.38	0.48
feud_obligation_kernel__christianized_pacification_reading	0.58	0.72
feud_obligation_kernel__extraction_cycle_reading	0.58	0.72
feud_obligation_kernel__stateless_coordination_reading	0.35	0.42
feudal_oath_reciprocity__ecclesiastical_mediation_reading	0.42	0.48
feudal_oath_reciprocity__lord_extraction_reading	0.68	0.72
feudal_oath_reciprocity__vassal_coordination_reading	0.18	0.25
fifth_republic_constitution__cohabitation_equilibrium_reading	0.48	0.52
fifth_republic_constitution__hyper_presidential_reading	0.68	0.65
fifth_republic_constitution__parliamentary_constraint_reading	0.28	0.42
filter_bubble_closure	0.58	0.68
financialization_drag	0.58	0.64
finite_group_classification	0.02	0.0
first_amendment_speech_protection__absolutist_reading	0.52	0.68
first_amendment_speech_protection__categorical_balancing_reading	0.58	0.62
first_amendment_speech_protection__harm_limited_reading	0.58	0.52
fisa_702_statutory_text__constitutional_floor_reading	0.68	0.72
fisa_702_statutory_text__foreign_target_strict_reading	0.18	0.35
fisa_702_statutory_text__incidental_collection_reading	0.48	0.68
fiscal_federalism_absence	0.58	0.68
foreign_pressure_catalyst	0.52	0.58
fork_mechanical_substitution	0.38	0.42
fourteenth_amendment_equal_protection__anti_caste_reading	0.58	0.72
fourteenth_amendment_equal_protection__formal_equality_reading	0.38	0.42
fourteenth_amendment_equal_protection__judicial_interpretive_drift	0.58	0.65
franchisee_corporate_squeeze	0.58	0.68
french_presidential_authority	0.52	0.48
gaza_evacuation_route_accessibility	0.68	0.82
gdpr_article_3_scope__effects_jurisdiction_reading	0.62	0.68
gdpr_article_3_scope__market_access_reading	0.38	0.48
gdpr_article_3_scope__territorial_sovereignty_reading	0.58	0.65
gdpr_enforcement_structure	0.52	0.65
gelassenheit_separation__artifact_reading	0.68	0.82
gelassenheit_separation__consequence_reading	0.28	0.38
gelassenheit_separation__principle_reading	0.32	0.48
gendered_category_membership__biological_sex_reading	0.68	0.72
gendered_category_membership__gender_identity_reading	0.48	0.58
gendered_category_membership__social_role_reading	0.38	0.52
genesis_creation_cosmology__institutional_enforcement	0.58	0.72
genesis_creation_cosmology__literary_framework	0.32	0.48
genesis_creation_cosmology__theistic_evolution	0.38	0.48
genesis_creation_cosmology__young_earth_literal	0.68	0.72
genesis_creation_narrative__allegorical_ancient_near_east	0.28	0.18
genesis_creation_narrative__literal_young_earth	0.58	0.68
genesis_creation_narrative__theistic_evolutionary	0.38	0.42
geneva_conventions_1949__conditional_reciprocity_reading	0.48	0.62
geneva_conventions_1949__humanitarian_ceiling_reading	0.68	0.72
geneva_conventions_1949__security_maximization_reading	0.68	0.75
geneva_conventions_protective_scope__hybrid_proportionality_reading	0.58	0.67
geneva_conventions_protective_scope__state_centric_reading	0.52	0.68
geneva_conventions_protective_scope__universal_rights_reading	0.62	0.48
geopolitical_alliance_fragmentation	0.52	0.58
geopolitical_mineral_dependency	0.58	0.72
gig_economy_emergence_as_exit_mechanism	0.58	0.52
gita_kurukshetra_discourse__gandhian_allegorical_reading	0.52	0.65
gita_kurukshetra_discourse__orthodox_literal_reading	0.68	0.72
gita_kurukshetra_discourse__universalist_devotional_reading	0.52	0.48
global_oil_supply_stability	0.58	0.62
global_south_coalitional_power	0.55	0.62
gold_fiat_transition_mechanism__automatic_constraint_reading	0.58	0.52
gold_fiat_transition_mechanism__composite_overdetermination_reading	0.38	0.42
gold_fiat_transition_mechanism__creditor_discipline_reading	0.68	0.62
gold_fomo_cycle	0.58	0.62
goodharts_law_metric_targeting	0.58	0.48
google_universal_commerce_protocol	0.52	0.58
gpl_copyleft_scope__enforcement_vacuum_reading	0.35	0.48
gpl_copyleft_scope__narrow_scope_reading	0.38	0.42
gpl_copyleft_scope__strong_copyleft_reading	0.68	0.72
gpl_derivative_work_trigger__broad_copyleft_reading	0.52	0.65
gpl_derivative_work_trigger__interface_boundary_reading	0.38	0.48
gpl_derivative_work_trigger__narrow_linking_permissive_reading	0.52	0.65
gpl_reciprocity_obligation__copyleft_as_commons_reading	0.48	0.52
gpl_reciprocity_obligation__copyleft_as_freedom_reading	0.32	0.48
gpl_reciprocity_obligation__copyleft_as_restriction_reading	0.62	0.68
gpu_semiconductor_supply	0.58	0.68
hagia_sophia_substrate__islamic_sovereignty_reading	0.52	0.58
hagia_sophia_substrate__orthodox_restitution_reading	0.28	0.52
hagia_sophia_substrate__universal_heritage_reading	0.52	0.48
hebrew_continuity__bridge_pidginized	0.52	0.48
hebrew_continuity__liturgical_preservation	0.38	0.52
hebrew_continuity__native_generative	0.58	0.72
hebrew_linguistic_life__liturgical_preservation_reading	0.38	0.62
hebrew_linguistic_life__marketplace_pidgin_reading	0.38	0.52
hebrew_linguistic_life__native_generational_reading	0.58	0.65
hebrew_living_language__hybrid_continuity_reading	0.48	0.52
hebrew_living_language__liturgical_preservation_reading	0.18	0.32
hebrew_living_language__native_vernacular_reading	0.48	0.62
herem_command_dt7__allegorical_displacement_reading	0.08	0.12
herem_command_dt7__contextual_supersession_reading	0.38	0.45
herem_command_dt7__durable_separation_reading	0.68	0.72
hiring_discrimination_automation	0.68	0.72
historical_treaty_substrate__extinguishment_reading	0.68	0.72
historical_treaty_substrate__nation_to_nation_reading	0.38	0.52
historical_treaty_substrate__stewardship_reading	0.38	0.45
hoa_covenant_scope__behavioral_control_reading	0.48	0.68
hoa_covenant_scope__coordination_reading	0.12	0.18
hoa_covenant_scope__extraction_reading	0.62	0.68
homoousios_christology__arian_reading	0.58	0.65
homoousios_christology__pro_nicene_reading	0.58	0.72
homoousios_christology__semi_arian_reading	0.38	0.48
homoousios_nicene__honorific_similarity_reading	0.52	0.68
homoousios_nicene__metaphysical_equality_reading	0.58	0.72
homoousios_nicene__subordinationist_reading	0.38	0.52
hong_kong_press_freedom_suppression	0.68	0.78
honor_satisfaction_mechanism__composite_reading	0.58	0.65
honor_satisfaction_mechanism__contraction_reading	0.08	0.02
honor_satisfaction_mechanism__decline_reading	0.38	0.62
honor_satisfaction_substrate__composite_overdetermined_reading	0.55	0.68
honor_satisfaction_substrate__practice_decline_reading	0.38	0.62
honor_settlement_legitimacy__composite_reading	0.38	0.52
honor_settlement_legitimacy__contraction_reading	0.15	0.08
honor_settlement_legitimacy__drop_reading	0.38	0.52
honor_violence_legitimacy__composite_reading	0.68	0.72
honor_violence_legitimacy__contraction_reading	0.38	0.65
honor_violence_legitimacy__drop_reading	0.38	0.62
household_debt_accumulation_cycle	0.58	0.68
humane_treatment_standard__absolute_prohibition	0.08	0.02
humane_treatment_standard__contextual_necessity	0.58	0.68
humane_treatment_standard__proportionality_balancing	0.52	0.58
ietf_openness_commitment__capture_substrate_reading	0.52	0.58
ietf_openness_commitment__commons_stewardship_reading	0.08	0.12
ietf_openness_commitment__legitimacy_erosion_reading	0.58	0.52
ihl_distinction_proportionality__categorical_prohibition_reading	0.68	0.75
ihl_distinction_proportionality__human_agency_reading	0.68	0.72
ihl_distinction_proportionality__outcomes_based_reading	0.52	0.48
imperial_mandate__bakufu_delegation_reading	0.48	0.62
imperial_mandate__loyalist_restoration_reading	0.58	0.72
imperial_religious_property_seizure	0.78	0.82
income_support_commitment__care_economy_reading	0.38	0.52
income_support_commitment__dependency_trap_reading	0.58	0.62
income_support_commitment__freedom_floor_reading	0.38	0.42
income_support_conditionality__dependency_trap_reading	0.58	0.65
income_support_conditionality__freedom_floor_reading	0.18	0.12
income_support_conditionality__wage_subsidy_reading	0.52	0.58
incumbent_competitive_moat	0.58	0.62
information_asymmetry_edtech	0.58	0.62
information_asymmetry_exploitation	0.58	0.72
innovators_dilemma	0.52	0.48
institutional_legitimacy_without_consent	0.58	0.68
insulin_pricing_cliff	0.68	0.82
international_law_instrumentalization	0.68	0.72
interpretive_authority_concentration	0.58	0.65
