id	baseeps	supp
animal_status__welfare_reading	0.45	0.6
animal_status_kernel__abolitionist_reading	0.95	0.98
animal_status_kernel__welfare_reading	0.45	0.6
anthropological_record__creationist_reading	0.6	0.7
anthropological_record__indigenous_epistemology_reading	0.2	0.1
anthropological_record__naturalist_reading	0.68	0.75
article17_erasure_right__censorship_mechanism_reading	0.78	0.85
article17_erasure_right__competitive_moat_reading	0.65	0.75
article17_erasure_right__privacy_fundamental_reading	0.25	0.15
article_17_complementarity__international_oversight_reading	0.65	0.7
article_17_complementarity__national_primacy_reading	0.65	0.7
article_27_veto_power__coordination_reading	0.15	0.05
article_27_veto_power__oligopoly_reading	0.85	0.9
article_27_veto_power__sovereignty_reading	0.05	0.02
article_2_7_chapter_vii_tension__r2p_reading	0.7	0.6
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.85	0.75
article_51_self_defense__expansive_preventive_reading	0.7	0.6
article_51_self_defense__narrow_armed_attack_reading	0.6	0.7
article_51_self_defense__unable_unwilling_doctrine_reading	0.6	0.7
article_9_war_renunciation__collective_self_defense_reading	0.65	0.7
article_9_war_renunciation__inherent_right_reading	0.3	0.4
article_9_war_renunciation__strict_pacifist_reading	0.85	0.9
balfour_mandate_instruments__dual_obligation_indigenous_rights	0.7	0.6
balfour_mandate_instruments__jewish_national_home_primacy	0.85	0.9
balfour_mandate_instruments__mandatory_interpretive_discretion	0.65	0.75
basic_law_interpretive_authority__judicial_supremacy_reading	0.6	0.7
basic_law_interpretive_authority__popular_constitutionalism_reading	0.3	0.2
basic_law_interpretive_boundary__balanced_contestation_reading	0.45	0.3
basic_law_interpretive_boundary__judicial_supremacy_reading	0.65	0.7
beta_designation_doctrine__expansive_shield_reading	0.85	0.7
beta_designation_doctrine__narrow_warning_reading	0.2	0.1
beta_designation_doctrine__severity_carve_out_reading	0.15	0.05
biblical_authority__conciliar_reading	0.45	0.6
biblical_authority__sola_scriptura_reading	0.3	0.2
biblical_authority__tradition_scripture_reading	0.85	0.92
biblical_divine_nature__modalist_reading	0.4	0.6
biblical_divine_nature__trinitarian_reading	0.65	0.75
biblical_divine_nature__unitarian_reading	0.6	0.7
biblical_source_text__critical_reconstructive_reading	0.3	0.2
biblical_source_text__dynamic_equivalence_reading	0.45	0.3
biblical_source_text__formal_equivalence_reading	0.65	0.7
bitcoin_consensus_kernel__maximalist_reading	0.85	0.92
bitcoin_consensus_kernel__utility_reading	0.45	0.3
bitcoin_whitepaper__digital_gold_reading	0.65	0.75
bitcoin_whitepaper__p2p_cash_reading	0.4	0.2
bitcoin_whitepaper__protocol_ossification_reading	0.65	0.78
bitcoin_whitepaper_purpose__electronic_cash_reading	0.6	0.7
bitcoin_whitepaper_purpose__store_of_value_reading	0.6	0.7
border_control_legitimacy__jurisdictional_sovereignty	0.6	0.7
border_control_legitimacy__sovereignty_primary	0.7	0.85
border_legitimacy__freedom_of_movement_reading	0.85	0.92
border_legitimacy__humanitarian_obligation_reading	0.45	0.7
border_legitimacy__sovereignty_reading	0.85	0.9
border_normative_status__freedom_primary	0.85	0.95
border_normative_status__qualified_sovereignty	0.6	0.7
border_normative_status__sovereignty_primary	0.85	0.9
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	0.4	0.6
bretton_woods_treaty_substrate__neoliberal_convertibility	0.85	0.75
bretton_woods_treaty_substrate__sovereignty_defense	0.65	0.75
caa_section_111d_delegation__facility_constraint_reading	0.65	0.7
caa_section_111d_delegation__systemic_transformation_reading	0.65	0.75
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	0.6	0.7
catastrophe_avoidance_retention__hybrid_near_miss_learning	0.15	0.2
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	0.4	0.6
catastrophe_memory_function__hybrid_transformation_reading	0.2	0.15
catastrophe_memory_function__mourning_practice_reading	0.25	0.4
catastrophe_memory_function__survival_competence_reading	0.15	0.2
catastrophe_memory_kernel__survival_competence_reading	0.45	0.6
catastrophe_memory_kernel__symbol_continuity_reading	0.2	0.3
catastrophe_memory_kernel__trauma_encoding_reading	0.68	0.75
catastrophe_memory_preservation__hybrid_atrophy_reading	0.45	0.3
catastrophe_memory_preservation__mourning_practice_reading	0.15	0.05
catastrophe_memory_preservation__survival_competence_reading	0.7	0.6
catastrophe_memory_survival__competence_transmission_reading	0.45	0.2
catastrophe_memory_survival__hybrid_encoding_reading	0.15	0.2
catastrophe_memory_survival__symbol_survival_reading	0.7	0.6
catastrophe_memory_transmission__hybrid_embedded_reading	0.15	0.2
catastrophe_memory_transmission__operational_competence_reading	0.15	0.2
catastrophe_memory_transmission__symbol_continuity_reading	0.65	0.7
catastrophe_proxy_sufficiency__catastrophe_necessity_reading	0.05	0.02
catastrophe_proxy_sufficiency__hybrid_degradation_reading	0.65	0.7
catastrophe_proxy_sufficiency__simulation_as_proxy_catastrophe_reading	0.2	0.3
catastrophe_proxy_sufficiency__simulation_fidelity_threshold	0.2	0.1
cbdr_principle__historical_responsibility_reading	0.65	0.7
cbdr_principle__voluntary_commitment_reading	0.65	0.45
church_turing_thesis__epistemological_boundary_reading	0.3	0.6
church_turing_thesis__mathematical_definition_reading	0.02	0.05
church_turing_thesis__physical_claim_reading	0.55	0.65
classical_latin_standard__continuity_reading	0.35	0.2
classical_latin_standard__hybrid_reading	0.45	0.55
classical_latin_standard__reconstruction_reading	0.85	0.92
climate_harm_prevention__adaptation_priority	0.65	0.7
climate_harm_prevention__degrowth_reading	0.85	0.7
climate_harm_prevention__mitigation_priority	0.6	0.4
climate_mitigation_imperative__opportunity_cost_reading	0.65	0.4
climate_mitigation_imperative__portfolio_optimization_reading	0.45	0.3
climate_mitigation_imperative__systems_transition_reading	0.65	0.7
climate_mitigation_legitimacy__baseload_necessity_reading	0.6	0.4
climate_mitigation_legitimacy__degrowth_sufficiency_reading	0.65	0.45
climate_mitigation_legitimacy__portfolio_pragmatism_reading	0.3	0.2
climate_mitigation_legitimacy__renewable_primacy_reading	0.65	0.7
climate_response_action__adaptation_priority	0.65	0.7
climate_response_action__degrowth_transformation	0.88	0.92
climate_response_action__mitigation_priority	0.65	0.5
climate_response_imperative__adaptation_priority_reading	0.68	0.75
climate_response_imperative__degrowth_reading	0.65	0.7
climate_response_imperative__mitigation_priority_reading	0.68	0.75
climate_response_legitimacy__adaptation_priority	0.68	0.75
climate_response_legitimacy__degrowth_transformation	0.65	0.75
climate_response_legitimacy__mitigation_priority	0.65	0.4
climate_response_obligation__adaptation_priority	0.85	0.7
climate_response_obligation__degrowth_reading	0.85	0.7
climate_response_obligation__mitigation_priority	0.65	0.4
coercion_legitimacy_boundary__bodily_autonomy_primary	0.3	0.1
coercion_legitimacy_boundary__proportionality_reading	0.45	0.6
coercion_legitimacy_boundary__public_health_primary	0.65	0.75
combatant_status_definition__functional_protection_reading	0.15	0.2
combatant_status_definition__national_liberation_reading	0.65	0.75
combatant_status_definition__state_centric_reading	0.85	0.9
commerce_clause_scope__broad_effects_test	0.85	0.75
commerce_clause_scope__intermediate_channels	0.45	0.6
commerce_clause_scope__narrow_originalist	0.2	0.3
commerce_clause_text__expansive_federal_reading	0.6	0.7
commerce_clause_text__originalist_narrow_reading	0.3	0.2
commerce_clause_text__substantial_effects_limited_reading	0.3	0.4
common_article_3_scope__expansive_human_rights_reading	0.65	0.7
common_article_3_scope__icrc_customary_reading	0.3	0.2
common_article_3_scope__state_centric_reading	0.65	0.78
common_law_precedent_corpus__evolutionary_framework	0.3	0.2
common_law_precedent_corpus__pluralist_balancing	0.6	0.7
common_law_precedent_corpus__strict_stare_decisis	0.45	0.6
competence_exercise_requirement__catastrophe_as_necessary_anchor	0.6	0.7
competence_exercise_requirement__hybrid_dependency	0.3	0.2
competence_exercise_requirement__simulation_as_adequate_exercise	0.3	0.4
competence_exercise_validity__continuous_refresh_hybrid	0.2	0.1
competence_exercise_validity__real_catastrophe_only	0.6	0.7
competence_exercise_validity__simulation_as_proxy	0.4	0.6
competence_occupation__hybrid_occupation	0.6	0.7
competence_occupation__real_incident_necessity	0.95	0.98
competence_occupation__simulation_sufficiency	0.6	0.7
competence_retention_exercise__catastrophe_as_necessary	0.8	0.7
competence_retention_exercise__near_miss_as_bridge	0.3	0.2
competence_retention_exercise__simulation_as_sufficient	0.2	0.1
constitutional_authority_boundary__coordinate_construction_reading	0.4	0.2
constitutional_authority_boundary__judicial_supremacy_reading	0.68	0.75
constitutional_authority_boundary__parliamentary_primacy_reading	0.2	0.3
constitutional_interpretive_authority__coordinate_construction_reading	0.2	0.1
constitutional_interpretive_authority__judicial_supremacy_reading	0.65	0.7
constitutional_interpretive_authority__parliamentary_supremacy_reading	0.4	0.6
constitutional_secularism__principled_intervention_reading	0.65	0.7
constitutional_secularism__reformist_reading	0.85	0.75
constitutional_secularism__strict_neutrality_reading	0.15	0.05
constitutional_text__judicial_supremacy_reading	0.6	0.7
constitutional_text__legislative_sovereignty_reading	0.4	0.3
constitutional_text__popular_sovereignty_reading	0.4	0.3
constitutional_text_authority__living_constitutionalist_reading	0.3	0.2
constitutional_text_authority__originalist_reading	0.4	0.6
constitutional_text_authority__positivist_reading	0.2	0.4
copyright_constitutional_mandate__corporate_enclosure_reading	0.85	0.75
copyright_constitutional_mandate__judicial_ambiguity_reading	0.35	0.6
copyright_constitutional_mandate__public_scaffold_reading	0.25	0.15
correct_latin__continuity_reading	0.15	0.25
correct_latin__discontinuity_reading	0.6	0.7
correct_latin__hybrid_reading	0.4	0.3
correct_latin_kernel__continuity_reading	0.2	0.15
correct_latin_kernel__discontinuity_reading	0.6	0.7
correct_latin_kernel__hybrid_reading	0.4	0.3
creed_381_pneumatology__ecumenical_reunion_reading	0.25	0.15
creed_381_pneumatology__filioque_reading	0.85	0.75
creed_381_pneumatology__monoprocession_reading	0.7	0.6
cultural_property_legal_corpus__indigenous_stewardship_reading	0.85	0.75
cultural_property_legal_corpus__sovereign_repatriation_reading	0.65	0.7
cultural_property_legal_corpus__universal_heritage_reading	0.68	0.75
decalogue_image_prohibition__iconoclast_reading	0.6	0.7
decalogue_image_prohibition__iconodule_reading	0.15	0.2
decalogue_image_prohibition__moderate_iconoclast_reading	0.65	0.75
deferential_realism_ontology__hybrid_pragmatic_reading	0.45	0.55
deferential_realism_ontology__immutable_diagnostic_reading	0.1	0.7
deferential_realism_ontology__rhetorical_scaffold_reading	0.2	0.1
derivative_work_statutory_boundary__coordination_reading	0.15	0.2
derivative_work_statutory_boundary__enclosure_reading	0.85	0.9
derivative_work_statutory_boundary__hybrid_carveout_reading	0.45	0.6
dharmasastra_corpus__abolitionist_rejection	0.95	0.98
dharmasastra_corpus__orthodox_literalist	0.9	0.85
dharmasastra_corpus__reformist_contextual	0.45	0.3
digital_money_emergence_boundary__conceptualization_reading	0.05	0.02
digital_money_emergence_boundary__consumer_holdings_reading	0.2	0.1
digital_money_emergence_boundary__infrastructure_reading	0.15	0.05
digital_money_origin__became_thinkable_reading	0.2	0.3
digital_money_origin__first_held_reading	0.3	0.4
digital_money_origin__regulatory_recognition_reading	0.65	0.75
dignified_death__autonomy_primary	0.55	0.7
dignified_death__relational_autonomy	0.38	0.25
dignified_death__sanctity_primary	0.6	0.75
dignity_kernel__autonomy_rights_reading	0.3	0.2
dignity_kernel__imago_dei_reading	0.15	0.25
dignity_kernel__posthumanist_reading	0.6	0.7
divine_legitimacy_substrate__amun_polytheistic_reading	0.6	0.7
divine_legitimacy_substrate__atenist_monotheistic_reading	0.85	0.95
divine_marriage_command__coercion_visibility_reading	0.45	0.6
divine_marriage_command__continuationist_reading	0.6	0.7
divine_marriage_command__substitutionist_reading	0.65	0.78
dollar_gold_convertibility__policy_flexible_reading	0.65	0.7
dollar_gold_convertibility__strict_convertibility_reading	0.85	0.75
dollar_gold_convertibility__triffin_structural_reading	0.85	0.75
doomsday_clock_metric__objective_index_reading	0.65	0.75
doomsday_clock_metric__performative_tool_reading	0.65	0.4
dsm_taxonomy_kernel__biomedical_reading	0.85	0.9
dsm_taxonomy_kernel__critical_psychiatry_reading	0.7	0.6
dsm_taxonomy_kernel__neurodiversity_reading	0.85	0.9
dual_class_legitimacy__disclosure_consent	0.25	0.3
dual_class_legitimacy__founder_stewardship	0.3	0.4
dual_class_legitimacy__minority_extraction	0.85	0.75
dueling_disappearance_mechanism__contraction_reading	0.05	0.95
dueling_disappearance_mechanism__institutional_displacement_reading	0.15	0.25
ecb_mandate_article_127__climate_incorporation	0.65	0.7
ecb_mandate_article_127__expansive_secondary_objectives	0.45	0.55
ecb_mandate_article_127__orthodox_price_stability	0.65	0.78
electronic_money_emergence__became_thinkable_reading	0.05	0.02
electronic_money_emergence__first_held_reading	0.1	0.05
electronic_money_emergence__m4_m5_collapse_reading	0.15	0.25
employment_boundary__formalist_employment_reading	0.85	0.75
employment_boundary__hybrid_security_reading	0.45	0.6
employment_boundary__substantive_employment_reading	0.65	0.7
end_of_life_authority__autonomy_reading	0.3	0.2
end_of_life_authority__sanctity_reading	0.65	0.75
end_of_life_authority__slippery_slope_mechanism	0.65	0.7
end_of_life_decision_authority__autonomy_reading	0.3	0.2
end_of_life_decision_authority__sanctity_reading	0.6	0.7
end_of_life_decision_authority__vulnerability_protection_reading	0.4	0.6
equal_protection_clause__colorblind_reading	0.1	0.05
equal_protection_clause__diversity_reading	0.45	0.3
equal_protection_clause__remedial_reading	0.68	0.45
equal_protection_commitment__colorblind_reading	0.45	0.6
equal_protection_commitment__diversity_reading	0.28	0.35
equal_protection_commitment__remedial_reading	0.55	0.7
equal_protection_kernel__antisubordination_reading	0.6	0.7
equal_protection_kernel__remedial_reading	0.4	0.3
equality_clause_scope__expansive_universalist	0.15	0.2
equality_clause_scope__progressive_textualist	0.3	0.4
equality_clause_scope__restrictive_originalist	0.6	0.7
eternal_marriage_covenant__immutable_commandment_reading	0.9	0.95
eternal_marriage_covenant__prophetic_override_reading	0.65	0.78
eternal_marriage_covenant__temporal_accommodation_reading	0.3	0.4
eu_council_unanimity__diplomatic_capital_reading	0.25	0.15
eu_council_unanimity__sovereignty_guarantor_reading	0.3	0.1
eu_council_unanimity__veto_trap_reading	0.85	0.75
exercise_as_competence_maintenance__hybrid_decay_reading	0.6	0.7
exercise_as_competence_maintenance__lived_catastrophe_necessity_reading	0.6	0.7
exercise_as_competence_maintenance__simulation_sufficiency_reading	0.3	0.4
fair_use_four_factor_test__creator_centric_reading	0.7	0.6
fair_use_four_factor_test__transformative_use_reading	0.45	0.3
fair_use_four_factor_test__user_centric_reading	0.25	0.3
fair_use_statutory_exception__market_licensing_reading	0.85	0.75
fair_use_statutory_exception__narrow_defense_reading	0.78	0.65
fair_use_statutory_exception__transformative_right_reading	0.25	0.3
family_law_authority__christian_canonical_reading	0.6	0.7
family_law_authority__hindu_dharmashastra_reading	0.65	0.75
family_law_authority__muslim_shariat_reading	0.65	0.75
family_law_authority__parsi_zoroastrian_reading	0.4	0.6
family_law_authority__secular_contractual_reading	0.2	0.15
federation_membership__integration_reading	0.65	0.7
federation_membership__sovereignty_reading	0.65	0.7
federation_membership_kernel__integration_reading	0.65	0.7
federation_membership_kernel__member_sovereignty_reading	0.65	0.7
federation_membership_kernel__welfare_coordination_reading	0.65	0.7
federation_membership_obligations__integration_primary	0.65	0.7
federation_membership_obligations__member_sovereignty_primary	0.65	0.75
federation_membership_obligations__selective_solidarity	0.65	0.7
federation_membership_treaty__integration_primary	0.65	0.75
federation_membership_treaty__sovereignty_primary	0.65	0.7
federation_membership_treaty__subsidiarity_balance	0.4	0.5
feud_obligation_kernel__christianized_pacification_reading	0.8	0.9
feud_obligation_kernel__extraction_cycle_reading	0.85	0.75
feud_obligation_kernel__stateless_coordination_reading	0.2	0.3
feudal_oath_reciprocity__ecclesiastical_mediation_reading	0.45	0.6
feudal_oath_reciprocity__lord_extraction_reading	0.85	0.9
feudal_oath_reciprocity__vassal_coordination_reading	0.15	0.3
fifth_republic_constitution__cohabitation_equilibrium_reading	0.55	0.4
fifth_republic_constitution__hyper_presidential_reading	0.85	0.75
fifth_republic_constitution__parliamentary_constraint_reading	0.25	0.35
first_amendment_speech_protection__absolutist_reading	0.6	0.2
first_amendment_speech_protection__categorical_balancing_reading	0.65	0.7
first_amendment_speech_protection__harm_limited_reading	0.6	0.4
fisa_702_statutory_text__constitutional_floor_reading	0.25	0.15
fisa_702_statutory_text__foreign_target_strict_reading	0.15	0.2
fisa_702_statutory_text__incidental_collection_reading	0.45	0.7
flexible_employment_legitimacy__developmental_state_reading	0.4	0.3
flexible_employment_legitimacy__market_efficiency_reading	0.35	0.2
flexible_employment_legitimacy__precarity_extraction_reading	0.85	0.75
fourteenth_amendment_equal_protection__anti_caste_reading	0.65	0.45
gdpr_article_3_scope__effects_jurisdiction_reading	0.65	0.78
gdpr_article_3_scope__market_access_reading	0.4	0.3
gdpr_article_3_scope__territorial_sovereignty_reading	0.6	0.4
gelassenheit_separation__artifact_reading	0.9	0.95
gelassenheit_separation__consequence_reading	0.15	0.3
gelassenheit_separation__principle_reading	0.35	0.45
gendered_category_membership__biological_sex_reading	0.85	0.9
gendered_category_membership__gender_identity_reading	0.45	0.6
gendered_category_membership__social_role_reading	0.45	0.6
genesis_creation_cosmology__literary_framework	0.1	0.05
genesis_creation_cosmology__theistic_evolution	0.2	0.3
genesis_creation_cosmology__young_earth_literal	0.65	0.75
genesis_creation_narrative__allegorical_ancient_near_east	0.05	0.1
genesis_creation_narrative__literal_young_earth	0.65	0.78
genesis_creation_narrative__theistic_evolutionary	0.15	0.25
geneva_conventions_1949__conditional_reciprocity_reading	0.45	0.6
geneva_conventions_1949__humanitarian_ceiling_reading	0.3	0.7
geneva_conventions_1949__security_maximization_reading	0.85	0.92
geneva_conventions_protective_scope__hybrid_proportionality_reading	0.65	0.75
geneva_conventions_protective_scope__state_centric_reading	0.65	0.75
geneva_conventions_protective_scope__universal_rights_reading	0.65	0.7
gita_kurukshetra_discourse__orthodox_literal_reading	0.7	0.85
gita_kurukshetra_discourse__universalist_devotional_reading	0.2	0.3
gold_fiat_transition_mechanism__automatic_constraint_reading	0.85	0.75
gold_fiat_transition_mechanism__composite_overdetermination_reading	0.45	0.6
gold_fiat_transition_mechanism__creditor_discipline_reading	0.85	0.9
gpl_copyleft_scope__enforcement_vacuum_reading	0.35	0.2
gpl_copyleft_scope__narrow_scope_reading	0.35	0.25
gpl_copyleft_scope__strong_copyleft_reading	0.85	0.75
gpl_derivative_work_trigger__broad_copyleft_reading	0.3	0.4
gpl_derivative_work_trigger__narrow_linking_permissive_reading	0.45	0.3
gpl_reciprocity_obligation__copyleft_as_commons_reading	0.45	0.6
gpl_reciprocity_obligation__copyleft_as_freedom_reading	0.3	0.7
gpl_reciprocity_obligation__copyleft_as_restriction_reading	0.65	0.75
hagia_sophia_substrate__islamic_sovereignty_reading	0.68	0.75
hagia_sophia_substrate__orthodox_restitution_reading	0.1	0.05
hagia_sophia_substrate__universal_heritage_reading	0.65	0.7
hebrew_continuity__bridge_pidginized	0.3	0.1
hebrew_continuity__liturgical_preservation	0.15	0.2
hebrew_continuity__native_generative	0.65	0.7
hebrew_linguistic_life__liturgical_preservation_reading	0.15	0.2
hebrew_linguistic_life__marketplace_pidgin_reading	0.2	0.1
hebrew_linguistic_life__native_generational_reading	0.8	0.75
hebrew_living_language__literary_revival_reading	0.05	0.1
hebrew_living_language__liturgical_continuity_reading	0.15	0.05
hebrew_living_language__native_generation_reading	0.65	0.7
hebrew_vitality__hybrid_continuity_reading	0.1	0.05
hebrew_vitality__liturgical_reading	0.05	0.1
hebrew_vitality__native_daily_reading	0.65	0.7
herem_command_dt7__allegorical_displacement_reading	0.05	0.1
herem_command_dt7__contextual_supersession_reading	0.15	0.1
herem_command_dt7__durable_separation_reading	0.9	0.95
historical_treaty_substrate__extinguishment_reading	0.85	0.9
historical_treaty_substrate__nation_to_nation_reading	0.4	0.3
hoa_covenant_scope__behavioral_control_reading	0.45	0.7
hoa_covenant_scope__coordination_reading	0.15	0.2
hoa_covenant_scope__extraction_reading	0.68	0.75
homoousios_christology__arian_reading	0.65	0.75
homoousios_christology__pro_nicene_reading	0.85	0.92
homoousios_christology__semi_arian_reading	0.4	0.6
homoousios_nicene__honorific_similarity_reading	0.4	0.3
homoousios_nicene__metaphysical_equality_reading	0.65	0.88
homoousios_nicene__subordinationist_reading	0.65	0.7
honor_satisfaction_mechanism__composite_reading	0.6	0.7
honor_satisfaction_mechanism__contraction_reading	0.0	0.0
honor_satisfaction_mechanism__decline_reading	0.3	0.6
honor_satisfaction_substrate__composite_overdetermined_reading	0.4	0.7
honor_satisfaction_substrate__cultural_contraction_reading	0.05	0.02
honor_satisfaction_substrate__practice_decline_reading	0.2	0.7
honor_settlement_legitimacy__composite_reading	0.3	0.7
honor_settlement_legitimacy__contraction_reading	0.05	0.95
honor_settlement_legitimacy__drop_reading	0.6	0.7
honor_violence_legitimacy__composite_reading	0.65	0.4
honor_violence_legitimacy__contraction_reading	0.1	0.05
honor_violence_legitimacy__drop_reading	0.3	0.2
human_dignity_ai_governance__magisterial_integralist_reading	0.45	0.2
human_dignity_ai_governance__pluralist_pragmatic_reading	0.45	0.3
human_dignity_ai_governance__secular_humanist_reading	0.3	0.2
human_dignity_ai_governance__techno_optimist_reading	0.85	0.7
human_dignity_ai_safeguarding__autonomy_rights_reading	0.3	0.4
human_dignity_ai_safeguarding__imago_dei_reading	0.6	0.75
human_dignity_ai_safeguarding__posthumanist_reading	0.1	0.05
human_transcendence_pathway__babel_reading	0.85	0.9
human_transcendence_pathway__jerusalem_reading	0.2	0.1
human_transcendence_pathway__technocratic_vs_incarnational_reading	0.85	0.92
humane_treatment_standard__absolute_prohibition	0.1	0.2
humane_treatment_standard__contextual_necessity	0.65	0.75
humane_treatment_standard__proportionality_balancing	0.45	0.6
ietf_openness_commitment__capture_substrate_reading	0.65	0.45
ietf_openness_commitment__commons_stewardship_reading	0.1	0.05
ietf_openness_commitment__legitimacy_erosion_reading	0.7	0.6
ihl_distinction_proportionality__categorical_prohibition_reading	0.9	0.7
ihl_distinction_proportionality__human_agency_reading	0.7	0.6
ihl_distinction_proportionality__outcomes_based_reading	0.55	0.4
imperial_mandate__bakufu_delegation_reading	0.6	0.7
imperial_mandate__loyalist_restoration_reading	0.65	0.75
imposition_mechanism_kernel__endogenous_climb_reading	0.1	0.05
imposition_mechanism_kernel__exogenous_override_reading	0.85	0.9
imposition_mechanism_kernel__hybrid_legitimation_reading	0.4	0.5
imposition_pathway_kernel__endogenous_climb_reading	0.2	0.15
imposition_pathway_kernel__exogenous_override_reading	0.6	0.85
imposition_pathway_kernel__hybrid_cascade_reading	0.6	0.7
income_support_commitment__dependency_trap_reading	0.65	0.7
income_support_commitment__freedom_floor_reading	0.1	0.05
income_support_commitment__targeting_efficiency_reading	0.75	0.65
income_support_conditionality__dependency_trap_reading	0.85	0.75
income_support_conditionality__freedom_floor_reading	0.15	0.1
income_support_conditionality__wage_subsidy_reading	0.65	0.7
ip_category_emergence__first_holding_reading	0.3	0.4
ip_category_emergence__synchronic_diachronic_seam	0.2	0.1
ip_category_emergence__thinkability_reading	0.05	0.02
irc_469_material_participation_kernel__strategic_shelter_reading	0.65	0.3
irc_469_material_participation_kernel__strict_gatekeeper_reading	0.65	0.75
jati_practice_norm__colonial_census_reading	0.65	0.75
jati_practice_norm__localized_practice_reading	0.2	0.3
jati_practice_norm__orthodox_textual_reading	0.85	0.92
jcpoa_treaty_bindingness__binding_multilateral_reading	0.3	0.6
jcpoa_treaty_bindingness__graduated_compliance_reading	0.45	0.6
jcpoa_treaty_bindingness__transactional_provisional_reading	0.65	0.7
jewish_self_determination__diasporist_reading	0.55	0.65
jewish_self_determination__liberal_nationalist_reading	0.3	0.4
jewish_self_determination__religious_covenant_reading	0.85	0.9
jewish_self_determination__settler_colonial_reading	0.9	0.95
jewish_sovereignty_palestine__liberal_nationalist_reading	0.45	0.3
jewish_sovereignty_palestine__post_zionist_reading	0.7	0.65
jewish_sovereignty_palestine__religious_zionist_reading	0.95	0.9
jewish_territorial_claim__cultural_zionism_reading	0.3	0.2
jewish_territorial_claim__political_zionism_reading	0.85	0.92
jewish_territorial_claim__revisionist_zionism_reading	0.95	0.98
jihad_quranic_corpus__defensive_spiritual_reading	0.15	0.2
jihad_quranic_corpus__expansionist_legalist_reading	0.65	0.75
jihad_quranic_corpus__revolutionary_vanguard_reading	0.9	0.95
john_1_1_logos__orthodox_christological	0.65	0.75
john_1_1_logos__subordinationist	0.4	0.6
july_charter_sovereign_legitimacy__guided_nationalism_reading	0.7	0.8
july_charter_sovereign_legitimacy__military_custodian_reading	0.85	0.92
july_charter_sovereign_legitimacy__secular_democratic_reading	0.65	0.7
jurisprudential_method_kernel__hanafi_reading	0.68	0.55
jurisprudential_method_kernel__hanbali_reading	0.85	0.75
jurisprudential_method_kernel__maliki_reading	0.6	0.7
jurisprudential_method_kernel__shafii_reading	0.65	0.7
kami_buddha_ontology__domain_partition	0.15	0.25
kami_buddha_ontology__honji_suijaku_monism	0.2	0.1
kami_buddha_ontology__incoherent_bundle	0.6	0.7
kjv_text_1611__exclusive_inspiration_reading	0.85	0.9
