id	baseeps	supp
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.08	0.12
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.78	0.32
aneyoshi_stone_commitment__behavioral_competence_reading	0.12	0.08
aneyoshi_stone_commitment__commemorative_husk_reading	0.12	0.08
aneyoshi_stone_directive__behavioral_competence_reading	0.08	0.12
aneyoshi_stone_directive__commemorative_husk_reading	0.78	0.71
animal_moral_status__abolitionist_reading	0.89	0.76
animal_moral_status__property_reading	0.18	0.12
animal_moral_status__welfare_reading	0.58	0.62
animal_status__abolitionist_reading	0.0	0.72
animal_status__property_reading	0.08	0.12
animal_status__welfare_reading	0.45	0.62
animal_status_kernel__abolitionist_reading	0.92	0.78
animal_status_kernel__welfare_reading	0.58	0.42
anthropological_record__creationist_reading	0.68	0.71
anthropological_record__indigenous_epistemology_reading	0.62	0.71
anthropological_record__naturalist_reading	0.68	0.72
article17_erasure_right__censorship_mechanism_reading	0.68	0.79
article17_erasure_right__competitive_moat_reading	0.68	0.42
article17_erasure_right__privacy_fundamental_reading	0.28	0.15
article_17_complementarity__international_oversight_reading	0.58	0.62
article_17_complementarity__national_primacy_reading	0.68	0.72
article_27_veto_power__coordination_reading	0.18	0.12
article_27_veto_power__oligopoly_reading	0.81	0.88
article_27_veto_power__sovereignty_reading	0.08	0.02
article_2_7_chapter_vii_tension__r2p_reading	0.68	0.72
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.78	0.71
article_51_self_defense__expansive_preventive_reading	0.82	0.78
article_51_self_defense__narrow_armed_attack_reading	0.38	0.22
article_51_self_defense__unable_unwilling_doctrine_reading	0.68	0.72
article_9_war_renunciation__collective_self_defense_reading	0.68	0.72
article_9_war_renunciation__inherent_right_reading	0.31	0.28
article_9_war_renunciation__strict_pacifist_reading	0.68	0.72
balfour_mandate_instruments__dual_obligation_indigenous_rights	0.68	0.72
balfour_mandate_instruments__jewish_national_home_primacy	0.81	0.79
balfour_mandate_instruments__mandatory_interpretive_discretion	0.68	0.72
basic_law_interpretive_authority__judicial_supremacy_reading	0.62	0.58
basic_law_interpretive_authority__popular_constitutionalism_reading	0.58	0.42
basic_law_interpretive_boundary__balanced_contestation_reading	0.48	0.31
basic_law_interpretive_boundary__judicial_supremacy_reading	0.68	0.55
beta_designation_doctrine__expansive_shield_reading	0.87	0.78
beta_designation_doctrine__narrow_warning_reading	0.38	0.21
beta_designation_doctrine__severity_carve_out_reading	0.31	0.18
biblical_authority__conciliar_reading	0.48	0.38
biblical_authority__sola_scriptura_reading	0.38	0.22
biblical_authority__tradition_scripture_reading	0.68	0.72
biblical_divine_nature__modalist_reading	0.58	0.72
biblical_divine_nature__trinitarian_reading	0.72	0.81
biblical_divine_nature__unitarian_reading	0.68	0.72
biblical_source_text__critical_reconstructive_reading	0.68	0.72
biblical_source_text__dynamic_equivalence_reading	0.62	0.48
biblical_source_text__formal_equivalence_reading	0.68	0.61
bitcoin_consensus_kernel__maximalist_reading	0.68	0.71
bitcoin_consensus_kernel__utility_reading	0.42	0.28
bitcoin_whitepaper__digital_gold_reading	0.68	0.52
bitcoin_whitepaper__p2p_cash_reading	0.62	0.58
bitcoin_whitepaper__protocol_ossification_reading	0.68	0.72
bitcoin_whitepaper_purpose__electronic_cash_reading	0.68	0.55
bitcoin_whitepaper_purpose__store_of_value_reading	0.68	0.71
border_control_legitimacy__jurisdictional_sovereignty	0.68	0.72
border_control_legitimacy__sovereignty_primary	0.68	0.76
border_legitimacy__freedom_of_movement_reading	0.78	0.81
border_legitimacy__humanitarian_obligation_reading	0.58	0.62
border_legitimacy__sovereignty_reading	0.72	0.79
border_normative_status__freedom_primary	0.68	0.72
border_normative_status__qualified_sovereignty	0.68	0.72
border_normative_status__sovereignty_primary	0.62	0.71
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	0.38	0.42
bretton_woods_treaty_substrate__neoliberal_convertibility	0.68	0.71
bretton_woods_treaty_substrate__sovereignty_defense	0.68	0.71
caa_section_111d_delegation__facility_constraint_reading	0.68	0.72
caa_section_111d_delegation__systemic_transformation_reading	0.68	0.71
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	0.68	0.71
catastrophe_avoidance_retention__hybrid_near_miss_learning	0.58	0.42
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	0.58	0.42
catastrophe_memory_function__hybrid_transformation_reading	0.42	0.28
catastrophe_memory_function__mourning_practice_reading	0.31	0.18
catastrophe_memory_function__survival_competence_reading	0.22	0.15
catastrophe_memory_kernel__survival_competence_reading	0.48	0.62
catastrophe_memory_kernel__symbol_continuity_reading	0.28	0.15
catastrophe_memory_kernel__trauma_encoding_reading	0.68	0.45
catastrophe_memory_preservation__hybrid_atrophy_reading	0.38	0.42
catastrophe_memory_preservation__mourning_practice_reading	0.28	0.12
catastrophe_memory_preservation__survival_competence_reading	0.68	0.45
catastrophe_memory_survival__competence_transmission_reading	0.62	0.58
catastrophe_memory_survival__hybrid_encoding_reading	0.38	0.22
catastrophe_memory_survival__symbol_survival_reading	0.68	0.72
catastrophe_memory_transmission__hybrid_embedded_reading	0.38	0.22
catastrophe_memory_transmission__operational_competence_reading	0.31	0.18
catastrophe_memory_transmission__symbol_continuity_reading	0.68	0.72
catastrophe_proxy_sufficiency__catastrophe_necessity_reading	0.15	0.08
catastrophe_proxy_sufficiency__hybrid_degradation_reading	0.68	0.72
catastrophe_proxy_sufficiency__simulation_as_proxy_catastrophe_reading	0.28	0.15
catastrophe_proxy_sufficiency__simulation_fidelity_threshold	0.62	0.48
cbdr_principle__historical_responsibility_reading	0.68	0.52
cbdr_principle__voluntary_commitment_reading	0.68	0.72
church_turing_thesis__epistemological_boundary_reading	0.38	0.22
church_turing_thesis__mathematical_definition_reading	0.08	0.02
church_turing_thesis__physical_claim_reading	0.58	0.67
classical_latin_standard__continuity_reading	0.48	0.32
classical_latin_standard__hybrid_reading	0.48	0.52
classical_latin_standard__reconstruction_reading	0.79	0.82
climate_harm_prevention__adaptation_priority	0.68	0.71
climate_harm_prevention__degrowth_reading	0.68	0.72
climate_harm_prevention__mitigation_priority	0.68	0.61
climate_mitigation_imperative__opportunity_cost_reading	0.67	0.58
climate_mitigation_imperative__portfolio_optimization_reading	0.67	0.58
climate_mitigation_imperative__systems_transition_reading	0.68	0.52
climate_mitigation_legitimacy__baseload_necessity_reading	0.68	0.72
climate_mitigation_legitimacy__degrowth_sufficiency_reading	0.68	0.71
climate_mitigation_legitimacy__portfolio_pragmatism_reading	0.62	0.58
climate_mitigation_legitimacy__renewable_primacy_reading	0.62	0.58
climate_response_action__adaptation_priority	0.68	0.62
climate_response_action__degrowth_transformation	0.68	0.72
climate_response_action__mitigation_priority	0.68	0.71
climate_response_imperative__adaptation_priority_reading	0.72	0.68
climate_response_imperative__degrowth_reading	0.68	0.52
climate_response_imperative__mitigation_priority_reading	0.68	0.72
climate_response_legitimacy__adaptation_priority	0.68	0.71
climate_response_legitimacy__degrowth_transformation	0.68	0.72
climate_response_legitimacy__mitigation_priority	0.68	0.52
climate_response_obligation__adaptation_priority	0.78	0.71
climate_response_obligation__degrowth_reading	0.68	0.71
climate_response_obligation__mitigation_priority	0.67	0.58
coercion_legitimacy_boundary__bodily_autonomy_primary	0.41	0.28
coercion_legitimacy_boundary__proportionality_reading	0.58	0.72
coercion_legitimacy_boundary__public_health_primary	0.72	0.81
combatant_status_definition__functional_protection_reading	0.18	0.22
combatant_status_definition__national_liberation_reading	0.68	0.72
combatant_status_definition__state_centric_reading	0.79	0.81
commerce_clause_scope__broad_effects_test	0.82	0.71
commerce_clause_scope__intermediate_channels	0.58	0.42
commerce_clause_scope__narrow_originalist	0.28	0.15
commerce_clause_text__expansive_federal_reading	0.68	0.42
commerce_clause_text__originalist_narrow_reading	0.62	0.71
commerce_clause_text__substantial_effects_limited_reading	0.58	0.62
common_article_3_scope__expansive_human_rights_reading	0.68	0.62
common_article_3_scope__icrc_customary_reading	0.31	0.19
common_article_3_scope__state_centric_reading	0.68	0.79
common_law_precedent_corpus__evolutionary_framework	0.38	0.22
common_law_precedent_corpus__pluralist_balancing	0.58	0.52
common_law_precedent_corpus__strict_stare_decisis	0.68	0.72
competence_exercise_requirement__catastrophe_as_necessary_anchor	0.68	0.72
competence_exercise_requirement__hybrid_dependency	0.62	0.71
competence_exercise_requirement__simulation_as_adequate_exercise	0.68	0.71
competence_exercise_validity__continuous_refresh_hybrid	0.62	0.71
competence_exercise_validity__real_catastrophe_only	0.67	0.71
competence_exercise_validity__simulation_as_proxy	0.58	0.62
competence_occupation__hybrid_occupation	0.68	0.52
competence_occupation__real_incident_necessity	0.89	0.91
competence_occupation__simulation_sufficiency	0.68	0.72
competence_retention_exercise__catastrophe_as_necessary	0.68	0.71
competence_retention_exercise__near_miss_as_bridge	0.38	0.22
competence_retention_exercise__simulation_as_sufficient	0.61	0.72
constitutional_authority_boundary__coordinate_construction_reading	0.42	0.28
constitutional_authority_boundary__judicial_supremacy_reading	0.68	0.71
constitutional_authority_boundary__parliamentary_primacy_reading	0.18	0.22
constitutional_interpretive_authority__coordinate_construction_reading	0.38	0.29
constitutional_interpretive_authority__judicial_supremacy_reading	0.68	0.72
constitutional_interpretive_authority__parliamentary_supremacy_reading	0.62	0.71
constitutional_secularism__principled_intervention_reading	0.62	0.58
constitutional_secularism__reformist_reading	0.71	0.68
constitutional_secularism__strict_neutrality_reading	0.62	0.41
constitutional_text__judicial_supremacy_reading	0.68	0.71
constitutional_text__legislative_sovereignty_reading	0.68	0.71
constitutional_text__popular_sovereignty_reading	0.31	0.18
constitutional_text_authority__living_constitutionalist_reading	0.58	0.42
constitutional_text_authority__originalist_reading	0.68	0.62
constitutional_text_authority__positivist_reading	0.42	0.38
copyright_constitutional_mandate__corporate_enclosure_reading	0.81	0.76
copyright_constitutional_mandate__judicial_ambiguity_reading	0.42	0.28
copyright_constitutional_mandate__public_scaffold_reading	0.38	0.22
correct_latin__continuity_reading	0.31	0.22
correct_latin__discontinuity_reading	0.68	0.72
correct_latin__hybrid_reading	0.42	0.38
correct_latin_kernel__continuity_reading	0.38	0.52
correct_latin_kernel__discontinuity_reading	0.58	0.67
correct_latin_kernel__hybrid_reading	0.62	0.58
creed_381_pneumatology__ecumenical_reunion_reading	0.28	0.12
creed_381_pneumatology__filioque_reading	0.71	0.68
creed_381_pneumatology__monoprocession_reading	0.68	0.72
cultural_property_legal_corpus__indigenous_stewardship_reading	0.82	0.79
cultural_property_legal_corpus__sovereign_repatriation_reading	0.58	0.42
cultural_property_legal_corpus__universal_heritage_reading	0.78	0.71
decalogue_image_prohibition__iconoclast_reading	0.81	0.88
decalogue_image_prohibition__iconodule_reading	0.38	0.72
decalogue_image_prohibition__moderate_iconoclast_reading	0.68	0.72
deferential_realism_ontology__hybrid_pragmatic_reading	0.58	0.62
deferential_realism_ontology__immutable_diagnostic_reading	0.68	0.76
deferential_realism_ontology__rhetorical_scaffold_reading	0.62	0.28
derivative_work_statutory_boundary__coordination_reading	0.28	0.15
derivative_work_statutory_boundary__enclosure_reading	0.81	0.79
derivative_work_statutory_boundary__hybrid_carveout_reading	0.58	0.62
dharmasastra_corpus__abolitionist_rejection	0.89	0.91
dharmasastra_corpus__orthodox_literalist	0.82	0.88
dharmasastra_corpus__reformist_contextual	0.58	0.42
digital_money_emergence_boundary__conceptualization_reading	0.28	0.15
digital_money_emergence_boundary__consumer_holdings_reading	0.62	0.41
digital_money_emergence_boundary__infrastructure_reading	0.68	0.71
digital_money_origin__became_thinkable_reading	0.62	0.71
digital_money_origin__first_held_reading	0.62	0.71
digital_money_origin__regulatory_recognition_reading	0.68	0.71
dignified_death__autonomy_primary	0.52	0.68
dignified_death__relational_autonomy	0.38	0.42
dignified_death__sanctity_primary	0.62	0.71
dignity_kernel__autonomy_rights_reading	0.62	0.51
dignity_kernel__imago_dei_reading	0.58	0.67
dignity_kernel__posthumanist_reading	0.68	0.52
divine_legitimacy_substrate__amun_polytheistic_reading	0.62	0.71
divine_legitimacy_substrate__atenist_monotheistic_reading	0.87	0.91
divine_marriage_command__coercion_visibility_reading	0.68	0.71
divine_marriage_command__continuationist_reading	0.68	0.71
divine_marriage_command__substitutionist_reading	0.68	0.71
dollar_gold_convertibility__policy_flexible_reading	0.62	0.71
dollar_gold_convertibility__strict_convertibility_reading	0.68	0.52
dollar_gold_convertibility__triffin_structural_reading	0.81	0.62
doomsday_clock_metric__objective_index_reading	0.68	0.79
doomsday_clock_metric__performative_tool_reading	0.68	0.71
dsm_taxonomy_kernel__biomedical_reading	0.76	0.71
dsm_taxonomy_kernel__critical_psychiatry_reading	0.68	0.72
dsm_taxonomy_kernel__neurodiversity_reading	0.79	0.76
dual_class_legitimacy__disclosure_consent	0.38	0.22
dual_class_legitimacy__founder_stewardship	0.42	0.31
dual_class_legitimacy__minority_extraction	0.68	0.72
dueling_disappearance_mechanism__contraction_reading	0.62	0.71
dueling_disappearance_mechanism__institutional_displacement_reading	0.18	0.22
ecb_mandate_article_127__climate_incorporation	0.68	0.72
ecb_mandate_article_127__expansive_secondary_objectives	0.62	0.54
ecb_mandate_article_127__orthodox_price_stability	0.68	0.76
electronic_money_emergence__became_thinkable_reading	0.31	0.18
electronic_money_emergence__first_held_reading	0.31	0.12
electronic_money_emergence__m4_m5_collapse_reading	0.62	0.71
employment_boundary__formalist_employment_reading	0.81	0.72
employment_boundary__hybrid_security_reading	0.58	0.52
employment_boundary__substantive_employment_reading	0.62	0.58
end_of_life_authority__autonomy_reading	0.62	0.78
end_of_life_authority__sanctity_reading	0.68	0.72
end_of_life_authority__slippery_slope_mechanism	0.68	0.72
end_of_life_decision_authority__autonomy_reading	0.58	0.72
end_of_life_decision_authority__sanctity_reading	0.62	0.71
end_of_life_decision_authority__vulnerability_protection_reading	0.41	0.58
equal_protection_clause__colorblind_reading	0.08	0.12
equal_protection_clause__diversity_reading	0.38	0.42
equal_protection_clause__remedial_reading	0.62	0.58
equal_protection_commitment__colorblind_reading	0.42	0.48
equal_protection_commitment__diversity_reading	0.28	0.22
equal_protection_commitment__remedial_reading	0.52	0.48
equal_protection_kernel__antisubordination_reading	0.31	0.68
equal_protection_kernel__remedial_reading	0.38	0.52
equality_clause_scope__expansive_universalist	0.38	0.29
equality_clause_scope__progressive_textualist	0.42	0.38
equality_clause_scope__restrictive_originalist	0.78	0.81
eternal_marriage_covenant__immutable_commandment_reading	0.81	0.88
eternal_marriage_covenant__prophetic_override_reading	0.68	0.71
eternal_marriage_covenant__temporal_accommodation_reading	0.31	0.42
eu_council_unanimity__diplomatic_capital_reading	0.38	0.12
eu_council_unanimity__sovereignty_guarantor_reading	0.35	0.12
eu_council_unanimity__veto_trap_reading	0.68	0.52
exercise_as_competence_maintenance__hybrid_decay_reading	0.58	0.42
exercise_as_competence_maintenance__lived_catastrophe_necessity_reading	0.68	0.72
exercise_as_competence_maintenance__simulation_sufficiency_reading	0.62	0.45
fair_use_four_factor_test__creator_centric_reading	0.68	0.61
fair_use_four_factor_test__transformative_use_reading	0.48	0.42
fair_use_four_factor_test__user_centric_reading	0.38	0.42
fair_use_statutory_exception__market_licensing_reading	0.92	0.88
fair_use_statutory_exception__narrow_defense_reading	0.78	0.71
fair_use_statutory_exception__transformative_right_reading	0.38	0.31
family_law_authority__christian_canonical_reading	0.62	0.71
family_law_authority__hindu_dharmashastra_reading	0.68	0.72
family_law_authority__muslim_shariat_reading	0.58	0.62
family_law_authority__parsi_zoroastrian_reading	0.68	0.72
family_law_authority__secular_contractual_reading	0.38	0.22
federation_membership__integration_reading	0.68	0.72
federation_membership__sovereignty_reading	0.67	0.71
federation_membership_kernel__integration_reading	0.68	0.71
federation_membership_kernel__member_sovereignty_reading	0.68	0.71
federation_membership_kernel__welfare_coordination_reading	0.68	0.55
federation_membership_obligations__integration_primary	0.68	0.61
federation_membership_obligations__member_sovereignty_primary	0.62	0.71
federation_membership_obligations__selective_solidarity	0.68	0.71
federation_membership_treaty__integration_primary	0.68	0.72
federation_membership_treaty__sovereignty_primary	0.62	0.71
federation_membership_treaty__subsidiarity_balance	0.58	0.52
feud_obligation_kernel__christianized_pacification_reading	0.71	0.88
feud_obligation_kernel__extraction_cycle_reading	0.81	0.79
feud_obligation_kernel__stateless_coordination_reading	0.38	0.42
feudal_oath_reciprocity__ecclesiastical_mediation_reading	0.58	0.62
feudal_oath_reciprocity__lord_extraction_reading	0.81	0.77
feudal_oath_reciprocity__vassal_coordination_reading	0.35	0.28
fifth_republic_constitution__cohabitation_equilibrium_reading	0.51	0.38
fifth_republic_constitution__hyper_presidential_reading	0.68	0.71
fifth_republic_constitution__parliamentary_constraint_reading	0.18	0.12
first_amendment_speech_protection__absolutist_reading	0.68	0.71
first_amendment_speech_protection__categorical_balancing_reading	0.62	0.58
first_amendment_speech_protection__harm_limited_reading	0.58	0.62
fisa_702_statutory_text__constitutional_floor_reading	0.25	0.15
fisa_702_statutory_text__foreign_target_strict_reading	0.15	0.12
fisa_702_statutory_text__incidental_collection_reading	0.45	0.72
flexible_employment_legitimacy__developmental_state_reading	0.58	0.42
flexible_employment_legitimacy__market_efficiency_reading	0.42	0.28
flexible_employment_legitimacy__precarity_extraction_reading	0.81	0.76
fourteenth_amendment_equal_protection__anti_caste_reading	0.68	0.72
gdpr_article_3_scope__effects_jurisdiction_reading	0.68	0.71
gdpr_article_3_scope__market_access_reading	0.38	0.22
gdpr_article_3_scope__territorial_sovereignty_reading	0.68	0.72
gelassenheit_separation__artifact_reading	0.82	0.91
gelassenheit_separation__consequence_reading	0.38	0.41
gelassenheit_separation__principle_reading	0.45	0.52
gendered_category_membership__biological_sex_reading	0.68	0.76
gendered_category_membership__gender_identity_reading	0.48	0.52
gendered_category_membership__social_role_reading	0.52	0.61
genesis_creation_cosmology__literary_framework	0.61	0.58
genesis_creation_cosmology__theistic_evolution	0.62	0.58
genesis_creation_cosmology__young_earth_literal	0.68	0.76
genesis_creation_narrative__allegorical_ancient_near_east	0.31	0.28
genesis_creation_narrative__literal_young_earth	0.68	0.79
genesis_creation_narrative__theistic_evolutionary	0.38	0.29
geneva_conventions_1949__conditional_reciprocity_reading	0.62	0.71
geneva_conventions_1949__humanitarian_ceiling_reading	0.31	0.72
geneva_conventions_1949__security_maximization_reading	0.87	0.92
geneva_conventions_protective_scope__hybrid_proportionality_reading	0.68	0.74
geneva_conventions_protective_scope__state_centric_reading	0.68	0.71
geneva_conventions_protective_scope__universal_rights_reading	0.68	0.41
gita_kurukshetra_discourse__orthodox_literal_reading	0.81	0.87
gita_kurukshetra_discourse__universalist_devotional_reading	0.38	0.51
gold_fiat_transition_mechanism__automatic_constraint_reading	0.71	0.42
gold_fiat_transition_mechanism__composite_overdetermination_reading	0.48	0.31
gold_fiat_transition_mechanism__creditor_discipline_reading	0.82	0.71
gpl_copyleft_scope__enforcement_vacuum_reading	0.38	0.52
gpl_copyleft_scope__narrow_scope_reading	0.35	0.28
gpl_copyleft_scope__strong_copyleft_reading	0.76	0.71
gpl_derivative_work_trigger__broad_copyleft_reading	0.68	0.71
gpl_derivative_work_trigger__narrow_linking_permissive_reading	0.68	0.72
gpl_reciprocity_obligation__copyleft_as_commons_reading	0.48	0.32
gpl_reciprocity_obligation__copyleft_as_freedom_reading	0.38	0.72
gpl_reciprocity_obligation__copyleft_as_restriction_reading	0.68	0.52
hagia_sophia_substrate__islamic_sovereignty_reading	0.68	0.72
hagia_sophia_substrate__orthodox_restitution_reading	0.18	0.05
hagia_sophia_substrate__universal_heritage_reading	0.68	0.72
hebrew_continuity__bridge_pidginized	0.58	0.42
hebrew_continuity__liturgical_preservation	0.68	0.72
hebrew_continuity__native_generative	0.68	0.71
hebrew_linguistic_life__liturgical_preservation_reading	0.62	0.71
hebrew_linguistic_life__marketplace_pidgin_reading	0.42	0.38
hebrew_linguistic_life__native_generational_reading	0.81	0.78
hebrew_living_language__literary_revival_reading	0.12	0.08
hebrew_living_language__liturgical_continuity_reading	0.12	0.08
hebrew_living_language__native_generation_reading	0.68	0.72
hebrew_vitality__hybrid_continuity_reading	0.15	0.08
hebrew_vitality__liturgical_reading	0.15	0.22
hebrew_vitality__native_daily_reading	0.62	0.71
herem_command_dt7__allegorical_displacement_reading	0.0	0.15
herem_command_dt7__contextual_supersession_reading	0.38	0.42
herem_command_dt7__durable_separation_reading	0.82	0.91
historical_treaty_substrate__extinguishment_reading	0.89	0.91
historical_treaty_substrate__nation_to_nation_reading	0.58	0.71
hoa_covenant_scope__behavioral_control_reading	0.42	0.68
hoa_covenant_scope__coordination_reading	0.16	0.12
hoa_covenant_scope__extraction_reading	0.68	0.81
homoousios_christology__arian_reading	0.68	0.72
homoousios_christology__pro_nicene_reading	0.68	0.79
homoousios_christology__semi_arian_reading	0.41	0.52
homoousios_nicene__honorific_similarity_reading	0.38	0.45
homoousios_nicene__metaphysical_equality_reading	0.68	0.82
homoousios_nicene__subordinationist_reading	0.68	0.79
honor_satisfaction_mechanism__composite_reading	0.68	0.72
honor_satisfaction_mechanism__contraction_reading	0.0	0.0
honor_satisfaction_mechanism__decline_reading	0.68	0.71
honor_satisfaction_substrate__composite_overdetermined_reading	0.62	0.78
honor_satisfaction_substrate__cultural_contraction_reading	0.15	0.08
honor_satisfaction_substrate__practice_decline_reading	0.38	0.72
honor_settlement_legitimacy__composite_reading	0.68	0.76
honor_settlement_legitimacy__contraction_reading	0.18	0.12
honor_settlement_legitimacy__drop_reading	0.31	0.72
honor_violence_legitimacy__composite_reading	0.67	0.71
honor_violence_legitimacy__contraction_reading	0.62	0.71
honor_violence_legitimacy__drop_reading	0.41	0.38
human_dignity_ai_governance__magisterial_integralist_reading	0.48	0.32
human_dignity_ai_governance__pluralist_pragmatic_reading	0.52	0.38
human_dignity_ai_governance__secular_humanist_reading	0.38	0.28
human_dignity_ai_governance__techno_optimist_reading	0.78	0.62
human_dignity_ai_safeguarding__autonomy_rights_reading	0.38	0.42
human_dignity_ai_safeguarding__imago_dei_reading	0.68	0.89
human_dignity_ai_safeguarding__posthumanist_reading	0.31	0.22
human_transcendence_pathway__babel_reading	0.82	0.79
human_transcendence_pathway__jerusalem_reading	0.35	0.18
human_transcendence_pathway__technocratic_vs_incarnational_reading	0.78	0.81
humane_treatment_standard__absolute_prohibition	0.18	0.12
humane_treatment_standard__contextual_necessity	0.78	0.81
humane_treatment_standard__proportionality_balancing	0.62	0.58
ietf_openness_commitment__capture_substrate_reading	0.58	0.62
ietf_openness_commitment__commons_stewardship_reading	0.18	0.12
ietf_openness_commitment__legitimacy_erosion_reading	0.68	0.71
ihl_distinction_proportionality__categorical_prohibition_reading	0.88	0.76
ihl_distinction_proportionality__human_agency_reading	0.68	0.72
ihl_distinction_proportionality__outcomes_based_reading	0.58	0.62
imperial_mandate__bakufu_delegation_reading	0.68	0.71
imperial_mandate__loyalist_restoration_reading	0.68	0.76
imposition_mechanism_kernel__endogenous_climb_reading	0.18	0.12
imposition_mechanism_kernel__exogenous_override_reading	0.82	0.88
imposition_mechanism_kernel__hybrid_legitimation_reading	0.48	0.42
imposition_pathway_kernel__endogenous_climb_reading	0.31	0.18
imposition_pathway_kernel__exogenous_override_reading	0.68	0.81
imposition_pathway_kernel__hybrid_cascade_reading	0.68	0.72
income_support_commitment__dependency_trap_reading	0.68	0.52
income_support_commitment__freedom_floor_reading	0.18	0.12
income_support_commitment__targeting_efficiency_reading	0.78	0.71
income_support_conditionality__dependency_trap_reading	0.68	0.72
income_support_conditionality__freedom_floor_reading	0.22	0.18
income_support_conditionality__wage_subsidy_reading	0.68	0.52
ip_category_emergence__first_holding_reading	0.48	0.62
ip_category_emergence__synchronic_diachronic_seam	0.62	0.71
ip_category_emergence__thinkability_reading	0.31	0.19
irc_469_material_participation_kernel__strategic_shelter_reading	0.68	0.52
irc_469_material_participation_kernel__strict_gatekeeper_reading	0.71	0.68
jati_practice_norm__colonial_census_reading	0.68	0.72
jati_practice_norm__localized_practice_reading	0.35	0.28
jati_practice_norm__orthodox_textual_reading	0.81	0.78
jcpoa_treaty_bindingness__binding_multilateral_reading	0.68	0.71
jcpoa_treaty_bindingness__graduated_compliance_reading	0.58	0.42
jcpoa_treaty_bindingness__transactional_provisional_reading	0.68	0.71
jewish_self_determination__diasporist_reading	0.62	0.71
jewish_self_determination__liberal_nationalist_reading	0.38	0.42
jewish_self_determination__religious_covenant_reading	0.82	0.79
jewish_self_determination__settler_colonial_reading	0.88	0.91
jewish_sovereignty_palestine__liberal_nationalist_reading	0.62	0.41
jewish_sovereignty_palestine__post_zionist_reading	0.68	0.62
jewish_sovereignty_palestine__religious_zionist_reading	0.89	0.76
jewish_territorial_claim__cultural_zionism_reading	0.38	0.42
jewish_territorial_claim__political_zionism_reading	0.78	0.81
jewish_territorial_claim__revisionist_zionism_reading	0.88	0.91
jihad_quranic_corpus__defensive_spiritual_reading	0.32	0.18
jihad_quranic_corpus__expansionist_legalist_reading	0.68	0.72
jihad_quranic_corpus__revolutionary_vanguard_reading	0.88	0.91
john_1_1_logos__orthodox_christological	0.68	0.72
john_1_1_logos__subordinationist	0.58	0.72
july_charter_sovereign_legitimacy__guided_nationalism_reading	0.68	0.71
july_charter_sovereign_legitimacy__military_custodian_reading	0.78	0.82
july_charter_sovereign_legitimacy__secular_democratic_reading	0.68	0.76
jurisprudential_method_kernel__hanafi_reading	0.68	0.52
jurisprudential_method_kernel__hanbali_reading	0.68	0.72
jurisprudential_method_kernel__maliki_reading	0.48	0.52
jurisprudential_method_kernel__shafii_reading	0.62	0.71
kami_buddha_ontology__domain_partition	0.41	0.38
kami_buddha_ontology__honji_suijaku_monism	0.58	0.71
kami_buddha_ontology__incoherent_bundle	0.58	0.62
kjv_text_1611__exclusive_inspiration_reading	0.68	0.76
