Second triage pass: 68 entries selected from the remaining ~750 to match the pattern of the 46 kept entries. Selection criteria: victims are recognizable people in ordinary roles, The Tell is observable without domain expertise during normal life, the system is encountered involuntarily, and no year-indexed geopolitical or specialist-domain entries.

Each entry lists the kept entry it most structurally resembles.

| constraint_id | Rationale | Resembles |
| **documentation_fidelity_collapse** | Cannot change the fields, bears career risk when compressed records create accountability gaps. Observable for any frontline worker forced into rigid data entry. | sludge_bureaucratic_friction |
| **po_investigation_protocol_bias** | Refusing cooperation worsens the case; cooperation feeds predetermined conclusions. Post Office scandal — observable injustice with named victims. | horizon_liability_contract |
| **cognitive_energy_budget** | Finite daily cognitive budget cannot exit the extraction. Observable by any knowledge worker at 3pm. | qwerty_vs_dvorak |
| **attention_market_cannibalization** | Algorithmic extraction with no meaningful exit. Observable for anyone who checks their phone 80+ times a day. | subscription_economy_model |
| **appropriations_brinkmanship** | Federal workers face immediate wage withholding; benefit recipients face delays. Observable every time a shutdown threat occurs. | us_employer_health_insurance |
| **us_two_party_duopoly** | Third-party candidates face ballot access barriers and vote-splitting math. Observable in every US election. | rent_seeking_equilibrium |
| **regulatory_capture** | Consumers cannot exit the market or organize against regulatory distortion. Observable in telecoms, energy, finance. | rent_seeking_equilibrium |
| **academic_peer_review_gatekeeping** | Must publish in high-impact journals to secure grants and career advancement. Paywalls extract from researchers and public alike. | academic_tenure_system |
| **family_estrangement_ratio** | "Family is forever" dogma suppresses alternatives to reconciliation, making clean exit impossible. Observable for anyone who has cut off a family member. | uk_unpaid_care_system |
| **social_loafing** | High-effort contributor discovers effort is suppressed by free-rider presence. Observable in any group project, committee, or team. | peter_principle |
| **role_capture_through_cost_asymmetry** | Intervention costs are immediate and personal (job loss), complicity costs are diffuse and delayed. Observable for any employee who sees wrongdoing. | golden_handcuffs |
| **institutional_inertia_lock** | New competitors face compliance costs designed for incumbents. Observable for any startup navigating legacy regulation. | rent_seeking_equilibrium |
| **collective_action_deadlock** | Minority protection rules weaponized into immobility. Observable in HOA boards, faculty senates, international organizations. | hoa_covenants |
| **climate_policy_extraction** | Decarbonization experienced as pure extraction: loss of livelihood, community collapse. Observable in coal towns, oil-dependent regions. | eu_renewable_energy_mandate |
| **prime_age_male_unwork** | Few exit-compatible jobs, social stigma around non-breadwinner status. Observable demographic pattern. | us_labor_mobility |
| **demand_response_cost_shift** | Cannot exit the grid. Smart pricing shifts costs to immobile consumers. Observable on electricity bills. | eu_renewable_energy_mandate |
| **financialization_drag** | Venture capital and debt structures force short-term extraction over reinvestment. Observable for any small business seeking capital. | franchisee_corporate_squeeze |
| **planning_fallacy** | Must repeatedly allocate resources based on systematically false estimates. Observable for anyone managing projects or budgets. | peter_principle |
| **self_enforced_boundary_protocol** | Boundary setter trapped in perpetual enforcement. Observable in any relationship where one person sets all the limits. | uk_unpaid_care_system |
| **shadow_pricing_failure** | Data systematically underpriced or priced at zero in digital ecosystems. Observable for anyone whose attention and data are harvested. | open_culture_newsletter |
| **debt_service_squeeze** | Refinancing expensive or unavailable when inflation and rates rise. Observable for any mortgage holder. | boe_base_rate_policy_2024 |
| **innovators_dilemma** | Small entrant trapped in low-margin niche while incumbents control the profitable segments. Observable for any entrepreneur. | franchisee_corporate_squeeze |
| **help_to_buy_uk** | First-time buyers excluded from HTB face a housing ladder with artificially elevated prices. Observable in UK housing market. | boe_base_rate_policy_2024 |
| **personalized_nutritional_arbitrage** | Cannot afford continuous biomarker monitoring ($150-300 per test). Health optimization as class barrier. Observable in wellness industry pricing. | armra_colostrum_regulation |
| **uneven_risk_distribution** | Economic constraints force concentration of modifiable health risk factors on low-income populations. Observable in food deserts, pollution zones. | uk_ssp_eligibility |
| **blackstone_carried_interest_taxation** | Wage earners pay ordinary income tax on labor while fund managers pay capital gains on carried interest. Observable on any pay stub vs. investment return. | cloudflare_dual_class_asymmetry |
| **risk_socialization_threshold** | Cannot exit the obligation to fund systemic entity bailouts. Taxpayers absorb losses, shareholders keep gains. Observable in every financial crisis. | boe_base_rate_policy_2024 |
| **qualified_immunity** | Victim of excessive force with no meaningful legal exit. Observable in any police misconduct case. | copyright_protection |
| **ncaa_eligibility_rules** | Student athletes structurally trapped — generate revenue but cannot be compensated. Observable in college sports. | medical_residency_match |
| **fiat_currency_lifecycle** | Individual with savings cannot exit currency debasement. Observable for any saver watching inflation erode purchasing power. | boe_base_rate_policy_2024 |
| **monetary_regime_transition** | Ordinary citizens cannot exit the national monetary system. Observable whenever inflation diverges from stated targets. | boe_base_rate_policy_2024 |
| **hershey_salt_strategy** | Cannot easily exit the product category without significant dietary sacrifice. Observable for any health-conscious shopper reading nutrition labels. | armra_colostrum_regulation |
| **cholesterol_pill_cost** | Cannot exit the medication constraint. Observable for any uninsured patient pricing prescriptions. | us_employer_health_insurance |
| **debt_trap_microfinance** | Low-income borrower with no exit; repayment enforced through social coercion. Same structure as student loans but for the global poor. | student_loan_default_cliff |
| **streaming_bundling_mandate** | Forced into mandatory bundling with no option to distribute independently. Observable for any content creator on streaming platforms. | google_ai_search_overview |
| **isa_education_scaffold** | Student from low-income background locked into income-share agreement with no alternative financing. Observable in coding bootcamp and alternative education markets. | student_loan_default_cliff |
| **individual_vs_systemic_causation** | Communities with limited access to healthy food, safe housing, quality education blamed for individual health outcomes. Observable in public health messaging. | uk_ssp_eligibility |
| **data_privacy_regulation** | Consumer trapped within global digital ecosystem. Observable for anyone accepting cookie banners and privacy policies they cannot meaningfully negotiate. | subscription_economy_model |
| **legitimation_through_objectivity** | The precision of interest rates to basis points, repayment schedules to the penny, masks extraction behind numerical authority. Observable on any loan statement. | student_loan_interest_accrual |
| **unilateral_condition_control** | Cannot exit the performance system; authority controls both the target and the measurement. Observable in any job with performance reviews. | golden_handcuffs |
| **hawthorne_effect** | Worker cannot exit the observation context without career consequences. Observable for anyone in a monitored workplace. | golden_handcuffs |
| **dunning_kruger_effect** | Low-competence agents trapped in genuine illusion of competence. Observable in hiring panels, project teams, online discourse. | peter_principle |
| **emergency_powers_ratchet** | Subject to emergency powers with no effective exit. Observable whenever temporary measures become permanent. | copyright_protection |
| **overton_window** | Positions outside the window face systematic exclusion from mainstream discourse. Observable in any policy debate. | news_paywall_inequality |
| **asshole_filter_2015** | Cooperative individuals internalize norms while bad actors learn to bypass them. Observable in any organization where the rules mainly bind the good-faith members. | hoa_covenants |
