constraint_id,context,chi,tvd,fires,h1
ai_superpowers_2026,powerless,0.695606,0.009664,False,3
ai_task_horizon_reliability,powerless,0.521705,0.049264,False,3
ai_training_data_dependency,powerless,0.521705,0.110181,True,3
airbnb_str_regulation,powerless,0.652131,0.491757,True,5
airport_slot_use_it_or_lose_it,powerless,0.815164,0.051666,True,3
algeria_france_colonial_legacy,powerless,0.815164,0.047917,False,3
algorithmic_bias,powerless,0.815164,0.001355,False,3
algorithmic_epistemic_capture,powerless,0.923852,0.290391,False,0
alignment_tax_tradeoff,powerless,0.912984,0.221306,False,0
alternative_sovereignty_scaffold,powerless,0.239115,0.000000,False,0
altruistic_misery_paradox_2026,powerless,0.673869,0.091324,False,0
alzheimers_levetiracetam,powerless,0.380410,0.021816,False,3
alzheimers_nlrp3_inflammasome,powerless,0.923852,0.000144,False,3
amish_technological_renunciation,powerless,0.869508,0.008930,False,3
ancestral_pueblo_hydrology,powerless,0.891246,0.003718,False,3
ancient_antibiotic_resistance,powerless,0.056775,0.000000,False,0
ancient_grudge_verona,powerless,0.869508,0.007530,False,3
anticipatory_capacity_failure,powerless,0.902115,0.351170,False,0
antifragility,powerless,0.815164,0.003243,False,3
antikythera_knowledge_loss,powerless,0.056775,0.000000,False,0
antikythera_planetary_model,powerless,0.597787,0.230348,True,5
apartheid_nuclear_program,powerless,0.923852,0.009124,False,3
ape_cognition_framework,powerless,0.597787,0.559792,True,5
appropriations_brinkmanship,powerless,0.706475,0.051705,True,3
arctic_geopolitical_flashpoint,powerless,0.815164,0.014920,False,3
arctic_maritime_control,powerless,0.597787,0.335025,True,5
arg_ev_tariff,powerless,0.597787,0.440484,True,5
armra_colostrum_regulation,powerless,0.521705,0.026196,False,3
arrows_impossibility_theorem,powerless,0.652131,0.001113,False,3
art_market_decoupling,powerless,0.912984,0.348060,False,0
artificial_scarcity_scaffold,powerless,0.521705,0.279640,True,3
artificial_snow_2026,powerless,0.521705,0.001183,False,3
asce_7_22_seismic_design,powerless,0.380410,0.036925,False,3
asean_ceasefire_2011,powerless,0.163033,0.000000,False,0
asshole_filter_2015,powerless,0.815164,0.021083,False,3
astm_d638_tensile_testing,powerless,0.108689,0.234485,True,3
asymmetric_burden_distribution,powerless,0.967328,0.352748,False,0
asymmetric_computational_difficulty,powerless,0.923852,0.141678,False,0
atrophied_optimization_piton,powerless,0.521705,0.298762,False,0
attention_as_bottleneck_resource,powerless,0.945590,0.321664,True,3
attention_market_cannibalization,powerless,0.989065,0.367925,True,3
attribution_ambiguity_triplet_sc,powerless,0.456492,0.003861,False,3
attritional_warfare_doctrine_ru_ua_2026,powerless,0.815164,0.049097,False,3
au_social_media_ban_u16,powerless,0.521705,0.334048,True,3
australia_social_ban_2026,powerless,0.782557,0.015067,False,3
authoritarian_power_paradox,powerless,0.869508,0.009525,False,3
automatic_enrollment_defaults,powerless,0.054344,0.007882,False,0
autonomous_toolchain_sprawl,powerless,0.912984,0.248850,True,3
availability_heuristic,powerless,0.434754,0.072509,True,3
average_is_over_2026,powerless,0.739082,0.116860,True,3
awareness_without_leverage,powerless,0.793426,0.036013,False,3
axiom_of_choice,powerless,0.271721,0.035083,False,4
axiom_reasoner_2026,powerless,0.521705,0.000339,False,3
banach_fixed_point,powerless,0.011355,0.000000,False,0
banach_fixed_point_theorem,powerless,0.113550,0.000000,False,0
banach_tarski_paradox,powerless,0.056775,0.000000,False,0
bangladesh_july_national_charter,powerless,0.597787,0.545998,True,5
base_pair_complementarity,powerless,0.227100,0.000000,False,0
basel_problem_convergence,powerless,0.021738,0.000000,False,0
bay_of_pigs_operational_silo,powerless,0.978197,0.076772,True,3
bayes_theorem_cognitive_bias,powerless,0.521705,0.006339,False,3
bedouin_sedentary_transition,powerless,0.815164,0.021083,False,3
beehiiv_platform_model,powerless,0.521705,0.019299,False,3
belief_argument_conclusion,powerless,0.760820,0.162008,True,3
berkshire_compounding_culture,powerless,0.108689,0.019488,False,0
bgs_eigenvector_thermalization,powerless,0.456492,0.001388,False,3
bgs_spectral_universality,powerless,0.090840,0.000000,False,0
bh_merger_gravitational_infall,powerless,0.056775,0.000000,False,0
big_data_astrophysics_arbitrage,powerless,0.815164,0.204289,True,3
biological_curiosity,powerless,0.163033,0.004217,False,4
biological_specification,powerless,0.170325,0.000000,False,0
bip_narrative_illusion,powerless,0.923852,0.001011,False,3
birthday_paradox_collision,powerless,0.056775,0.000000,False,0
blackstone_carried_interest_taxation,powerless,0.326066,0.022673,False,4
blackstone_conflicts_of_interest,powerless,0.815164,0.051666,True,3
blackstone_smd_control,powerless,0.869508,0.021622,False,3
blackstone_tra,powerless,0.923852,0.011481,False,3
bnpl_payment_systems,powerless,0.521705,0.104964,True,3
board_of_peace_2026,powerless,0.521705,0.369679,True,3
boe_base_rate_policy_2024,powerless,0.521705,0.104964,True,3
boiled_pineapple_trend_2026,powerless,0.597787,0.140762,False,0
boltzmann_universality_2026,powerless,0.163033,0.086609,True,3
bonbon_drop_sticker_craze,powerless,0.815164,0.047917,False,3
boom_bust_path_dependency,powerless,0.239115,0.542524,True,3
bor_tax_exemption_nl,powerless,0.815164,0.022031,False,3
boundary_dissolution_risk,powerless,0.945590,0.355500,True,3
boundary_protocol,powerless,0.000000,0.000000,False,0
brain_network_paradigm_2026,powerless,0.543443,0.221930,True,5
brazil_2026_general_elections,powerless,0.565180,0.162384,True,3
brazil_hiv_vtn_elimination,powerless,0.111436,0.007725,False,0
brazil_mexico_financial_requirement,powerless,0.815164,0.022031,False,3
broke_vs_poor_grocery_math,powerless,0.869508,0.067778,True,3
brouwer_fixed_point,powerless,0.056775,0.000000,False,0
buffons_needle_pi_estimation,powerless,0.521705,0.001857,False,3
burali_forti_paradox,powerless,0.217377,0.013133,False,4
burden_of_proof_engineering_safety,powerless,0.978197,0.001591,False,3
burden_of_proof_legal_criminal,powerless,0.108689,0.097203,True,3
burden_of_proof_scientific,powerless,0.521705,0.104964,True,3
bureaucratic_legibility_collapse,powerless,0.934721,0.353285,True,3
bureaucratic_self_preservation,powerless,0.782557,0.248089,False,0
bushman_money_magic,powerless,0.978197,0.001591,False,3
busy_beaver_noncomputability,powerless,0.056775,0.000000,False,0
bwb_adeg_rewesale_conditions,powerless,0.521705,0.104584,True,3
c_physical_blue_wavelength,powerless,0.022710,0.000000,False,0
canada_germany_ai_pact,powerless,0.249600,0.112591,True,5
canada_goose_realignment_2026,powerless,0.278589,0.013665,False,0
canal_panama_influence,powerless,0.652131,0.413378,True,5
cancer_chronotherapy_timing,powerless,0.055718,0.000000,False,0
cancer_prevention,powerless,0.597787,0.386878,True,5
cantor_set_topology,powerless,0.054344,0.000000,False,0
cantors_diagonal_argument,powerless,0.108689,0.000000,False,0
cap_theorem,powerless,0.056775,0.000000,False,0
capability_eval_overhang,powerless,0.902115,0.340563,True,3
capital_misallocation_spiral,powerless,0.945590,0.353727,True,3
capital_rotation_ai_narrative,powerless,0.521705,0.104964,True,3
car_ownership_norm_us,powerless,0.597787,0.335025,True,5
carbon_credit_markets_2026,powerless,0.597787,0.103207,True,5
carrier_deployment_deterrence,powerless,0.597787,0.440484,True,5
carrying_capacity,powerless,0.760820,0.087164,True,3
cartel_drone_surveillance_el_paso,powerless,0.815164,0.047203,False,3
cascading_constraint_failure,powerless,0.967328,0.001870,False,3
cascading_uncertainty_2026,powerless,0.815164,0.266605,True,3
castration_longevity_choice,powerless,0.869508,0.130517,True,3
cb_far_beyond_human,powerless,0.706475,0.304485,True,3
cbdc_implementation,powerless,0.869508,0.000878,False,3
central_limit_theorem,powerless,0.090840,0.000000,False,0
cfius_hiefo_emcore_divestment,powerless,0.706475,0.353595,True,3
cg_israelgaza_20231012,powerless,0.706475,0.323712,True,3
chaitins_omega_undecidability,powerless,0.056775,0.000000,False,0
challenger_o_ring_integrity,powerless,0.869508,0.000878,False,3
champions_bass_fishing_exclusion,powerless,0.521705,0.052067,True,3
child_marriage,powerless,0.815164,0.051980,True,3
china_africa_zero_tariff_2026,powerless,0.347803,0.004403,False,3
china_contraceptive_tax,powerless,0.597787,0.386878,True,5
china_critical_mineral_chokepoint,powerless,0.923852,0.009564,False,3
china_ev_export_oversupply,powerless,0.597787,0.256357,True,5
china_export_led_growth,powerless,0.521705,0.110181,True,3
china_taiwan_reunification_mandate,powerless,0.869508,0.021622,False,3
china_vactrain_standard,powerless,0.597787,0.212933,True,5
choice_architecture_design,powerless,0.521705,0.019299,False,3
cholesterol_pill_cost,powerless,0.760820,0.149516,True,3
chrome_imagen2_integration,powerless,0.706475,0.321667,True,3
church_turing_thesis,powerless,0.022710,0.000000,False,0
cia_fbi_legal_wall,powerless,0.760820,0.146722,True,3
cinderella_midnight_deadline,powerless,0.108689,0.000000,False,0
circadian_decoupling_arbitrage,powerless,0.673869,0.362949,True,3
citation_collapse_dynamics,powerless,0.934721,0.353240,False,0
civilizational_lifecycle_solara,powerless,0.923852,0.343885,True,3
civilizational_maintenance_debt,powerless,0.673869,0.001319,False,3
clawderberg_recursive_slop,powerless,0.923852,0.030377,False,0
click_chemistry_paradigm_2026,powerless,0.108689,0.001651,False,4
climate_attribution_2026,powerless,0.217377,0.023682,False,4
climate_catastrophe_belief,powerless,0.565180,0.165835,True,5
climate_event_attribution,powerless,0.597787,0.429065,True,5
climate_policy_extraction,powerless,0.673869,0.290704,True,3
climate_target_one_point_five,powerless,0.326066,0.008889,False,4
cloudflare_dual_class_asymmetry,powerless,0.869508,0.021622,False,3
clt_convergence_2026,powerless,0.011355,0.000000,False,0
cma,powerless,0.891246,0.141800,True,3
cmr_001,powerless,0.597787,0.000901,False,3
cn_tech_decoupling_security_software,powerless,0.597787,0.537949,True,5
coalition_disinfo_framework_2026,powerless,0.521705,0.110181,True,3
cobra_effect,powerless,0.652131,0.001033,False,3
codex_access,powerless,0.597787,0.386878,True,5
coe_ukraine_reparations_register,powerless,0.706475,0.326767,True,3
coffee_cardiovascular_2026,powerless,0.130426,0.037196,False,0
cognac_geopolitical_risk,powerless,0.543443,0.065498,True,5
cognitive_bicycle_scaffold,powerless,0.217377,0.064032,False,0
cognitive_diversity_arbitrage,powerless,0.782557,0.000000,False,0
cognitive_energy_budget,powerless,0.880377,0.007082,False,3
cognitive_hacking_2026,powerless,0.782557,0.137904,True,3
cognitive_induction_gap,powerless,0.760820,0.087164,True,3
cognitive_surrender_to_system_3,powerless,0.706475,0.317322,True,3
coinbase_crypto_volatility,powerless,0.456492,0.219041,True,3
coinbase_regulatory_uncertainty,powerless,0.760820,0.163317,True,3
cold_dark_matter_paradigm,powerless,0.521705,0.138314,True,3
collatz_conjecture_determinism,powerless,0.022710,0.000000,False,0
collective_action_deadlock,powerless,0.815164,0.069419,True,3
collective_stupidity_2026,powerless,0.956459,0.355000,True,3
college_admissions_market,powerless,0.760820,0.001717,False,3
colombia_2026_presidential_election,powerless,0.489098,0.000548,False,3
colorado_sbe_decentralization_friction,powerless,0.760820,0.091354,True,3
colossus_nero_inertia,powerless,0.521705,0.369679,True,3
comitatus_bond,powerless,0.434754,0.151288,True,3
commercial_data_brokerage,powerless,0.815164,0.051980,True,3
communal_narcissism_social_trap,powerless,0.847770,0.324701,False,0
complexity_debt,powerless,0.912984,0.000818,False,3
compounding_logic,powerless,0.543443,0.000655,False,3
condiment_tyranny,powerless,0.489098,0.073798,True,3
confidential_ai_whatsapp,powerless,0.521705,0.110181,True,3
confirmation_bias,powerless,0.521705,0.337902,True,3
consensus_without_truth,powerless,0.956459,0.007268,False,3
constitutional_consecration,powerless,0.652131,0.528849,True,5
constitutional_supremacy,powerless,0.576049,0.483196,True,5
constraint_borsuk_ulam,powerless,0.054344,0.000000,False,0
constraint_ftc,powerless,0.163033,0.000000,False,0
constraint_galois_solvability,powerless,0.227100,0.000000,False,0
constraint_interaction_explosion,powerless,0.880377,0.000699,False,3
constraint_lagrange_multipliers,powerless,0.380410,0.021816,False,3
constraint_lorenz_sensitivity,powerless,0.163033,0.000000,False,0
constraint_nonstandard_arithmetic,powerless,0.163033,0.000000,False,0
constraint_pythagorean,powerless,0.054344,0.000000,False,0
constraint_riemann_mapping,powerless,0.380410,0.016576,False,3
constraint_sylow,powerless,0.108689,0.000000,False,0
constraint_tarski_undefinability,powerless,0.056775,0.000000,False,0
constraint_twin_prime_conjecture,powerless,0.170325,0.000000,False,0
constraint_yoneda,powerless,0.434754,0.002030,False,3
consumer_debt_slavery,powerless,0.782557,0.023393,False,3
container_capacity_mismatch,powerless,0.923852,0.290391,True,3
continuum_hypothesis_undecidability,powerless,0.021738,0.000000,False,0
conversational_dogmas_interruption,powerless,0.597787,0.108328,True,5
conways_game_of_life_dynamics,powerless,0.056775,0.000000,False,0
coordination_attack_vulnerability,powerless,0.923852,0.354318,False,0
coordination_fatigue,powerless,0.847770,0.144133,True,3
coordination_threshold_failure,powerless,0.847770,0.025390,False,3
copyleft_viral_licensing,powerless,0.054344,0.016060,False,0
copyright_protection,powerless,0.434754,0.002183,False,3
corporate_social_responsibility_theater,powerless,0.597787,0.272417,False,0
cosmological_evolution_alpha_omega,powerless,0.010869,0.000000,False,0
cost_of_observation,powerless,0.923852,0.061047,True,3
countable_infinity_cardinality,powerless,0.056775,0.000000,False,0
couples_residency_match,powerless,0.543443,0.405678,True,5
cow_field_poop,powerless,0.434754,0.002030,False,3
creative_commons_licensing,powerless,0.434754,0.000989,False,3
credentialism_national_security,powerless,0.565180,0.498099,True,5
credibility_inflation,powerless,0.891246,0.345434,True,3
crisis_signal_saturation,powerless,0.967328,0.371403,False,0
crispr_genomic_rewrite_2026,powerless,0.434754,0.002437,False,3
critical_actor_overcentralization,powerless,0.956459,0.355340,True,3
crop_defense_dependency,powerless,0.652131,0.450264,True,5
cross_domain_coupling_spiral,powerless,0.956459,0.364401,True,3
cs_ecmo_bridge,powerless,0.597787,0.000110,False,3
cuba_mandatrophic_collapse,powerless,0.494000,0.985474,True,5
cuban_missile_crisis_excomm_deliberation,powerless,0.217377,0.089335,True,3
cultural_homogenization_social_media,powerless,0.597787,0.386878,True,5
cultural_memory_decay,powerless,0.880377,0.085906,True,3
cultural_refragmentation_2026,powerless,0.782557,0.174405,True,3
cumbria_mine_rejection,powerless,0.706475,0.220826,True,3
cuny_light_2026,powerless,0.055718,0.006358,False,0
currys_paradox,powerless,0.217377,0.150473,True,4
cz_plea_agreement_2026,powerless,0.923852,0.002270,False,3
damped_harmonics,powerless,0.271721,0.035083,False,4
dark_patterns_manipulation,powerless,0.923852,0.008713,False,3
data_laundering_pipeline,powerless,0.934721,0.296294,True,3
data_privacy_regulation,powerless,0.597787,0.335025,True,5
data_replication_paradox,powerless,0.521705,0.191989,True,3
dead_sea_effect,powerless,0.543443,0.033221,False,3
debt_service_squeeze,powerless,0.739082,0.209233,True,3
debt_trap_microfinance,powerless,0.597787,0.386878,True,5
decentralized_infrastructure_rope,powerless,0.086951,0.017984,False,0
decision_latency_mismatch,powerless,0.739082,0.065464,True,3
deep_earth_hydrogen_availability,powerless,0.163033,0.000000,False,0
deferential_realism_framework,powerless,0.217377,0.032700,False,3
deferred_risk_realization,powerless,0.891246,0.042870,False,3
delayed_feedback_instability,powerless,0.869508,0.013895,False,3
delta_force_selection_2026,powerless,0.999934,0.175879,True,3
demand_response_cost_shift,powerless,0.521705,0.268908,True,3
demographic_inertia_trap,powerless,0.847770,0.009314,False,3
denmark_asylum_outsourcing,powerless,0.815164,0.022031,False,3
devotional_transformation,powerless,0.489098,0.002587,False,3
dexy_gold_protocol,powerless,0.217377,0.090179,True,3
digital_credentialing_verification,powerless,0.338000,0.747407,True,5
digital_euro_cbdc,powerless,0.597787,0.461340,True,5
digital_identity_tether,powerless,0.630393,0.587956,True,5
dionysiac_frenzy,powerless,0.416000,0.959259,True,5
discover_core_2026,powerless,0.630393,0.513268,True,5
disney_openai_ip_exclusivity,powerless,0.597787,0.427443,True,5
djia_as_economic_barometer,powerless,0.521705,0.452861,True,3
dk_foreign_convict_expulsion,powerless,0.815164,0.038144,False,3
dk_us_alliance_espionage,powerless,0.286000,0.478680,True,6
dldr_information_policy,powerless,0.217377,0.097183,True,3
dn_paywall,powerless,0.565180,0.365723,True,5
doomsday_clock_framework,powerless,0.597787,0.490994,True,5
drc_rwanda_peace_deal_2024,powerless,0.597787,0.340814,True,5
dsa_transparency_requirements,powerless,0.597787,0.511948,True,5
dunbars_number,powerless,0.055718,0.000000,False,0
dunning_kruger_effect,powerless,0.597787,0.435495,True,5
dutch_minority_govt_2026,powerless,0.521705,0.138314,True,3
dwp_carers_allowance_cliff,powerless,0.923852,0.008713,False,3
e2ee_digital_privacy_2026,powerless,0.054344,0.000000,False,0
ec_meta_manus_block,powerless,0.597787,0.537949,True,5
edelman_2026_developed_stagnation,powerless,0.630393,0.232294,True,5
edelman_2026_developing_volatility,powerless,0.565180,0.004563,False,3
edelman_2026_insularity,powerless,0.597787,0.362590,True,5
education_unbundling_implementation,powerless,0.434754,0.004753,False,3
ehrenfest_barrier,powerless,0.056775,0.000000,False,0
electrification_scale_2026,powerless,0.163033,0.126987,True,3
elencher_identity_transformation,powerless,0.108689,0.000000,False,0
elite_capture_2026,powerless,0.847770,0.324207,False,0
elite_identity_capture_2026,powerless,0.847770,0.324200,True,3
elite_overproduction_instability,powerless,0.630393,0.484959,True,5
elliq_ai_companion,powerless,0.597787,0.340814,True,5
em_clinical_guidelines,powerless,0.652131,0.023103,False,3
emergency_bridge_scaffold,powerless,0.532574,0.388380,True,5
emergency_mode_lock_in,powerless,0.989065,0.380866,True,3
emergency_oversight_bureau,powerless,0.304328,0.031329,False,0
emergency_powers_ratchet,powerless,0.912984,0.006190,False,3
emergent_goal_misalignment,powerless,0.923852,0.066281,True,3
emotional_cycles_2026,powerless,0.597787,0.138297,True,3
empty_tomb_transformation,powerless,0.434754,0.002194,False,3
endocrine_disruption_society,powerless,0.923852,0.002801,False,3
endowment_effect,powerless,0.163033,0.010496,False,4
english_chinese_tense_structure,powerless,0.056775,0.000000,False,0
epigenetics_complexity_2026,powerless,0.108689,0.000000,False,0
epistemic_free_rider_problem,powerless,0.945590,0.308444,True,3
epistemic_overload_collapse,powerless,0.967328,0.369908,True,3
epistemic_process_of_verification,powerless,0.380410,0.029078,False,3
epstein_document_release_2026,powerless,0.652131,0.491757,True,4
epstein_espionage_2026,powerless,0.739082,0.134463,False,0
epstein_files_2026,powerless,0.706475,0.083910,False,0
epstein_honeytrap,powerless,0.999934,0.340173,False,0
erasmus_rejoining_scaffold,powerless,0.304328,0.041386,False,0
ergo_autolykos_asic_resistance,powerless,0.217377,0.000000,False,0
ergo_lets_protocol,powerless,0.163033,0.008278,False,0
ergo_mixer_protocol,powerless,0.521705,0.249090,True,3
ergo_nipopows,powerless,0.111436,0.003994,False,4
ergo_storage_rent,powerless,0.597787,0.000170,False,3
ergo_storage_rent_mechanism,powerless,0.163033,0.000000,False,0
ergodic_theorems,powerless,0.380410,0.009962,False,3
ergot_grain_poisoning,powerless,0.869508,0.000878,False,3
erised_expectation,powerless,0.706475,0.067176,True,3
eu_affordable_housing_initiative,powerless,0.521705,0.120869,True,3
eu_asylum_outsourcing_framework,powerless,0.815164,0.047917,False,3
eu_deforestation_regulation,powerless,0.521705,0.235250,True,3
eu_digital_services_act,powerless,0.597787,0.429065,True,5
eu_ev_tariff_wall,powerless,0.597787,0.427443,True,5
eu_irgc_terrorist_designation,powerless,0.652131,0.518348,True,5
eu_mercosur_trade_agreement,powerless,0.249600,0.112591,True,5
eu_renewable_energy_mandate,powerless,0.521705,0.334048,True,3
eu_russian_asset_freeze_2025,powerless,0.923852,0.008713,False,3
eu_unanimity_rule_foreign_policy,powerless,0.597787,0.429065,True,5
euler_characteristic_topology,powerless,0.022710,0.000000,False,0
eurozone_fragmentation_2026,powerless,0.521705,0.720297,True,3
event_fragmentation,powerless,0.170325,0.000000,False,0
evfta_trade_agreement,powerless,0.521705,0.110181,True,3
evidence_half_life,powerless,0.923852,0.276265,True,3
evolutionary_knowledge,powerless,0.597787,0.384718,True,5
evolutionary_mismatch_load,powerless,0.902115,0.005422,False,3
exoplanetary_habitability_arbitrage,powerless,0.489098,0.420035,True,3
expert_disempowerment,powerless,0.804295,0.238548,True,3
exploration_vs_exploitation,powerless,0.597787,0.203288,True,5
extraordinary_narrative_shift,powerless,0.434754,0.001922,False,3
faa_boeing_regulatory_capture,powerless,0.434754,0.019888,False,3
factional_instability,powerless,0.760820,0.000349,False,3
faint_blue_neural_bifurcation,powerless,0.978197,0.001591,False,3
fair_use_doctrine,powerless,0.108689,0.052349,False,0
family_estrangement_ratio,powerless,0.869508,0.000878,False,3
family_succession_system,powerless,0.869508,0.021622,False,3
fast_growing_hierarchy,powerless,0.056775,0.000000,False,0
fatf_grey_list_russia,powerless,0.706475,0.323712,True,3
fb_creator_monetization_indonesia,powerless,0.739082,0.129372,True,3
fcc_dji_covered_list,powerless,0.565180,0.378976,True,5
fda_accelerated_approval_alz,powerless,0.521705,0.110181,True,3
fda_component_efficacy_standard,powerless,0.597787,0.427443,True,5
fda_gonorrhea_efficacy_standard,powerless,0.521705,0.377856,True,3
fed_shutdown_2026,powerless,0.630393,0.133081,True,5
feedback_loop_desynchronization,powerless,0.782557,0.053041,True,3
feigenbaum_universality,powerless,0.056775,0.000000,False,0
fermat_proof_barrier,powerless,0.227100,0.000000,False,0
fgh_hierarchy_2026,powerless,0.011355,0.000000,False,0
fiat_currency_lifecycle,powerless,1.032541,0.217402,True,3
fiber_optic_chip_tech,powerless,0.597787,0.203288,True,5
financial_drag,powerless,0.912984,0.208313,True,3
fine_particle_policy,powerless,0.597787,0.335025,True,5
finite_pool_of_worry,powerless,0.815164,0.028717,False,3
finite_simple_group_classification,powerless,0.056775,0.000000,False,0
finnish_debt_adjustment,powerless,0.739082,0.212135,True,3
finnish_ubi_experiment,powerless,0.217377,0.026752,False,0
fiscal_dominance_trap,powerless,0.945590,0.330652,False,0
fiscal_equalization_friction,powerless,0.347803,0.390271,False,0
fitts_law_industrial_application,powerless,0.652131,0.375972,True,5
floating_wall_2026,powerless,0.706475,0.291887,True,3
fmeca_procedures_1980,powerless,0.434754,0.002174,False,3
fmt_oncology_2026,powerless,0.195639,0.056477,False,0
fnl_shadow_probe,powerless,0.326066,0.006143,False,4
fossil_fuel_lock_in,powerless,0.163033,0.000000,False,0
four_color_theorem_topological_bound,powerless,0.022710,0.000000,False,0
fptp_electoral_system,powerless,0.815164,0.037532,False,3
fragile_middle_layer_collapse,powerless,0.934721,0.319924,True,3
framing_effect,powerless,0.597787,0.013540,False,3
france_2027_presidential_election,powerless,0.521705,0.000493,False,3
france_cordon_sanitaire_2026,powerless,0.456492,0.158281,False,0
france_local_elections_march_2026,powerless,0.380410,0.015729,False,3
franchisee_corporate_squeeze,powerless,0.521705,0.091338,True,3
frankenstein_creation_hubris,powerless,0.978197,0.003411,False,3
fraser_river_salmon_regulation,powerless,0.597787,0.472789,True,5
french_ag_land_concentration,powerless,0.597787,0.559792,True,5
frontex_pushback_coordination,powerless,0.739082,0.023038,False,3
fundamental_material_limits_nbre,powerless,0.054344,0.000000,False,0
fundamental_theorem_of_algebra,powerless,0.011355,0.000000,False,0
fungal_shift_grassland_loss,powerless,0.086951,0.000000,False,0
fused_quartz_5d_archival,powerless,0.510836,0.060594,True,3
future_dsm_integration,powerless,0.597787,0.472789,True,5
g7_debt_trap,powerless,0.597787,0.386878,True,5
gale_shapley,powerless,0.869508,0.012848,False,3
galois_theory_symmetry,powerless,0.217377,0.014100,False,4
gamblers_ruin_stochastic_extinction,powerless,0.978197,0.016692,False,3
gauss_bonnet_topology,powerless,0.113550,0.000000,False,0
gaza_aid_permit_revocation,powerless,0.442000,0.973720,True,5
gaza_border_control_rafah,powerless,0.597787,0.558225,True,5
gbff_funding_mechanism,powerless,0.521705,0.202556,True,3
gemini_scientific_advancement,powerless,0.380410,0.021816,False,3
genai_mil_platform,powerless,0.521705,0.439805,True,3
gender_performance_cost,powerless,0.630393,0.117504,True,5
generational_replacement_inertia,powerless,0.815164,0.042490,False,3
genetic_algorithms_evolution,powerless,0.108689,0.005293,False,4
genetic_predisposition,powerless,0.652131,0.019532,False,3
genetic_predisposition_mania,powerless,0.056775,0.000000,False,0
genie_ip_constraint,powerless,0.652131,0.090279,True,3
geocentric_cosmology,powerless,0.597787,0.427443,True,5
geophysics_superionic_core,powerless,0.056775,0.000000,False,0
geopolitical_insularity_2026,powerless,0.652131,0.326708,True,5
german_board_gender_quota,powerless,0.434754,0.175652,True,3
germany_tennet_takeover,powerless,0.380410,0.012763,False,3
germline_regulation_threshold_2026,powerless,0.543443,0.391925,True,5
ghost_fishing_gear,powerless,0.815164,0.049097,False,3
gig_economy_algorithmic_management,powerless,0.869508,0.000878,False,3
gilgamesh_mortality_limit,powerless,1.086885,0.006727,False,3
gita_kurukshetra,powerless,0.217377,0.181710,True,3
glen_canyon_water_allocation,powerless,0.597787,0.340814,True,5
global_digital_divide,powerless,0.597787,0.386878,True,5
global_economic_anxiety_2026,powerless,0.739082,0.054957,False,0
global_food_market_fragility,powerless,0.597787,0.386878,True,5
global_hoarding_scaling_laws,powerless,0.923852,0.001067,False,3
global_protocol_entrenchment,powerless,0.869508,0.023407,False,3
global_stimulus_spree,powerless,0.673869,0.007081,False,3
global_trade_externalities_neobiota,powerless,0.597787,0.440484,True,5
global_water_bankruptcy,powerless,0.923852,0.046616,False,3
glp1_payload_efficiency_pivot,powerless,0.380410,0.645145,True,3
goal_boundary_poisoning,powerless,0.934721,0.348682,True,3
goedels_incompleteness_theorems,powerless,0.227100,0.000000,False,0
gold_fomo_cycle,powerless,0.706475,0.252906,True,3
gold_piton_2026,powerless,0.217377,0.717713,False,0
goldbach_conjecture,powerless,0.090840,0.000000,False,0
