file	line	raw_text_as_found	quoted_context	namespace	mechanism_slug	confidence
ISSUES.md	11492	Pattern 3	claimant vacated there is now exactly **one** claimant at index 3, so "Pattern 3" arguably resolves	oq278-subject		n/a
ISSUES.md	11494	Pattern 3	left un-acted: a bare `Pattern 3` citation dated before 2026-08-11 is still ambiguous as to which	oq278-subject		n/a
ISSUES.md	11496	Pattern 3	operator: *does "Pattern 3" now name bound-probe, or does index 3 read as vacant in both documents?*	oq278-subject		n/a
ISSUES.md	11508	P3	| **P3** | **Destructive-replace without proof (the faith merge)** | **Bound-probe bypasses clause-order (`build_discipline.md:486`)** |	oq278-subject		n/a
ISSUES.md	11509	P4	| **P4** | **Recap-as-witness substitution** | **Fabricated default (`build_discipline.md:571`)** |	oq278-subject		n/a
ISSUES.md	11532	P3	vocabulary: matches-BD-P3 / matches-BD-P4 / neither. It owes everything a coding pass owes:	oq278-subject		n/a
ISSUES.md	11541	P3	orphaned P3/P4 is independent evidence the orphans are real** — a corpus with no stake in our	oq278-subject		n/a
ISSUES.md	11549	P3	first-pass-UNSTABLE items where any redraw returned "other" (the churning-between-other-and-P3	oq278-subject		n/a
ISSUES.md	11572	P3	resolution options below are restated on that basis. Note also §2.5's finding: the published P3	oq278-subject		n/a
ISSUES.md	11584	Pattern 4	> **(Pattern 4)** that made a failed computation indistinguishable from a flat result at every read	oq278-subject		n/a
ISSUES.md	11587	Pattern 4	`build_discipline.md`'s Pattern 4 **is** *fabricated default*. `CLAUDE.md`'s published P4 is	oq278-subject		n/a
ISSUES.md	11596	P3	| 1 | the two specifications disagree (2026-08-10, this entry's origin) | P3, P4 | the collision exists |	oq278-subject		n/a
ISSUES.md	11598	Pattern 4	| 3 | `FINDINGS.md:23` "fabricated default (Pattern 4)" | P4 — **disjoint** | an incident record carries a label that is **wrong under the published set** |	oq278-subject		n/a
ISSUES.md	11602	Pattern 3	to "Pattern 3" or "Pattern 4" anywhere in this repository is AMBIGUOUS until dated against the	oq278-subject		n/a
ISSUES.md	11609	Pattern 4	`fabricated default` and `success-shaped zero` but **OMITS the bare `(Pattern 4)` index**, with the	oq278-subject		n/a
ISSUES.md	11617	P4	the collision (the extractor hit it while writing a P4 unit and reported it unprompted; re-checked	oq278-subject		n/a
ISSUES.md	11620	P3	**CLAUDE.md's published P3 and P4 have no worked section in `build_discipline.md` at all**, while	oq278-subject		n/a
ISSUES.md	11625	Pattern 3	| P3 | destructive-replace / the faith merge | **NO — and 0 occurrences of the term anywhere in the file** | `## Pattern 3 — Bound-probe bypasses clause-order` (:486) |	oq278-subject		n/a
ISSUES.md	11626	Pattern 4	| P4 | recap-as-witness substitution | **NO worked section**; 4 prose mentions, none a heading | `## Pattern 4: Fabricated default` (:571) |	oq278-subject		n/a
ISSUES.md	11629	Pattern 3	it returns `## Pattern 3` and `## Pattern 4` from the same file — so "no heading" is a measurement,	oq278-subject		n/a
ISSUES.md	11631	P3	file. The published P3's **0** is therefore a genuine total absence, not an unworked mention.	oq278-subject		n/a
ISSUES.md	11633	P3	**What this changes.** §2.5 recorded that the published P3 has no dated record of *firing*. This is	oq278-subject		n/a
ISSUES.md	11635	P4	published-only members are not symmetric — P4 has an incident named in `CLAUDE.md` and no mechanism	oq278-subject		n/a
ISSUES.md	11636	P3	text; **P3 has neither.** So of the six published patterns, one is a name and an index with no	oq278-subject		n/a
ISSUES.md	11639	P3	**And it answers a question that had been open since the (iii′) P3 row was written.** That row's	oq278-subject		n/a
ISSUES.md	11641	P3	sampling: **the published P3 has no mechanism text to extract an exemplar from.** Not "nobody got	oq278-subject		n/a
ISSUES.md	11647	P3	members are specified, and one of them is not** — the published P3 has no mechanism document, so	oq278-subject		n/a
ISSUES.md	11650	P3	before any renumbering: **is the published P3 a pattern at all, or a name that acquired an index?**	oq278-subject		n/a
ISSUES.md	11657	Pattern 4	or keep both sets but give every index a namespace so a bare "Pattern 4" cannot be written. Either	oq278-subject		n/a
ISSUES.md	11662	Pattern 3	patterns" must name WHICH six, and any citing a bare `Pattern 3`/`Pattern 4` must be treated as	oq278-subject		n/a
ISSUES.md	11692	Pattern 3	namespaced on sight — `CM-P3`/`BD-P3`, `CM-P4`/`BD-P4`; a bare `Pattern 3`/`Pattern 4`/`P3`/`P4`	oq278-subject		n/a
ISSUES.md	11695	P4	a gate forbidding bare `Pattern N` is not buildable (see 3). The digest form (`BD-P4@<digest>`,	oq278-subject		n/a
ISSUES.md	11701	P3	- **The namespace is SIX-way overloaded, not four.** Added: `CWC:P3` (concealment claim rows,	oq278-subject		n/a
ISSUES.md	11702	Pattern 3	guarded by `claim_cite_check.py`) and `"candidate_pattern": "… (Pattern 3)"` (the DR engine's	oq278-subject		n/a
ISSUES.md	11779	P3	**THE `P3 = 0` EVIDENCE IS STRUCK — the bullet asserting it was FALSE.** It read "zero measured	oq278-subject		n/a
ISSUES.md	11826	P3	**P3 FAILURE-SHAPE SWEEP EXECUTED (2026-08-11, `d0c3c5fb`) — the search the disposition ruling	oq278-subject		n/a
ISSUES.md	11845	P3	with the complication that P3's authoring cites no incident. The sweep deliberately declines to	oq278-subject		n/a
ISSUES.md	11847	P3	gather evidence for. **One datum that bears on the ruling:** P3's text, at authoring and today,	oq278-subject		n/a
ISSUES.md	11850	P3	no witness vocabulary, justifies its single difference (which P3's text permits) but pastes no	oq278-subject		n/a
ISSUES.md	11851	P3	old-vs-new output (which P3's own "the diff is proof" clause asks for) — classified prevention	oq278-subject		n/a
ISSUES.md	11938	P4	**Why this is P4-adjacent (a described procedure standing in for an unperformed one).** §2.3	other-unclassified		n/a
ISSUES.md	12797	P4	OQ-278's P4 index ruling before its section III is authored. Pre-registered acceptance condition,	other-unclassified		n/a
ISSUES.md	12920	P3	**The claim under test** (`concealment_without_a_concealer_v0_4.md` P3/Prediction 4; the same result	other-unclassified		n/a
ISSUES.md	12953	P3	are *not* concentrated in the instruments, P3/Prediction 4 is falsified and the second arm is	other-unclassified		n/a
ISSUES.md	13222	P3	will collect `CWC:P3`, `diagnostic_summary.pl`'s conflict catalog, and essay enumerations. Use	cwc-claim-row		n/a
ISSUES.md	13456	P3	cuts (BD-P3), so it admitted constraints the engine actually assigns **`false_natural_law`** —	other-unclassified		n/a
ISSUES.md	13554	P3	**Cross-refs:** OQ-296 (the consumer surface), OQ-278 (why the rule did not route), BD-P3.	other-unclassified		n/a
ISSUES.md	13567	P3	re-discovery of BD-P3.	taxonomy-candidate		inferred
ISSUES.md	13573	P3	condition that fails. Witnessed: BD-P3 was written 2026-05-30 with the exact query form as its	other-unclassified		n/a
ISSUES.md	13581	Pattern 3	a query with a bound selector — …"* rather than *"Pattern 3 — Bound-probe bypasses	taxonomy-candidate	bound-probe	recovered
ISSUES.md	13588	P4	(safe now), or sequence the whole job behind OQ-278's P4 ruling. **That choice is the ruling	other-unclassified		n/a
ISSUES.md	13602	P4	P4) becomes the cheaper ruling despite being slower. **The boundary line is the whole cost	taxonomy-candidate		inferred
ISSUES.md	13628	P4	more of these as P4 resolves**, which is why this is filed as a class rather than repaired as	other-unclassified		n/a
ISSUES.md	13629	P3	an instance (the instance was repaired 2026-08-17 by promoting BD-P3 as a named unnumbered	other-unclassified		n/a
ISSUES.md	13653	Pattern 3	`build_discipline.md` → \*Pattern 3\*"*. A correct checker reports it as taught.	taxonomy-candidate	bound-probe	recovered
KNOWN_STATE.md	163	Pattern 3	(coverage review below: this tripwire is a RE-DISCOVERY of `build_discipline.md` Pattern 3, dated	taxonomy-candidate		inferred
KNOWN_STATE.md	200	Pattern 3	- `build_discipline.md:601` **Pattern 3 — Bound-probe bypasses clause-order**, dated **2026-05-30**,	taxonomy-candidate	bound-probe	recovered
KNOWN_STATE.md	211	P3	instance made it. **Repair landed:** BD-P3 promoted into CLAUDE.md as a **NAMED, explicitly	taxonomy-candidate	bound-probe	recovered
KNOWN_STATE.md	212	P4	unnumbered** rule — sidesteps the OQ-278 freeze (a named rule needs no migration whatever P4 is	other-unclassified		n/a
KNOWN_STATE.md	214	P3	that BD-P3 itself does not state. Evidence filed on OQ-278: **vacate-and-leave-empty is not	other-unclassified		n/a
KNOWN_STATE.md	224	P3	**TRIPWIRE 6 — BD-P3 is now a GATE ROW (`bound selector`), and it found 5 live call sites the	other-unclassified		n/a
KNOWN_STATE.md	414	Pattern 3	## 2026-08-14 — [tripwire] Pattern indices are NAMESPACED (`CM-P4`/`BD-P4`) until OQ-278 rules; a bare `Pattern 3`/`P4` is UNRESOLVED, and canonicity is now gate-checked	taxonomy-candidate		inferred
KNOWN_STATE.md	418	Pattern 4	**The silent mistake this prevents:** writing `Pattern 4` in a new document, or reading one in	taxonomy-candidate	fabricated-default|recap-as-witness	unrecoverable
KNOWN_STATE.md	420	P4	publish the same numbered defect taxonomy and **disagree at indices 3 and 4** — `CM-P4` is	taxonomy-candidate	fabricated-default|recap-as-witness	unrecoverable
KNOWN_STATE.md	421	P4	*recap-as-witness*, `BD-P4` is *fabricated default*. Both documents read as a complete, coherent	taxonomy-candidate	fabricated-default|recap-as-witness	unrecoverable
KNOWN_STATE.md	422	P4	six. Write `CM-P4` / `BD-P4`; treat a bare index found in the record as UNRESOLVED, not	taxonomy-candidate	fabricated-default	recovered
KNOWN_STATE.md	444	P3	**mechanism** (55 of 66). `Pattern N`/`PN` is **six-way** overloaded, not four — added `CWC:P3`	cwc-claim-row		n/a
KNOWN_STATE.md	481	P3	**TRIPWIRE — THE `P3 = 0` FIGURE IS INADMISSIBLE AND I CITED IT ANYWAY.** The frozen OQ-277 prereg	taxonomy-candidate	bound-probe	recovered
KNOWN_STATE.md	482	P3	states, four lines below the figure, that P3's entry is **`no members — uncalibrated`**, that	other-unclassified		n/a
KNOWN_STATE.md	515	P3	numbers 2.1–2.7 are deliberately empty and must never be reused** (P3's precedent: a visible gap	other-unclassified		n/a
KNOWN_STATE.md	920	P3	## 2026-08-12 — [tripwire] P3 VACATED from the defect taxonomy (index 3 empty, never reused) — the ruling lived only in the paper for a day while CLAUDE.md published the old six; OQ-286/287/288 minted	taxonomy-candidate		inferred
KNOWN_STATE.md	930	P4	renumber index 3** — every dated audit citing P4/P5/P6 would become ambiguous against its own	taxonomy-candidate		inferred
KNOWN_STATE.md	943	P3	on publishing six patterns with P3 as a defect shape. Two documents, one taxonomy, no queryable fact	other-unclassified		n/a
KNOWN_STATE.md	950	Pattern 3	`build_discipline.md`'s Pattern 3 (*Bound-probe bypasses clause-order*, a different mechanism with	taxonomy-candidate	bound-probe	recovered
KNOWN_STATE.md	951	Pattern 3	worked text) as the sole claimant at that index — so "Pattern 3" arguably now resolves	taxonomy-candidate	bound-probe	recovered
KNOWN_STATE.md	1057	P3	## 2026-08-11 — [landed] OQ-277 live run SPENT 219 CALLS AND PERSISTED NOTHING; capture path built, two orphaned controls removed, NEW-STAMP ruling; OQ-278 P3 sweep executed; paper v0.4 assembled	taxonomy-candidate		inferred
KNOWN_STATE.md	1102	P3	**OQ-278 (`d0c3c5fb`).** P3 failure-shape sweep, branches pre-registered before the run: 19	other-unclassified		n/a
KNOWN_STATE.md	1326	P3	share P1/P2/P5/P6 but disagree on P3 and P4 (destructive-replace + recap-as-witness vs	taxonomy-candidate	bound-probe|destructive-replace|fabricated-default|recap-as-witness	unrecoverable
KNOWN_STATE.md	2781	P3	emotives.md:7) → **OQ-230** (P3); (4) REROUTED "showing-face field unauthored": the	other-unclassified		n/a
KNOWN_STATE.md	2959	P3	rows 2/7/8 RULED reader-held; 3/4 UNSPECIFIABLE (P3 confirmed); 5 PROPOSED; 6/9/10	taxonomy-candidate	fabricated-default	recovered
KNOWN_STATE.md	4966	Pattern 3	(Pattern 3): full suite before/after byte-identical on substantive lines (5 [INTENT] lines); GAP-08	taxonomy-candidate	destructive-replace	recovered
KNOWN_STATE.md	5684	P3	removed, grep 0; serial escape hatch kept). Witness ladder P0/W1/W2/P3/P4 in commits `0f61517c`,	other-unclassified		n/a
KNOWN_STATE.md	6142	Pattern 3	Pattern 3 → `build_discipline.md` + `signature_detection_wiring.md`; OQ-43 satisfy-on-absence →	taxonomy-candidate	bound-probe	recovered
agent/analysis/essays/disagreement_as_epistemic_resource.md	91	Pattern 3	### Pattern 3: The Solidarity-Mirror Trap	analysis-enumeration		n/a
agent/analysis/essays/disagreement_as_epistemic_resource.md	230	Pattern 3	- Purity gradient: Pattern 1 (high confidence, pristine purity 0.976) → Pattern 2 (moderate confidence, pristine purity 0.936) → Pattern 3 (boundary case, contaminated purity 0.615, perspectival fract	analysis-enumeration		n/a
agent/analysis/essays/germline_genome_modification_ethics_2018.md	682	Pattern 3	**Pattern 3: Coordinated Drift Toward Extraction**	analysis-enumeration		n/a
agent/analysis/essays/germline_genome_modification_ethics_2018.md	686	Pattern 4	**Pattern 4: Perspectival Fracture at Maximum Complexity**	analysis-enumeration		n/a
agent/analysis/essays/recursive_self_improvement_2026.md	229	Pattern 3	**Pattern 3: Perspectival Fracture (H¹ ≥ 4)**	analysis-enumeration		n/a
agent/analysis/essays/recursive_self_improvement_2026.md	238	Pattern 4	**Pattern 4: Enriched Omega Gap Pattern (snare_masked_as_rope)**	analysis-enumeration		n/a
agent/analysis/originals/efficient_base_editing_in_human_embryos.md	204	P3	All cells were cultured as described in the previous section. Before nucleofection, hESCs cells were dissociated with TrypLE Express (Thermo Fisher Scientific; Cat no. 12605010), pipetted to fragment 	analysis-enumeration		n/a
agent/analysis/originals/ischemic_stroke_guideline_2026.md	897	P3	Medium or distal occlusion(s) of the anterior, middle, or posterior cerebral arteries cause 25% to 40% of AIS.36 These lesions may cause disability but are more likely to recanalize spontaneously or w	analysis-enumeration		n/a
agent/analysis/originals/ischemic_stroke_guideline_2026.md	941	P3	The ESCAPE-MeVO and DISTAL trials examined the benefit of endovascular therapy in patients with medium or distal branch occlusions. ESCAPE-MeVO included patients up to 12 hours from last known well, w	analysis-enumeration		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/bitcoin_whitepaper_decentralization.manifest.json	177	Pattern 3	"candidate_pattern": "Licensed Plurality (Pattern 3)",	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/deuteronomy_seven_herem.manifest.json	45	Pattern 3	"candidate_pattern": "Interpretive Elasticity (Pattern 3)—kernel remains textually fixed while interpretive layer absorbs radical shifts in applied constraint without surfacing revision",	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/english_common_law_development.manifest.json	29	Pattern 3	"candidate_pattern": "Interpretive Custody (Pattern 3) — judiciary holds interpretive monopoly over precedent application, with institutional mechanisms (distinguishing, overruling) that permit contro	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/filioque_nicene_creed.manifest.json	151	Pattern 3	"candidate_pattern": "Pattern 3: Interpretive Monopoly Capture — Western reading grants Roman see exclusive interpretive authority over creedal meaning, generating high extractiveness (beneficiary: pa	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/nuclear_power_risk.manifest.json	30	Pattern 3	"candidate_pattern": "Interpretive Flexibility (Pattern 3): regulatory layer absorbs drift through evolving safety standards without surfacing that the underlying risk-weighting kernel remains contest	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/quran_sharia_interpretation.manifest.json	45	Pattern 3	"candidate_pattern": "Interpretive Monopoly Erosion (Pattern 3: reformists challenge ulama's exclusive claim to authoritative interpretation; traditionalists deny legitimacy of reform readings but can	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/decompose/manifests/vedic_kernel_unrevisability.manifest.json	162	Pattern 4	"candidate_pattern": "Absolutist Immutability with Covert Revision (Pattern 4)",	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/flat/china_flexible_labor_2026_20260609_004331.manifest.json	31	Pattern 3	"candidate_pattern": "Selective Interpretation (Pattern 3) — the kernel (employment definition) remains textually stable, but platform companies and state regulators interpret it to exclude platform w	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/kernel_run_03/animal_rights_kernel.manifest.json	52	Pattern 3	"candidate_pattern": "Interpretive Pluralism with Suppressed Revision (Pattern 3)",	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/kernel_run_03/federation_free_movement_kernel.manifest.json	242	Pattern 3	"candidate_pattern": "Interpretive Capture (Pattern 3) - CJEU absorbs drift through expansive interpretation of worker definition and citizenship rights, while member states resist through implementat	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/kernel_run_03/mormon_polygamy_manifesto_1890.manifest.json	41	Pattern 4	"candidate_pattern": "Prophetic Override (Pattern 4: authority claims new revelation supersedes prior revelation, but doctrine-practice gap indicates incomplete drift absorption)",	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/kernel_run_03/rabbinic_temple_sacrifice_preservation.manifest.json	39	Pattern 3	"candidate_pattern": "Interpretive Absorption (Pattern 3)",	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/pilot_s1_neutral/classical_latin_humanist_revival.manifest.json	166	Pattern 3	"candidate_pattern": "Interpretive Capture (Pattern 3) - humanists claim interpretive authority over the kernel by redefining correctness criterion from practice to textual fidelity, absorbing drift (	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/pilot_s1_neutral/modern_hebrew_revival.manifest.json	175	Pattern 3	"candidate_pattern": "Interpretive Enclosure (Pattern 3) — the kernel ('living language') was stabilized but its interpretation was controlled by different authorities across eras, with the native-dai	decompose-manifest-candidate		n/a
agent/decompose_manifests/archive_pre_2026-07-25/kernel_manifests/run_01/second_amendment_reading.manifest.json	39	Pattern 3	"candidate_pattern": "Interpretive Monopoly (Pattern 3)",	decompose-manifest-candidate		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/audit_output.md	186	Pattern 3	claim: "Purity gradient: Pattern 1 (0.976) → Pattern 2 (0.936) → Pattern 3 (0.615)"	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/audit_output.md	188	Pattern 3	finding: VERIFIED—Pattern 1 uses definitive language ("documented," "demonstrated"), Pattern 2 uses moderate language ("suggests," "indicates"), Pattern 3 explicitly notes "perspectival fracture" and 	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/audit_output.md	190	Pattern 3	claim: "Pattern 3 exhibits extraction_accumulation drift"	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/editing_output.md	112	Pattern 3	### Pattern 3: The Solidarity-Mirror Trap	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/editing_output.md	251	Pattern 3	- Purity gradient: Pattern 1 (high confidence, pristine purity 0.976) → Pattern 2 (moderate confidence, pristine purity 0.936) → Pattern 3 (boundary case, contaminated purity 0.615, perspectival fract	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	40	Pattern 3	2. Social/career cost of dissenting from consensus (Pattern 3)	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	42	Pattern 3	These are different mechanisms with different interventions. Pattern 1 suggests cognitive architecture constraints; Pattern 3 suggests institutional power dynamics. The essay conflates them under "cog	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	44	Pattern 3	`⚖️` **[MCI:0.64→Check]** The "solidarity-mirror trap" (Pattern 3) exhibits what the essay calls "perspectival fracture"—appearing as coordination from inside, extraction from outside. This structural	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	109	Pattern 3	- Pattern 3: "contaminated purity 0.615"	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	133	Pattern 3	2. **Definitional drift:** "Cognitive cost" shifts meaning between metabolic cost (Pattern 1) and social cost (Pattern 3) without acknowledgment. These require different interventions but get conflate	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	139	Pattern 3	5. **Perspectival fracture unresolved:** Pattern 3 acknowledges that solidarity-mirror trap appears as coordination from inside, extraction from outside. But essay doesn't provide criteria for determi	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	161	Pattern 3	5. **Resolve perspectival fracture:** Pattern 3's simultaneous-coordination-and-extraction claim needs resolution. Either provide criteria for determining which view is correct, or acknowledge both ma	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/grounding_output.md	178	Pattern 3	extras: Detected self-validation in metadata section. DR scaffolding claims cannot be verified externally. Sampling bias may make framework unfalsifiable. Perspectival fracture (Pattern 3) unresolved.	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/revised_essay.md	94	Pattern 3	### Pattern 3: The Solidarity-Mirror Trap	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/source_essay.md	91	Pattern 3	### Pattern 3: The Solidarity-Mirror Trap	analysis-enumeration		n/a
agent/narrative_transform/uke/disagreement_as_epistemic_resource_1773026374/source_essay.md	230	Pattern 3	- Purity gradient: Pattern 1 (high confidence, pristine purity 0.976) → Pattern 2 (moderate confidence, pristine purity 0.936) → Pattern 3 (boundary case, contaminated purity 0.615, perspectival fract	analysis-enumeration		n/a
agent/narrative_transform/uke/zionism_structural_analysis_2026_1774506513/audit_output.md	207	Pattern 3	**Pattern 3: Confidence gradient implementation**	analysis-enumeration		n/a
audits/2025-05-15_recon_2/recon_2_inventory.md	68	P4	### 1b. Pattern Flags (P1–P4)	analysis-enumeration		n/a
audits/2025-05-15_recon_2/recon_2_inventory.md	70	P3	| File | P1: assertz/retract | P1: calls classify_from_metrics | P2: produces type | P3: contamination | P4: dr_type cascade |	analysis-enumeration		n/a
audits/2025-05-15_recon_2/recon_2_patterns.md	97	Pattern 3	## Pattern 3: Network Contamination One-Hop	analysis-enumeration		n/a
audits/2025-05-15_recon_2/recon_2_patterns.md	139	Pattern 4	## Pattern 4: Priority Ordering in `dr_type/3`	analysis-enumeration		n/a
audits/2026-02-25_spectral_laplacian/phase1_laplacian.py	22	P4	"""Build the 4x4 sheaf Laplacian L0 = delta0^T @ delta0 on path graph P4.	other-unclassified		n/a
audits/2026-05-02_trifurcation_mapping/trifurcation_mapping_audit.md	747	Pattern 3	**Pattern 3: The three-type diagnostic order in the apparatus parallels the trifurcation.**	analysis-enumeration		n/a
audits/2026-06-05_kernel_gate_replication/evidence/manifest_C-HIGH_r8.json	39	Pattern 3	"candidate_pattern": "Interpretive Capture (Pattern 3): multiple authority structures claim exclusive interpretive legitimacy over the same kernel, each absorbing drift through their own hermeneutic l	decompose-manifest-candidate		n/a
audits/2026-06-05_scope_count_distribution/evidence/manifest_T6_B.json	48	Pattern 3	"candidate_pattern": "Interpretive Capture (Pattern 3)",	decompose-manifest-candidate		n/a
audits/2026-06-07_stakeholder_layer_migration/MIGRATION_PLAN.md	158	Pattern 3	permanently). Old-vs-new output diff per Build Discipline Pattern 3 before any	taxonomy-candidate	destructive-replace	recovered
audits/2026-06-10_oq81_reading_upstream_recon/RECON.md	25	P3	- **Post-merge unified backend** has run live only on flat topics and the Zionism P3 manifest;	other-unclassified		n/a
