deffile	pi	disposition	machine_disposition	adjudicated	regex_bound	codewalk_sites	codewalk_bound	unification_bound	codewalk_unresolved_reason	bound_sites	regex_sites	witness_owed
logical_fingerprint.pl	purity_zone/2	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
logical_fingerprint.pl	structural_property_holds/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
logical_fingerprint.pl	suppression_zone/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
maxent_report.pl	entropy_interpretation/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
metric_drift_events.pl	drift_severity/3	converts-clean	converts-clean	no	0	4	0	0				template application; no six-leg run
network_dynamics.pl	ep_base_severity/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
orbit_report.pl	characterize_family/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
probe_oq197_controls.pl	status_kind/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
report_generator.pl	completeness_to_confidence/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
report_generator.pl	generate_scenario_for_omega/5	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
report_generator.pl	omega_severity/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
report_generator.pl	resolve_omega_source/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
routing_sink.pl	detector_state/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
signature_detection.pl	appears_as_rope/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
signature_detection.pl	capture_disposition/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
signature_detection.pl	claimed_natural/2	converts-clean	not-latent	yes	3	1	0	0			python/audits/oq49_override_remeasure.py:73 atom=explicit_mountain_claim; python/audits/oq49_override_remeasure.py:75 atom=natural_law_signature_match; python/audits/oq49_override_remeasure.py:93 atom=explicit_mountain_claim	Regex arm reports 3 bound sites, all REAL, all inside a Prolog goal string embedded in python/audits/oq49_override_remeasure.py:73,75,93 (first committed 2026-06-14, so present at the 2026-08-17 sweep). The codewalk arm structurally cannot see goal strings in .py files — THIS IS THE REGEX ARM'S GENUINE UNIQUE CAPABILITY, witnessed. Adjudicated class B with note at RECON.md:96 (point-in-time audit probe, no live output path). Conversion must update that probe in the same change.
signature_detection.pl	determine_pure_subtype/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
signature_detection.pl	has_viable_alternatives/2	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
signature_detection.pl	resolve_with_perspectival_check/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
signature_detection.pl	signature_diagnostic_severity/3	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
signature_detection.pl	signature_grade/2	live-output-path	not-latent	yes	0	2	1	0		prolog/signature_detection.pl:1951 caller=signature_detection:signature_severity/2 atom=correction		NEW — never adjudicated. Codewalk finds a bound caller the regex scored 0 for (caller_sweep_output.txt:251): signature_detection.pl:1951, `signature_severity(C, moderate) :- signature_grade(C, correction).` The call is the clause's LAST goal on its own line, so caller_sweep.py's is_clause_head() heuristic reads the terminating `.` as a fact and skips it. The call existed at the census HEAD (git show 9a5d8526:prolog/signature_detection.pl -> line 1901), so this is a true false negative of the regex arm at sweep time, not a later addition. It is on a LIVE OUTPUT PATH: signature_severity/2 -> diagnostic_summary:join_alerts/2:749 -> the OQ-98 verdict_join headline. Conversion owes the full six-leg clean-vs-edited pair.
transition_paths.pl	predicted_terminal_state/3	converts-clean	converts-clean	no	0	3	0	0				template application; no six-leg run
