DA abrahamic_covenant__ishmael_covenant_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA federation_membership_obligations__member_sovereignty_primary | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA fifth_republic_constitution__cohabitation_equilibrium_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA fifth_republic_constitution__parliamentary_constraint_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA fisa_702_statutory_text__foreign_target_strict_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA foreign_pressure_catalyst | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA geneva_conventions_1949__conditional_reciprocity_reading | axfc=ax(organizational_discipline_prerequisite_for_full_protections,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA geneva_conventions_protective_scope__universal_rights_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA hebrew_linguistic_life__marketplace_pidgin_reading | axfc=none | terminals=[repudiation] | drift=gap(repudiation_pressure,severe,false)
DA hebrew_living_language__hybrid_continuity_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA hebrew_living_language__liturgical_preservation_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA honor_satisfaction_mechanism__contraction_reading | axfc=none | terminals=[extinction] | drift=gap(codification_collapse,severe,true)
DA honor_settlement_legitimacy__contraction_reading | axfc=none | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA humane_treatment_standard__proportionality_balancing | axfc=none | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA imperial_mandate__bakufu_delegation_reading | axfc=none | terminals=[repudiation] | drift=gap(authority_erosion,severe,true)
DA income_support_conditionality__freedom_floor_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA jati_practice_norm__localized_practice_reading | axfc=ax(jati_practice_fundamentally_flexible,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA latin_correctness__continuity_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA lausanne_minority_protections__expansive_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA lausanne_minority_protections__guarantor_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA legitimacy_of_practice_standardization__endogenous_displacement_reading | axfc=ax(utility_preference_is_endogenous,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA licensing_statute_mandate__public_safety_coordination | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA maat_order_principle__distributed_maintenance_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA magna_carta_clause_39__feudal_prerogative_reading | axfc=none | terminals=[repudiation] | drift=gap(authority_erosion,severe,true)
DA manifesto_revolutionary_method__council_communist_reading | axfc=none | terminals=[repudiation] | drift=gap(authority_erosion,severe,false)
DA marriage_authority__communal_autonomy_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA marriage_authority__federalist_millet_reading | axfc=none | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA marriage_commitment_legitimacy__endogenous_reinterpretation_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA marriage_commitment_reversal__endogenous_reinterpretation_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA marriage_commitment_reversal__exogenous_override_reading | axfc=none | terminals=[repudiation] | drift=gap(authority_erosion,severe,false)
DA marriage_sacrament__civic_pastoral_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA monetary_anchor_principle__triffin_inevitability_reading | axfc=none | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,severe,true)
DA notability_guidelines__deletionist_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA npt_article_iv_vi_pairing__abolitionist | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA one_country_two_systems_framework__balanced_coexistence_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA paris_article_4_ndc__sovereigntist_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA preparedness_commitment__competence_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA preparedness_transmission__competence_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA press_reformation_causality__beneficiary_deployment | axfc=none | terminals=[repudiation] | drift=gap(authority_erosion,severe,true)
DA press_reformation_causation__technological_determinism | axfc=none | terminals=[extinction] | drift=gap(practice_drift,severe,false)
DA quran_9_5_scope__contextual_defensive | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA qwerty_persistence_inevitability__strategic_lock_in_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA second_amendment_arms_right__civic_republican_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA second_amendment_text__collectivist_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA statutory_debt_ceiling__coordination_scaffold_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA stone_land_use_rule__behavioral_competence | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA structural_adjustment_conditionalities__creditor_coordination_reading | axfc=ax(capital_market_confidence_mechanism,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA supermajority_threshold__consensus_safeguard_reading | axfc=ax(consensus_produces_stability,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA tcp_ip_interpretation__neutrality_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA tenure_contract__academic_freedom_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA udhr_authority__aspirational_sovereignty_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA unconditional_income_support__freedom_floor_reading | axfc=ax(labor_market_coercion_removable_via_income_floor,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA unsc_242_withdrawal_clause__partial_withdrawal_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA us_constitution_1787__originalist_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA vedic_dharmic_corpus__reformist_egalitarian_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
