leg	kernel	reading	axiom	proposed_concept	rationale
testsets	visual_evidentiary_authority	epistemic_collapse	generation_detection_gap_irreversible	visual_evidentiary_authority__verification_feasibility	Claims the generation-vs-detection capability gap is permanent — the slot's own "detection gaps" question; file's Ω irreversibility_claim frames it as whether verification capability can be restored, not as a warrant-source or adaptation claim.
testsets	visual_evidentiary_authority	indexical_realism	indexical_traces_recoverable	visual_evidentiary_authority__verification_feasibility	Claims indexical traces remain recoverable (empirically_contingent; summary/omega arms_race_winnability tie it to whether detection can keep verifying authenticity at all) — an answer to the can-images-still-be-verified question.
testsets	visual_evidentiary_authority	indexical_realism	expert_analysis_authoritative	visual_evidentiary_authority__truth_warrant_source	Claims expert analysis is what carries evidentiary authority (conventional grounding; cs_authority_grounding expertise, credentialed institutional certification per prose) — an answer to what warrants trust in an image as evidence.
testsets	visual_evidentiary_authority	post_evidentiary	consensus_primacy_over_indexicality	visual_evidentiary_authority__truth_warrant_source	Claims social consensus (not indexical/capture-time proof) is what grounds trust in images as evidence — a direct answer, at the consensus pole, to the truth-warrant subject-question.
testsets	visual_evidentiary_authority	post_evidentiary	explicit_acknowledgment_as_adaptation	visual_evidentiary_authority__adaptation_response	Claims institutions legitimately adapt to synthetic media by openly acknowledging truth determination as social negotiation — an explicit-acknowledgment-regime answer to the adaptation slot.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__magisterial_subsidiarity_reading	magisterial_authority_ai_governance	ai_governance_legitimacy__governance_authority_source	Claims the Magisterium (apostolic/moral teaching authority, deontologically grounded) as the legitimate interpreter of AI governance norms — a direct answer to who legitimately governs AI.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__magisterial_subsidiarity_reading	human_dignity_subordinates_efficiency	ai_governance_legitimacy__governing_value_priority	Asserts a priority ordering of ends — human dignity supersedes efficiency as the criterion AI development must serve — squarely the value-priority subject-question.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__magisterial_subsidiarity_reading	technology_serves_common_good_not_extraction	ai_governance_legitimacy__governing_value_priority	Names the end AI must serve (common good, not extraction/profit), an ordering of governing ends per the file's logic rationale ("coordinates dignity with efficiency... serve human flourishing, not merely profit"), not a claim about property-rights standing per se.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__market_libertarian_reading	property_rights_pre_political	ai_governance_legitimacy__property_vs_collective_claims	Asserts property rights are pre-political natural law "not human construction subject to collective revision" — a direct answer on the standing of property rights against collective/solidaristic claims.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__market_libertarian_reading	solidarity_claims_illegitimate_coercion	ai_governance_legitimacy__property_vs_collective_claims	Rejects solidarity demands to subordinate economic freedom as illegitimate coercion — the opposite pole of the same property-vs-collective-claims standing question.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__market_libertarian_reading	market_discipline_sufficient_governance	ai_governance_legitimacy__governance_authority_source	Claims market discipline (contract law, exit, competition) is sufficient governance, i.e. answers who/what legitimately governs AI with "market discipline" rather than democratic, regulatory, or magisterial authority.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__technocratic_optimization_reading	welfare_maximization_primacy	ai_governance_legitimacy__governing_value_priority	Names aggregate welfare/efficiency as the primary end AI development must serve, with ethical constraints demoted to secondary parameters — an answer to the value-priority slot.
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__technocratic_optimization_reading	technocratic_expertise_deference	ai_governance_legitimacy__governance_authority_source	Vests governing authority in technical expertise and demonstrated performance rather than democratic or ethical tradition — an answer to who legitimately governs AI.
testsets_haiku	animal_moral_status	animal_moral_status__abolitionist_reading	animals_are_rights_bearing_individuals	animal_moral_status__moral_standing_basis	Asserts animals hold moral standing as rights-bearing individuals — the rights-bearing-individuality pole of the standing-basis question.
testsets_haiku	animal_moral_status	animal_moral_status__abolitionist_reading	property_status_is_inherent_violation	animal_moral_status__ownership_use_permissibility	Claims property classification/ownership of animals is itself the violation ("all use—however 'humane'—perpetuates victimization") — the inherent-violation pole of the ownership/use question.
testsets_haiku	animal_moral_status	animal_moral_status__property_reading	animals_lack_independent_moral_standing	animal_moral_status__moral_standing_basis	Asserts the "no independent standing" pole of the moral-standing question (file: animals are "ontologically subordinate," excluded from moral standing by definition).
testsets_haiku	animal_moral_status	animal_moral_status__property_reading	property_rights_override_sentience_claims	animal_moral_status__ownership_use_permissibility	Asserts the property-rights-protected pole of the ownership/use question: use is licensed under property norms, sentience claims cannot constrain it (grounding: conventional property-law supremacy).
testsets_haiku	animal_moral_status	animal_moral_status__welfare_reading	animal_sentience_grounds_welfare_obligation	animal_moral_status__moral_standing_basis	Asserts sentience generates moral obligation to animals — a sentience-grounded answer to whether/on what basis animals hold moral standing.
testsets_haiku	animal_moral_status	animal_moral_status__welfare_reading	use_permissible_with_welfare_constraint	animal_moral_status__ownership_use_permissibility	Asserts use of animals is permissible under welfare constraint — directly the permissible-under-welfare-constraint pole of the ownership/use slot.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	marriage_indissolubility_apostolic_doctrine	marriage_authority_kernel__marriage_bond_nature	Asserts marriage is indissoluble per apostolic doctrine — an answer (indissoluble-sacrament pole) to what kind of thing the marriage bond is.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	ecclesiastical_authority_depositum_fidei	marriage_authority_kernel__marital_authority_source	Grounds legitimate governance of marriage in church ecclesiastical authority holding the deposit of faith — an answer to who legitimately governs marriage.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	brahminical_interpretive_tradition_as_authority_source	marriage_authority_kernel__marital_authority_source	Names Brahminical interpretive tradition (administered via civil courts) as the legitimate source of marriage-governing authority — a direct answer to who governs marriage.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	marriage_as_community_status_not_individual_contract	marriage_authority_kernel__marriage_bond_nature	Asserts the marriage bond is a community status rather than an individual contract — an answer (at the community-status pole) to what kind of thing the bond is.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	patriarchal_marital_defaults_embedded_in_dharma	marriage_authority_kernel__norm_immutability	Claims the marital norms are embedded in dharma (divinely given/fixed), while its overridden status and empirically_contingent grounding plus the constitutional-era drift gap contest that fixity — an answer to whether the norms are immutable or revisable.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__muslim_shariat_reading	shariat_divine_immutability	marriage_authority_kernel__norm_immutability	Names Shariat as divinely fixed ("divine_immutability"; prose: "religious text and tradition... fixed text"), answering whether marriage norms are immutable or revisable at the divinely-fixed pole.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__muslim_shariat_reading	community_adjudication_authenticity	marriage_authority_kernel__marital_authority_source	Claims qazi/board community adjudication is the authentic governing authority over marriage ("community adjudication rather than secular state courts"), answering who legitimately governs marriage.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__parsi_communal_reading	communal_self_determination_grounds_marriage_authority	marriage_authority_kernel__marital_authority_source	Names communal self-determination as what grounds/legitimates marriage authority — a direct answer (communal-adjudication pole) to the who-governs-marriage question, matching the file's summary of communal custom as the authoritative source.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__parsi_communal_reading	endogamy_preservation_necessary_to_cultural_continuity	no_slot	An empirically_contingent claim (per its cs_axiom_grounding and the cultural_preservation_vs_demographic_strategy omega) that endogamy is a necessary cultural-survival strategy — it answers neither who governs marriage, nor what the bond is, nor whether marriage norms are divinely fixed vs revisable.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__secular_civil_reading	individual_liberty_supersedes_community_authority	marriage_authority_kernel__marital_authority_source	Ranks individual liberty above communal authority as the legitimate governor of marriage — a direct answer (individual-liberty pole) to who legitimately governs.
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__secular_civil_reading	state_neutrality_toward_religion_requires_secular_law	marriage_authority_kernel__marital_authority_source	Claims the secular state (via religiously neutral civil law) is the legitimate authority over marriage rather than religious/community bodies — the secular-state pole of the authority-source question.
testsets_haiku	software_source_status	software_source_status__freedom_imperative_reading	source_code_access_inalienable_right	software_source_status__source_access_norm	Asserts users' inalienable right to inspect/modify/redistribute source (deontological grounding, file summary lines 82-84) — a direct answer to the normative status of source access.
testsets_haiku	software_source_status	software_source_status__freedom_imperative_reading	proprietary_closure_categorically_unjust	software_source_status__source_access_norm	Asserts proprietary closure is categorically illegitimate/an injustice (summary lines 84-89) — the "categorical injustice of closure" pole named in the source_access_norm slot definition.
testsets_haiku	software_source_status	software_source_status__pragmatic_development_reading	transparency_improves_quality	software_source_status__empirical_effects	Empirical causal claim (grounding: empirically_contingent) that open/transparent development produces higher-quality, more-secure software — an answer to what openness causes.
testsets_haiku	software_source_status	software_source_status__pragmatic_development_reading	openness_instrumentally_justified	software_source_status__evaluation_standard	Asserts openness is justified instrumentally by quality outcomes, not as ethical imperative (grounding: instrumental) — the instrumental pole of how openness/closure is to be judged.
testsets_haiku	software_source_status	software_source_status__property_rights_reading	proprietary_source_ownership	software_source_status__source_access_norm	Foundational deontological axiom asserting legitimate proprietary ownership/right to restrict source access — the "legitimate proprietary ownership" pole of the source-access-norm slot (file summary: creators "have the inherent right to restrict access").
testsets_haiku	software_source_status	software_source_status__property_rights_reading	creator_incentive_hypothesis	software_source_status__empirical_effects	Secondary axiom grounded empirically_contingent; the file treats it as the empirical claim that proprietary licensing is needed for creator incentives (cf. omega creator_incentive_empirical_sufficiency), an answer to what closure causes for creator incentives.
testsets_haiku	software_source_status	software_source_status__utilitarian_hybrid_reading	welfare_aggregation_principle	software_source_status__evaluation_standard	Answers how openness/closure is judged: licensing should maximize aggregate welfare (the welfare-aggregating pole of the evaluation-standard question), per the file's summary "track welfare outcomes rather than ideology".
testsets_haiku	software_source_status	software_source_status__utilitarian_hybrid_reading	context_dependent_optimization	software_source_status__evaluation_standard	Asserts the judgment standard is context-dependent (open default for infrastructure, proprietary where it demonstrably improves outcomes) — the context-dependent pole of the same evaluation-standard slot, not itself an empirical causal claim.
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__portuguese_exploration_legitimation	prior_exploration_legitimates_monopoly	tordesillas_demarcation_kernel__acquisition_basis	Axiom claims prior exploration is what legitimates the trade monopoly (Ω 'prior_exploration_as_legitimacy_basis' and summary treat it as the legitimacy basis for acquisition/monopoly) — an answer to the acquisition-legitimation question.
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__portuguese_exploration_legitimation	papal_demarcation_binds_christian_powers	tordesillas_demarcation_kernel__papal_authority_scope	Axiom asserts papal demarcation binds Christian powers (deontological grounding; prose: papal sanction excludes rival Christian powers) — an answer to what papal authority can legitimately do in the territorial order.
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__spanish_conquest_legitimation	papal_supremacy_licenses_conquest	tordesillas_demarcation_kernel__papal_authority_scope	Claims papal supremacy over temporal affairs can license conquest — an answer to what papal authority can legitimately do in the territorial order (theological grounding, holdable status per file).
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__spanish_conquest_legitimation	non_christian_peoples_lack_sovereign_rights	tordesillas_demarcation_kernel__indigenous_sovereignty_status	Denies that non-Christian peoples hold sovereign rights constraining acquisition — the negative pole of the indigenous-sovereignty-status subject-question (file prose: indigenous sovereignty "erased from the legal landscape").
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__composite_overdetermination_reading	council_exhibits_component_independence	vatican_ii_doctrinal_authority__event_composition	Asserts the Council's four components are structurally independent — a direct answer (composite pole) to whether the council is a unified event or a composite.
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__composite_overdetermination_reading	composite_framing_masks_structural_asymmetries	vatican_ii_doctrinal_authority__event_composition	Claims the unified/composite framing masks component-level asymmetries — matching the slot's "composite of independent components with masked asymmetries" subject exactly.
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__continuity_reading	doctrinal_continuity_through_development	vatican_ii_doctrinal_authority__doctrinal_continuity_status	Claims conciliar changes are organic development in continuity with prior doctrine, not rupture — a direct answer to the continuity/development/rupture question.
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__continuity_reading	magisterial_interpretive_authority_preservation	vatican_ii_doctrinal_authority__interpretive_authority	Claims the magisterium's preserved teaching office governs the council's ongoing interpretation (enforced via encyclicals and discipline) — answers who controls interpretation.
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_progressive_reading	doctrinal_positions_reversible_under_development	vatican_ii_doctrinal_authority__doctrinal_continuity_status	Claims doctrine can reverse under development — a direct answer to the continuity/development/reversibility/rupture question (file prose: "Can doctrinal positions reverse, or only develop?").
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_progressive_reading	spirit_of_council_authorizes_ongoing_reform	vatican_ii_doctrinal_authority__interpretive_authority	Claims the Council's 'spirit' is the authoritative hermeneutic key authorizing ongoing reform — an answer to who/what governs the council's interpretation (spirit vs papal magisterium, per the file's omega magisterial_authority_over_spirit).
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_traditionalist_reading	doctrinal_identity_essential_to_apostolic_transmission	vatican_ii_doctrinal_authority__doctrinal_continuity_status	Asserts what doctrinal identity requires (essential to apostolic transmission), directly answering the slot's "what doctrinal identity requires" clause of the continuity/rupture question.
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_traditionalist_reading	conciliar_ambiguity_indicates_error_not_theological_depth	vatican_ii_doctrinal_authority__interpretive_authority	Denies that textual ambiguity encodes a deeper "spirit" licensing reform (file's prose: progressives "operating in ambiguity space and framing it as Council's spirit"), taking the anti-spirit pole on what governs the council's ongoing interpretation.
testsets_haiku	wto_treaty_framework	wto_treaty_framework__developmental_reading	s_and_d_permanent_structural_accommodation	wto_treaty_framework__sdt_status	Claims S&D provisions are permanent structural accommodations, not temporary phase-outs — a direct answer to the S&D-status question (summary lines 87-90, omega s_d_provision_permanence_ambiguity).
testsets_haiku	wto_treaty_framework	wto_treaty_framework__developmental_reading	development_policy_space_equal_status_right	wto_treaty_framework__treaty_primary_purpose	Claims development policy space is an equal-status treaty right — one pole of what the framework fundamentally obligates (reference frame equal_status_development_partnership; dual-formulation note contrasts market-access purpose).
testsets_haiku	wto_treaty_framework	wto_treaty_framework__developmental_reading	technology_transfer_compulsory_obligation	wto_treaty_framework__tech_transfer_obligation	Claims technology transfer is a compulsory obligation under the framework — directly answers the tech-transfer-compulsoriness slot (status overridden; omega technology_transfer_enforceability documents the contested enforceability).
testsets_haiku	wto_treaty_framework	wto_treaty_framework__market_access_reading	trade_liberalization_symmetric_universal_obligation	wto_treaty_framework__treaty_primary_purpose	Claims the treaty's core commitment is symmetric universal liberalization — one named pole of the primary-purpose slot (summary: "core commitment is symmetric tariff reduction").
testsets_haiku	wto_treaty_framework	wto_treaty_framework__market_access_reading	s_and_d_provisions_temporary_exceptions	wto_treaty_framework__sdt_status	Directly answers the S&D status question at the temporary-exception pole ("S&D provisions are temporary exceptions meant to sunset").
testsets_haiku	wto_treaty_framework	wto_treaty_framework__market_access_reading	non_discrimination_primary_treaty_purpose	wto_treaty_framework__treaty_primary_purpose	Names non-discrimination as the treaty's primary purpose — the non-discrimination pole of the same primary-purpose subject-question.
